id,src_host_id,dst_host_id,kind,risk_weight
1,1,11,credential_reuse,40
2,2,11,credential_reuse,40
3,3,11,credential_reuse,40
4,6,11,credential_reuse,40
5,1,8,phish_to_jumpbox,55
6,2,8,phish_to_jumpbox,55
7,3,9,phish_to_jumpbox,55
8,6,9,phish_to_jumpbox,55
9,4,10,phish_to_jumpbox,55
10,5,10,phish_to_jumpbox,55
11,11,8,trust_traversal,30
12,11,12,vuln_exploit_smb,60
13,11,13,vuln_exploit_smb,60
14,8,12,credential_reuse,50
15,8,13,credential_reuse,50
16,9,12,credential_reuse,50
17,9,14,credential_reuse,50
18,10,14,vuln_exploit_web,55
19,12,15,vuln_exploit_kerberos,75
20,13,15,vuln_exploit_kerberos,75
21,14,15,credential_reuse,65
22,8,15,credential_reuse,65
23,9,16,credential_reuse,65
24,11,20,vuln_exploit_smb,45
25,20,15,credential_reuse,50
26,15,17,delegation,80
27,15,18,delegation,80
28,15,19,delegation,80
29,16,17,delegation,80
30,16,19,delegation,80
