id,name,segment,role
1,workstation-01,user-vlan,workstation
2,workstation-02,user-vlan,workstation
3,workstation-03,user-vlan,workstation
4,workstation-04,user-vlan,workstation
5,workstation-05,user-vlan,workstation
6,dev-station-01,user-vlan,workstation
7,dev-station-02,user-vlan,workstation
8,jumpbox-01,dmz-vlan,jumpbox
9,citrix-01,dmz-vlan,jumpbox
10,dmz-web-01,dmz-vlan,webserver
11,fileserver-01,server-vlan,fileserver
12,sql-app-01,server-vlan,app-server
13,sql-app-02,server-vlan,app-server
14,sharepoint-01,server-vlan,app-server
15,dc-primary,dc-vlan,domain-controller
16,dc-secondary,dc-vlan,domain-controller
17,finance-db,dc-vlan,database
18,executive-mailbox,dc-vlan,mailbox
19,hr-db,dc-vlan,database
20,backup-server,backup-vlan,backup
