id,name,kind,target_segment,cost_kdollars
1,patch-smb-fileserver,patch_vuln,server-vlan,8
2,patch-smb-backup,patch_vuln,backup-vlan,8
3,patch-kerberos-app1,patch_vuln,server-vlan,15
4,patch-kerberos-app2,patch_vuln,server-vlan,15
5,patch-web-sharepoint,patch_vuln,server-vlan,12
6,segment-user-vlan-1,network_segment,user-vlan,12
7,segment-user-vlan-2,network_segment,user-vlan,12
8,segment-user-vlan-3,network_segment,user-vlan,12
9,segment-user-vlan-dev,network_segment,user-vlan,12
10,mfa-jumpbox,mfa_gate,dmz-vlan,5
11,mfa-citrix,mfa_gate,dmz-vlan,5
12,mfa-dmz-web,mfa_gate,dmz-vlan,5
13,revoke-jumpbox-app-cred,revoke_credential,server-vlan,3
14,revoke-citrix-app-cred,revoke_credential,server-vlan,3
15,revoke-jumpbox-dc-cred,revoke_credential,dc-vlan,3
16,revoke-citrix-dc-cred,revoke_credential,dc-vlan,3
17,revoke-sharepoint-dc-cred,revoke_credential,dc-vlan,3
18,revoke-backup-dc-cred,revoke_credential,dc-vlan,3
19,fileserver-jumpbox-trust-break,trust_break,dmz-vlan,7
20,disable-dc-delegation-fin,disable_delegation,dc-vlan,18
21,disable-dc-delegation-mail,disable_delegation,dc-vlan,18
22,disable-dc-delegation-hr,disable_delegation,dc-vlan,18
23,broad-credential-rotation,revoke_credential,dc-vlan,28
24,broad-vuln-patching,patch_vuln,server-vlan,38
25,broad-dmz-mfa,mfa_gate,dmz-vlan,12
