src_book_id,dst_book_id
1,4
1,5
1,8
1,10
1,11
1,15
1,25
1,41
1,45
1,48
1,54
2,1
2,8
2,43
2,53
2,58
3,14
3,30
4,10
4,16
4,20
4,22
4,26
4,35
4,42
4,56
5,1
5,9
5,11
5,17
5,30
5,50
6,10
6,15
6,17
6,21
6,35
7,2
7,21
7,35
7,42
7,43
7,48
7,57
8,1
8,2
8,5
8,6
8,7
8,11
8,41
9,11
9,14
9,29
9,57
10,7
10,15
10,19
10,25
10,35
10,36
10,43
10,47
11,25
11,54
11,56
12,29
12,41
12,47
12,58
13,3
13,29
13,30
13,51
13,52
14,2
14,7
14,18
14,20
14,32
14,37
14,43
14,49
14,50
14,56
15,1
15,12
15,14
15,17
15,20
15,42
15,43
16,7
16,18
16,22
16,30
16,53
16,56
17,2
17,24
17,25
17,29
17,39
17,41
17,42
17,45
17,50
17,52
17,55
17,56
18,7
18,16
18,24
18,30
18,41
18,53
18,54
18,56
18,59
19,2
19,14
19,17
19,18
19,23
19,48
19,56
20,14
20,15
20,22
20,32
21,2
21,23
21,24
21,26
21,28
21,33
21,41
21,53
21,54
21,59
22,16
22,24
22,26
22,34
22,48
22,49
22,53
23,7
23,16
23,19
23,25
23,37
23,51
23,53
23,54
24,18
24,19
24,25
24,30
24,41
24,42
24,47
24,50
24,55
24,58
25,2
25,6
25,11
25,23
25,33
25,35
25,54
26,4
26,7
26,14
26,22
26,24
26,27
26,49
26,50
26,57
27,9
27,17
28,7
28,22
28,24
28,41
28,48
28,53
28,54
29,3
29,9
29,10
29,31
29,44
29,46
29,55
30,2
30,4
30,14
30,18
30,19
30,27
30,29
30,37
30,48
30,53
30,57
31,29
31,38
32,11
32,42
33,6
33,7
33,9
33,11
33,13
33,15
33,25
33,45
34,14
34,26
34,42
34,48
34,50
34,59
35,1
35,14
35,15
35,17
35,21
35,42
35,45
35,56
35,58
36,10
37,16
37,18
37,30
37,39
37,47
37,56
38,52
39,3
39,19
39,29
39,30
39,37
39,57
40,7
40,8
40,15
40,25
40,56
41,1
41,3
41,10
41,19
41,20
41,21
41,25
41,28
41,29
41,32
41,34
41,35
41,48
41,50
41,52
41,57
42,7
42,16
42,18
42,19
42,30
42,43
42,47
42,53
43,4
43,9
43,10
43,14
43,15
43,33
43,40
43,41
44,29
44,36
45,1
45,2
45,6
45,17
45,25
45,40
46,41
46,52
46,55
47,4
47,14
47,22
47,24
47,26
47,28
47,37
47,48
47,49
47,55
48,7
48,10
48,19
48,24
48,30
48,37
49,18
49,34
49,51
49,59
50,4
50,18
50,21
50,22
50,30
50,37
50,47
50,57
51,14
51,26
51,42
51,50
51,53
51,54
51,55
51,59
52,13
52,14
52,19
52,29
52,38
52,46
53,14
53,26
53,36
53,41
53,47
54,1
54,10
54,15
54,17
54,33
54,42
54,49
54,53
54,55
55,3
55,5
55,9
55,13
55,23
55,24
55,27
55,37
55,48
55,53
55,54
55,56
56,11
56,14
56,15
56,16
56,21
56,34
56,35
56,37
56,41
56,42
56,55
56,57
56,58
57,16
57,17
57,18
57,22
57,41
57,46
57,48
57,49
57,55
58,4
58,17
58,24
58,30
58,32
58,41
58,53
59,14
59,18
59,26
59,28
59,37
59,49
