book_id,subject_id
1,2
2,2
2,5
3,3
4,1
4,4
4,5
5,2
5,3
5,10
6,2
6,11
7,1
7,2
7,11
8,2
8,11
9,3
9,4
9,10
10,2
10,5
10,7
10,12
11,2
11,4
12,4
12,6
12,7
13,3
13,8
13,10
14,1
14,4
14,5
14,6
15,2
15,4
15,9
15,11
16,1
17,2
17,3
17,5
17,8
18,1
19,1
19,3
19,5
20,4
21,1
21,2
22,1
23,1
24,1
24,5
24,9
25,2
25,9
26,1
27,3
27,10
28,1
29,3
29,6
29,7
29,12
30,1
30,3
30,5
31,8
32,4
33,2
33,10
34,1
35,2
35,4
35,9
36,6
36,7
36,12
37,1
38,8
39,3
40,2
41,1
41,2
41,3
41,4
41,5
42,1
42,4
42,5
43,2
43,4
44,6
44,12
45,2
46,3
47,1
47,7
48,1
48,5
49,1
49,4
50,1
50,3
51,1
51,3
52,3
52,8
53,1
53,6
53,7
54,1
54,2
55,1
55,3
55,8
56,1
56,4
56,9
57,1
57,3
58,4
58,5
59,1
