id,title,age_days,in_house
1,Candide,102538,1
2,Le petit prince,20129,0
3,The Prince,24531,0
4,Jane Eyre,11184,0
5,The Scarlet Pimpernel,46058,0
6,Alice's Adventures in Wonderland,57426,0
7,Through the Looking-Glass,56549,0
8,Alice's Adventures in Wonderland / Through the Looking Glass,21197,0
9,Преступление и наказание,51898,0
10,The Wonderful Wizard of Oz,46192,0
11,Gulliver's Travels,22075,0
12,The Red Badge of Courage,62571,1
13,Записки изъ подполья,9765,1
14,Wuthering Heights,9595,0
15,Treasure Island,42512,0
16,The Art of War,42544,0
17,Glinda of Oz,19508,1
18,The Adventures of Sherlock Holmes [12 stories],7879,1
19,His Last Bow [8 stories],7763,1
20,The Hound of the Baskervilles,16616,0
21,The Lost World,7705,0
22,Memoirs of Sherlock Holmes [11 stories],17456,1
23,The Return of Sherlock Holmes,7965,0
24,A Study in Scarlet,7870,1
25,"The Complete Sherlock Holmes [4 novels, 56 stories]",35279,0
26,Анна Каренина,10828,0
27,War and Peace,20627,0
28,The Turn of the Screw,8568,0
29,Herland,9191,1
30,The Importance of Being Earnest,48844,0
31,Carmilla,20239,0
32,Julius Caesar,125142,0
33,Le Comte de Monte Cristo,9269,0
34,Frankenstein or The Modern Prometheus,7431,0
35,Robinson Crusoe,124290,0
36,The Great Gatsby,38962,0
37,The Murder of Roger Ackroyd,36611,0
38,The Maltese Falcon,35634,0
39,The Mysterious Affair at Styles,38996,0
40,Don Quijote de la Mancha,47578,0
41,The War of the Worlds,45015,0
42,The Time Machine,47883,1
43,The Adventures of Tom Sawyer,76461,0
44,Walden,63104,0
45,Ἰλιάς,190344,1
46,A history of New York,74982,0
47,Brave New World,8102,0
48,Emma,77329,0
49,Mansfield Park,77605,0
50,Sense and Sensibility,78745,0
51,The Man Who Was Thursday,43329,0
52,Greenmantle,40685,0
53,The Mayor of Casterbridge,82563,0
54,Oliver Twist,82730,0
55,The Jewel of Seven Stars,45309,0
56,Dracula,47322,0
57,The mystery of Edwin Drood,9611,1
58,Hamlet,27816,0
59,La Divina Commedia,6957,0
