user_id,book_id,rating
1,19,4
1,59,5
1,9,5
1,55,4
1,31,4
1,44,4
2,1,3
2,13,4
2,4,3
2,10,4
2,29,5
2,45,4
3,29,3
3,18,5
3,23,4
3,11,5
3,3,4
3,9,5
4,24,4
4,21,4
4,29,3
4,13,3
4,26,4
4,45,3
5,12,5
5,34,4
5,27,4
5,44,5
5,14,3
5,1,5
6,12,4
6,24,4
6,38,4
6,20,5
6,42,3
6,5,3
7,13,3
7,33,5
7,57,3
7,43,5
7,8,5
7,44,3
8,18,3
8,57,3
8,50,5
8,9,5
8,17,4
8,7,3
9,19,5
9,47,4
9,57,5
9,54,3
9,26,5
9,31,4
10,1,4
10,19,4
10,22,3
10,15,5
10,11,4
10,49,3
11,22,3
11,34,4
11,11,4
11,41,3
11,5,4
11,17,3
12,45,3
12,24,5
12,5,5
12,8,3
12,35,5
12,52,3
13,24,5
13,28,4
13,40,4
13,4,5
13,32,5
13,11,3
14,12,3
14,57,5
14,59,5
14,44,4
14,47,5
14,14,5
15,29,5
15,34,3
15,11,3
15,24,3
15,21,3
15,3,5
16,45,5
16,59,3
16,20,5
16,32,4
16,27,4
16,22,5
17,19,4
17,18,5
17,23,5
17,16,4
17,31,3
17,37,4
18,13,4
18,28,3
18,40,3
18,57,4
18,52,3
18,34,4
19,45,5
19,19,4
19,36,5
19,3,4
19,52,3
19,27,5
20,57,5
20,34,5
20,48,5
20,28,3
20,53,5
20,59,5
21,29,5
21,8,5
21,15,3
21,13,3
21,32,4
21,53,4
22,12,4
22,21,5
22,48,5
22,57,5
22,43,5
22,18,3
23,22,3
23,14,4
23,48,5
23,37,3
23,17,4
23,41,5
24,29,3
24,57,3
24,44,5
24,50,4
24,17,3
24,45,4
25,18,4
25,57,4
25,28,5
25,54,3
25,4,5
25,40,5
