id,location_id,coverage_type,coverage_limit,deductible
1,1,BUILDING,5000000,10000
2,1,BUSINESS_PERSONAL_PROPERTY,1500000,5000
3,1,BUSINESS_INTERRUPTION,2000000,0
4,2,BUILDING,2700000,10000
5,2,BUSINESS_PERSONAL_PROPERTY,800000,5000
6,2,BUSINESS_INTERRUPTION,900000,0
7,3,BUILDING,2000000,10000
8,3,BUSINESS_PERSONAL_PROPERTY,400000,5000
9,3,BUSINESS_INTERRUPTION,600000,0
10,4,BUILDING,2000000,10000
11,4,BUSINESS_PERSONAL_PROPERTY,400000,5000
12,4,BUSINESS_INTERRUPTION,600000,0
13,5,BUILDING,7500000,25000
14,5,BUSINESS_PERSONAL_PROPERTY,3500000,10000
15,5,BUSINESS_INTERRUPTION,5000000,0
16,6,BUILDING,1000000,5000
17,6,BUSINESS_PERSONAL_PROPERTY,250000,2500
18,6,BUSINESS_INTERRUPTION,400000,0
19,7,BUILDING,4000000,10000
20,7,BUSINESS_PERSONAL_PROPERTY,2500000,5000
21,7,BUSINESS_INTERRUPTION,3000000,0
22,8,BUILDING,8000000,25000
23,8,BUSINESS_PERSONAL_PROPERTY,2000000,10000
24,8,BUSINESS_INTERRUPTION,3500000,0
25,9,BUILDING,4000000,15000
26,9,BUSINESS_PERSONAL_PROPERTY,1000000,5000
27,9,BUSINESS_INTERRUPTION,1800000,0
28,10,BUILDING,1500000,5000
29,10,BUSINESS_PERSONAL_PROPERTY,500000,2500
30,10,BUSINESS_INTERRUPTION,800000,0
31,11,BUILDING,1500000,5000
32,11,BUSINESS_PERSONAL_PROPERTY,500000,2500
33,11,BUSINESS_INTERRUPTION,800000,0
