id,data_center_id,gpu_type,gpu_count,mem_per_gpu_gb,interconnect,power_per_gpu_kw,available_gpu_count,hourly_depreciation_rate
GP-001,DC-001,H100,1024,80,NVLink+IB-NDR,0.7,1024,1.14
GP-002,DC-001,H100,768,80,NVLink+IB-NDR,0.7,768,1.14
GP-003,DC-001,H200,768,141,NVLink+IB-NDR,0.7,768,1.52
GP-004,DC-001,H200,512,141,NVLink+IB-NDR,0.7,512,1.52
GP-005,DC-001,GB200,384,192,NVLink5+NVL72,1.2,384,2.66
GP-006,DC-001,GB200,256,192,NVLink5+NVL72,1.2,256,2.66
GP-007,DC-008,H100,1280,80,NVLink+IB-NDR,0.7,1280,1.14
GP-008,DC-008,H100,1024,80,NVLink+IB-NDR,0.7,1024,1.14
GP-009,DC-008,H100,768,80,NVLink+IB-NDR,0.7,768,1.14
GP-010,DC-008,H200,640,141,NVLink+IB-NDR,0.7,640,1.52
GP-011,DC-008,H200,512,141,NVLink+IB-NDR,0.7,512,1.52
GP-012,DC-008,H200,384,141,NVLink+IB-NDR,0.7,384,1.52
GP-013,DC-004,GB200,1024,192,NVLink5+NVL72,1.2,1024,2.66
GP-014,DC-004,GB200,768,192,NVLink5+NVL72,1.2,768,2.66
GP-015,DC-004,GB200,512,192,NVLink5+NVL72,1.2,512,2.66
GP-016,DC-004,H200,896,141,NVLink+IB-NDR,0.7,896,1.52
GP-017,DC-004,H200,640,141,NVLink+IB-NDR,0.7,640,1.52
GP-018,DC-004,H100,512,80,NVLink+IB-NDR,0.7,512,1.14
GP-019,DC-009,H100,640,80,NVLink+IB-NDR,0.7,640,1.14
GP-020,DC-009,H100,512,80,NVLink+IB-NDR,0.7,512,1.14
GP-021,DC-009,H100,384,80,NVLink+IB-NDR,0.7,384,1.14
GP-022,DC-009,H100,384,80,NVLink+IB-NDR,0.7,384,1.14
GP-023,DC-009,H100,256,80,NVLink+IB-NDR,0.7,256,1.14
GP-024,DC-010,H100,384,80,NVLink+IB-NDR,0.7,384,1.14
GP-025,DC-010,H100,256,80,NVLink+IB-NDR,0.7,256,1.14
GP-026,DC-010,H100,256,80,NVLink+IB-NDR,0.7,256,1.14
GP-027,DC-010,H200,192,141,NVLink+IB-NDR,0.7,192,1.52
GP-028,DC-010,H200,128,141,NVLink+IB-NDR,0.7,128,1.52
