metric_id,metric_date,lab,active_training_runs,gpu_hours_consumed,tokens_trained,eval_runs_launched,inference_qps,model_release_events,paper_submissions,funding_announced_usd,prev_day_growth,prev_week_growth,growth_7d_mean,training_intensity_growth_rate
1,2025-05-11,Anthropic Research,42,82503.31,749985007608.0,10,1008.84,0,0,0.0,0.10465,0.10465,0.10465,0.10465
2,2025-05-11,Cohere Inference,10,11676.45,88292795648.0,3,2287.91,0,0,0.0,0.02957,0.02957,0.02957,0.02957
3,2025-05-11,OpenAI Pretrain,41,77422.69,729728435251.0,14,924.1,0,0,0.0,0.12618,0.12618,0.12618,0.12618
4,2025-05-11,Stability Open,6,7599.87,52616442391.0,1,31.23,0,0,0.0,-0.02399,-0.02399,-0.02399,-0.02399
5,2025-05-11,Together AI Multi-Lab,14,17519.27,121256114431.0,2,1356.73,0,1,0.0,0.04959,0.04959,0.04959,0.04959
6,2025-05-11,xAI Internal,42,85715.91,931734641206.0,12,901.17,0,0,0.0,0.08213,0.08213,0.08213,0.08213
7,2025-05-12,Anthropic Research,45,86182.55,872828697809.0,13,1008.86,0,0,0.0,0.10465,0.10568,0.10516,0.10568
8,2025-05-12,Cohere Inference,9,12918.79,79299431666.0,3,2290.4,0,0,0.0,0.02957,0.02394,0.02676,0.02394
9,2025-05-12,OpenAI Pretrain,42,80433.21,922590369280.0,14,991.33,0,0,0.0,0.12618,0.12085,0.12351,0.12085
10,2025-05-12,Stability Open,5,6441.8,39694636738.0,2,30.49,0,0,0.0,-0.02399,-0.03361,-0.0288,-0.03361
11,2025-05-12,Together AI Multi-Lab,13,14129.05,104375090972.0,0,1200.46,0,0,0.0,0.04959,0.04013,0.04486,0.04013
12,2025-05-12,xAI Internal,39,75412.16,854934287590.0,13,914.43,0,0,0.0,0.08213,0.0797,0.08091,0.0797
13,2025-05-13,Anthropic Research,41,80613.37,861544084440.0,13,997.26,0,0,0.0,0.10568,0.09108,0.10047,0.09108
14,2025-05-13,Cohere Inference,10,12052.63,79026641052.0,2,2154.18,0,0,0.0,0.02394,0.02703,0.02685,0.02703
15,2025-05-13,OpenAI Pretrain,40,74267.48,716091290779.0,12,810.34,0,0,0.0,0.12085,0.12424,0.12376,0.12424
16,2025-05-13,Stability Open,6,6422.34,42614626318.0,2,31.87,1,0,0.0,-0.03361,-0.02577,-0.02779,-0.02577
17,2025-05-13,Together AI Multi-Lab,13,16451.9,100828865674.0,3,1201.49,0,1,0.0,0.04013,0.03723,0.04232,0.03723
18,2025-05-13,xAI Internal,43,82724.52,1004590019590.0,12,905.79,0,0,0.0,0.0797,0.08518,0.08234,0.08518
19,2025-05-14,Anthropic Research,43,79280.37,791918701582.0,15,1080.1,0,0,0.0,0.09108,0.10101,0.1006,0.10101
20,2025-05-14,Cohere Inference,10,12093.73,84488216009.0,4,2927.45,0,0,0.0,0.02703,0.03785,0.0296,0.03785
21,2025-05-14,OpenAI Pretrain,42,82823.15,765694060347.0,12,973.91,1,0,0.0,0.12424,0.12212,0.12335,0.12212
22,2025-05-14,Stability Open,5,6354.02,47941322595.0,0,29.7,0,0,0.0,-0.02577,-0.0341,-0.02937,-0.0341
23,2025-05-14,Together AI Multi-Lab,13,15007.97,119041379120.0,2,1114.99,0,0,0.0,0.03723,0.03933,0.04157,0.03933
24,2025-05-14,xAI Internal,42,79723.86,807967616933.0,14,1161.24,0,0,0.0,0.08518,0.07893,0.08148,0.07893
25,2025-05-15,Anthropic Research,42,80576.41,846315773708.0,11,945.19,0,1,0.0,0.10101,0.10022,0.10053,0.10022
26,2025-05-15,Cohere Inference,10,12786.69,88681577191.0,0,2642.28,0,0,0.0,0.03785,0.02996,0.02967,0.02996
27,2025-05-15,OpenAI Pretrain,44,88454.32,882188258057.0,12,977.3,0,0,0.0,0.12212,0.11689,0.12206,0.11689
28,2025-05-15,Stability Open,5,6499.45,45875019620.0,3,31.44,0,0,0.0,-0.0341,-0.02219,-0.02793,-0.02219
29,2025-05-15,Together AI Multi-Lab,13,15768.08,116807963806.0,2,1388.65,0,0,0.0,0.03933,0.0441,0.04208,0.0441
30,2025-05-15,xAI Internal,40,74564.42,895063988305.0,13,886.96,0,0,0.0,0.07893,0.08356,0.0819,0.08356
31,2025-05-16,Anthropic Research,44,77974.07,870015481212.0,12,915.02,0,0,0.0,0.10022,0.10498,0.10127,0.10498
32,2025-05-16,Cohere Inference,10,12414.27,78566782291.0,3,2502.78,0,0,0.0,0.02996,0.03485,0.03053,0.03485
33,2025-05-16,OpenAI Pretrain,45,81176.28,904783737887.0,14,999.78,0,0,0.0,0.11689,0.11994,0.1217,0.11994
34,2025-05-16,Stability Open,5,6616.47,45434924041.0,1,28.47,0,0,0.0,-0.02219,-0.0324,-0.02868,-0.0324
35,2025-05-16,Together AI Multi-Lab,13,15740.25,104642398729.0,4,1344.5,0,0,0.0,0.0441,0.04058,0.04183,0.04058
36,2025-05-16,xAI Internal,42,69465.8,794579606638.0,13,990.47,0,0,0.0,0.08356,0.08271,0.08204,0.08271
37,2025-05-17,Anthropic Research,46,91203.04,927889231807.0,13,973.35,0,0,0.0,0.10498,0.09934,0.10099,0.09934
38,2025-05-17,Cohere Inference,10,11865.91,77416463322.0,2,2285.72,0,0,0.0,0.03485,0.0289,0.0303,0.0289
39,2025-05-17,OpenAI Pretrain,46,95673.19,858041162599.0,14,977.76,0,0,0.0,0.11994,0.12129,0.12164,0.12129
40,2025-05-17,Stability Open,5,6806.06,53581736373.0,0,29.71,0,0,0.0,-0.0324,-0.03181,-0.02912,-0.03181
41,2025-05-17,Together AI Multi-Lab,13,15454.98,107250001812.0,3,1348.07,0,0,0.0,0.04058,0.04004,0.04157,0.04004
42,2025-05-17,xAI Internal,39,68078.93,820013869173.0,12,924.69,0,0,0.0,0.08271,0.08626,0.08264,0.08626
43,2025-05-18,Anthropic Research,43,78892.07,868163528276.0,13,928.7,0,0,0.0,0.09934,0.10465,0.10004,0.09799
44,2025-05-18,Cohere Inference,11,13355.18,90148264952.0,2,2625.59,0,0,0.0,0.0289,0.02957,0.03131,0.03666
45,2025-05-18,OpenAI Pretrain,46,89866.67,948735504897.0,14,1036.4,0,0,0.0,0.12129,0.12618,0.12197,0.12847
46,2025-05-18,Stability Open,5,6649.14,45532406540.0,1,28.38,0,0,0.0,-0.03181,-0.02399,-0.02985,-0.02905
47,2025-05-18,Together AI Multi-Lab,13,17037.25,118497975437.0,4,1377.56,0,1,0.0,0.04004,0.04959,0.03994,0.03816
48,2025-05-18,xAI Internal,43,83549.71,813312792236.0,12,949.14,0,0,0.0,0.08626,0.08213,0.08158,0.07475
49,2025-05-19,Anthropic Research,45,85950.18,832308246512.0,13,1105.28,0,0,0.0,0.09799,0.10568,0.0979,0.09069
50,2025-05-19,Cohere Inference,11,13543.82,90859713652.0,2,2736.16,0,0,0.0,0.03666,0.02394,0.03176,0.02707
51,2025-05-19,OpenAI Pretrain,46,88612.23,904665352570.0,16,984.65,0,0,0.0,0.12847,0.12085,0.12151,0.11761
52,2025-05-19,Stability Open,5,5888.38,42164851530.0,0,28.53,0,0,0.0,-0.02905,-0.03361,-0.03018,-0.03591
53,2025-05-19,Together AI Multi-Lab,12,15937.73,94374051211.0,3,1116.03,0,0,0.0,0.03816,0.04013,0.04006,0.04097
54,2025-05-19,xAI Internal,42,80345.69,926554127336.0,13,1002.61,0,0,0.0,0.07475,0.0797,0.0816,0.07981
55,2025-05-20,Anthropic Research,45,84298.39,890403631476.0,15,848.04,0,0,0.0,0.09069,0.09108,0.09864,0.09624
56,2025-05-20,Cohere Inference,11,13138.99,87937321570.0,1,2857.62,1,0,0.0,0.02707,0.02703,0.03141,0.02459
57,2025-05-20,OpenAI Pretrain,45,86062.28,875331512173.0,12,1086.95,0,0,0.0,0.11761,0.12424,0.12144,0.12375
58,2025-05-20,Stability Open,5,6090.21,38128213138.0,1,30.51,0,0,0.0,-0.03591,-0.02577,-0.03064,-0.02905
59,2025-05-20,Together AI Multi-Lab,13,15340.16,108978311189.0,4,1228.75,0,0,0.0,0.04097,0.03723,0.0415,0.04731
