predecessor_id,successor_id,dependency_type
WL-0001,WL-0027,blocks
WL-0001,WL-0016,blocks
WL-0001,WL-0036,blocks
WL-0027,WL-0103,blocks
WL-0103,WL-0086,blocks
WL-0016,WL-0083,blocks
WL-0016,WL-0100,blocks
WL-0083,WL-0085,blocks
WL-0100,WL-0104,blocks
WL-0036,WL-0105,blocks
WL-0002,WL-0023,blocks
WL-0002,WL-0029,blocks
WL-0002,WL-0019,blocks
WL-0023,WL-0108,blocks
WL-0023,WL-0110,blocks
WL-0029,WL-0097,blocks
WL-0029,WL-0109,blocks
WL-0019,WL-0081,blocks
WL-0019,WL-0089,blocks
WL-0003,WL-0030,blocks
WL-0003,WL-0031,blocks
WL-0030,WL-0084,blocks
WL-0084,WL-0106,blocks
WL-0031,WL-0087,blocks
WL-0004,WL-0035,blocks
WL-0004,WL-0032,blocks
WL-0004,WL-0042,blocks
WL-0035,WL-0107,blocks
WL-0032,WL-0090,blocks
WL-0042,WL-0095,blocks
WL-0042,WL-0098,blocks
WL-0005,WL-0026,blocks
WL-0005,WL-0037,blocks
WL-0005,WL-0038,blocks
WL-0026,WL-0093,blocks
WL-0037,WL-0092,blocks
WL-0037,WL-0101,blocks
WL-0038,WL-0088,blocks
WL-0038,WL-0102,blocks
WL-0088,WL-0099,blocks
WL-0006,WL-0040,blocks
WL-0006,WL-0029,blocks
WL-0040,WL-0083,blocks
WL-0040,WL-0103,blocks
WL-0083,WL-0098,blocks
WL-0029,WL-0091,blocks
WL-0029,WL-0099,blocks
WL-0007,WL-0025,blocks
WL-0007,WL-0021,blocks
WL-0007,WL-0031,blocks
WL-0007,WL-0017,blocks
WL-0025,WL-0088,blocks
WL-0025,WL-0104,blocks
WL-0088,WL-0107,blocks
WL-0104,WL-0110,blocks
WL-0021,WL-0093,blocks
WL-0021,WL-0085,blocks
WL-0093,WL-0102,blocks
WL-0031,WL-0105,blocks
WL-0017,WL-0094,blocks
WL-0017,WL-0101,blocks
WL-0094,WL-0106,blocks
WL-0008,WL-0041,blocks
WL-0008,WL-0034,blocks
WL-0041,WL-0100,blocks
WL-0100,WL-0109,blocks
WL-0034,WL-0095,blocks
WL-0009,WL-0039,blocks
WL-0009,WL-0027,blocks
WL-0009,WL-0038,blocks
WL-0009,WL-0022,blocks
WL-0039,WL-0086,blocks
WL-0039,WL-0097,blocks
WL-0086,WL-0090,blocks
WL-0027,WL-0096,blocks
WL-0027,WL-0092,blocks
WL-0096,WL-0084,blocks
WL-0038,WL-0081,blocks
WL-0081,WL-0089,blocks
WL-0022,WL-0108,blocks
WL-0022,WL-0082,blocks
WL-0010,WL-0035,blocks
WL-0010,WL-0036,blocks
WL-0010,WL-0032,blocks
WL-0011,WL-0040,blocks
WL-0011,WL-0024,blocks
WL-0011,WL-0016,blocks
WL-0040,WL-0107,blocks
WL-0040,WL-0109,blocks
WL-0024,WL-0090,blocks
WL-0024,WL-0082,blocks
WL-0016,WL-0097,blocks
WL-0016,WL-0081,blocks
WL-0012,WL-0023,blocks
WL-0012,WL-0029,blocks
WL-0012,WL-0027,blocks
WL-0023,WL-0101,blocks
WL-0023,WL-0084,blocks
WL-0029,WL-0103,blocks
WL-0029,WL-0110,blocks
WL-0027,WL-0094,blocks
WL-0013,WL-0022,blocks
WL-0013,WL-0032,blocks
WL-0013,WL-0034,blocks
WL-0013,WL-0033,blocks
WL-0022,WL-0106,blocks
WL-0022,WL-0098,blocks
WL-0098,WL-0083,blocks
WL-0032,WL-0087,blocks
WL-0032,WL-0105,blocks
WL-0087,WL-0092,blocks
WL-0034,WL-0096,blocks
WL-0034,WL-0085,blocks
WL-0096,WL-0089,blocks
WL-0033,WL-0102,blocks
WL-0102,WL-0104,blocks
WL-0014,WL-0018,blocks
WL-0014,WL-0020,blocks
WL-0014,WL-0026,blocks
WL-0014,WL-0035,blocks
WL-0018,WL-0099,blocks
WL-0020,WL-0108,blocks
WL-0020,WL-0091,blocks
WL-0026,WL-0095,blocks
WL-0035,WL-0086,blocks
WL-0035,WL-0100,blocks
WL-0100,WL-0088,blocks
WL-0015,WL-0025,blocks
WL-0015,WL-0039,blocks
WL-0025,WL-0093,blocks
WL-0002,WL-0110,informs
WL-0007,WL-0107,informs
WL-0007,WL-0100,informs
WL-0012,WL-0106,informs
WL-0003,WL-0106,informs
WL-0012,WL-0101,informs
WL-0014,WL-0105,informs
WL-0006,WL-0096,informs
