workload_id,gpu_type
WL-0001,H100
WL-0002,H200
WL-0003,H100
WL-0004,H200
WL-0005,GB200
WL-0006,H100
WL-0007,H200
WL-0008,GB200
WL-0009,H100
WL-0010,H200
WL-0011,H100
WL-0012,GB200
WL-0013,H200
WL-0014,H200
WL-0015,H100
WL-0016,H100
WL-0016,H200
WL-0017,H200
WL-0018,H200
WL-0019,H100
WL-0019,H200
WL-0020,H100
WL-0020,H200
WL-0021,H200
WL-0022,H100
WL-0022,H200
WL-0023,H100
WL-0023,H200
WL-0024,H100
WL-0024,H200
WL-0025,H100
WL-0025,H200
WL-0026,H100
WL-0026,H200
WL-0027,H100
WL-0027,H200
WL-0028,H100
WL-0028,H200
WL-0029,H200
WL-0030,H200
WL-0031,H100
WL-0031,H200
WL-0032,H200
WL-0033,H100
WL-0033,H200
WL-0034,H100
WL-0034,H200
WL-0035,H200
WL-0036,H100
WL-0036,H200
WL-0037,H200
WL-0038,H200
WL-0039,H100
WL-0039,H200
WL-0040,H100
WL-0040,H200
WL-0041,H100
WL-0041,H200
WL-0042,H200
WL-0043,H200
WL-0044,H100
WL-0044,H200
WL-0045,H100
WL-0045,H200
WL-0046,H100
WL-0046,H200
WL-0047,H200
WL-0048,H100
WL-0048,H200
WL-0049,H100
WL-0049,H200
WL-0050,H100
WL-0050,H200
WL-0051,H100
WL-0051,H200
WL-0052,H100
WL-0052,H200
WL-0053,H100
WL-0053,H200
WL-0054,H100
WL-0054,H200
WL-0055,H100
WL-0055,H200
WL-0056,H200
WL-0057,H200
WL-0058,H100
WL-0058,H200
WL-0059,H200
WL-0060,H100
WL-0060,H200
WL-0061,H200
WL-0062,H100
WL-0062,H200
WL-0063,H200
WL-0064,H100
WL-0064,H200
WL-0065,H100
WL-0065,H200
WL-0066,H200
WL-0067,H100
WL-0067,H200
WL-0068,H100
WL-0068,H200
WL-0069,H200
WL-0070,H200
WL-0071,H100
WL-0071,H200
WL-0072,H100
WL-0072,H200
WL-0073,H100
WL-0073,H200
WL-0074,H100
WL-0074,H200
WL-0075,H200
WL-0076,H200
WL-0077,H100
WL-0077,H200
WL-0078,H100
WL-0078,H200
WL-0079,H100
WL-0079,H200
WL-0080,H100
WL-0080,H200
WL-0081,H100
WL-0081,H200
WL-0082,H100
WL-0082,H200
WL-0083,H100
WL-0083,H200
WL-0084,H100
WL-0084,H200
WL-0085,H200
WL-0086,H100
WL-0086,H200
WL-0087,H200
WL-0088,H100
WL-0088,H200
WL-0089,H100
WL-0089,H200
WL-0090,H100
WL-0090,H200
WL-0091,H100
WL-0091,H200
WL-0092,H100
WL-0092,H200
WL-0093,H100
WL-0093,H200
WL-0094,H100
WL-0094,H200
WL-0095,H100
WL-0095,H200
WL-0096,H100
WL-0096,H200
WL-0097,H100
WL-0097,H200
WL-0098,H100
WL-0098,H200
WL-0099,H100
WL-0099,H200
WL-0100,H100
WL-0100,H200
WL-0101,H100
WL-0101,H200
WL-0102,H100
WL-0102,H200
WL-0103,H100
WL-0103,H200
WL-0104,H100
WL-0104,H200
WL-0105,H100
WL-0105,H200
WL-0106,H100
WL-0106,H200
WL-0107,H100
WL-0107,H200
WL-0108,H100
WL-0108,H200
WL-0109,H100
WL-0109,H200
WL-0110,H100
WL-0110,H200
