workload_id,is_high_utilization
WL-0001,1
WL-0002,1
WL-0003,1
WL-0004,1
WL-0005,1
WL-0006,1
WL-0007,1
WL-0009,1
WL-0010,1
WL-0013,1
WL-0014,1
WL-0016,1
WL-0017,1
WL-0021,0
WL-0023,1
WL-0024,1
WL-0026,1
WL-0027,0
WL-0028,1
WL-0029,1
WL-0033,1
WL-0034,1
WL-0036,1
WL-0037,1
WL-0038,1
WL-0039,0
WL-0040,0
WL-0041,1
WL-0044,0
WL-0045,1
WL-0046,0
WL-0047,0
WL-0048,0
WL-0049,1
WL-0050,0
WL-0051,1
WL-0052,1
WL-0053,0
WL-0054,1
WL-0055,0
WL-0056,0
WL-0058,0
WL-0059,1
WL-0061,1
WL-0062,0
WL-0063,1
WL-0064,1
WL-0065,1
WL-0066,0
WL-0067,0
WL-0068,0
WL-0073,0
WL-0074,0
WL-0076,1
WL-0078,1
WL-0079,0
WL-0080,1
WL-0081,1
WL-0082,0
WL-0084,1
WL-0085,0
WL-0086,0
WL-0087,1
WL-0088,1
WL-0089,0
WL-0092,1
WL-0093,1
WL-0094,1
WL-0095,1
WL-0097,1
WL-0098,0
WL-0100,0
WL-0101,1
WL-0102,0
WL-0103,0
WL-0105,1
WL-0106,1
WL-0107,0
WL-0108,0
WL-0110,0
