BOM_ID,OUTPUT_SKU_ID,INPUT_SKU_ID
BOM-001,FG-PHN-A,SA-PCBA
BOM-002,FG-PHN-A,SA-BATT
BOM-003,FG-PHN-A,SA-DISP
BOM-004,FG-PHN-A,SA-ENC
BOM-005,FG-PHN-B,SA-PCBA
BOM-006,FG-PHN-B,SA-BATT
BOM-007,FG-PHN-B,SA-DISP
BOM-008,FG-PHN-B,SA-ENC
BOM-009,FG-TAB-C,SA-PCBA
BOM-010,FG-TAB-C,SA-BATT
BOM-011,FG-TAB-C,SA-DISP
BOM-012,FG-TAB-C,SA-ENC
BOM-013,SA-PCBA,CP-PCB
BOM-014,SA-PCBA,CP-PASTE
BOM-015,SA-PCBA,CP-SOC
BOM-016,SA-PCBA,CP-MEM
BOM-017,SA-PCBA,CP-PASS
BOM-018,SA-BATT,CP-CELL
BOM-019,SA-DISP,CP-LCD
BOM-020,SA-ENC,CP-HOUS
BOM-021,CP-PCB,RM-CU
BOM-022,CP-PCB,RM-RESIN
BOM-023,CP-CELL,RM-LI
BOM-024,CP-SOC,RM-SI
BOM-025,CP-MEM,RM-SI
BOM-026,CP-HOUS,RM-POLY
