FACTOR_ID,KIND,LABEL,REF_ID
LOT::SA-PCBA-L01,LOT,SA-PCBA lot SA-PCBA-L01,SA-PCBA-L01
LOT::SA-PCBA-L02,LOT,SA-PCBA lot SA-PCBA-L02,SA-PCBA-L02
LOT::SA-PCBA-L03,LOT,SA-PCBA lot SA-PCBA-L03,SA-PCBA-L03
LOT::SA-PCBA-L04,LOT,SA-PCBA lot SA-PCBA-L04,SA-PCBA-L04
LOT::SA-PCBA-L05,LOT,SA-PCBA lot SA-PCBA-L05,SA-PCBA-L05
LOT::SA-PCBA-L06,LOT,SA-PCBA lot SA-PCBA-L06,SA-PCBA-L06
LOT::SA-PCBA-L07,LOT,SA-PCBA lot SA-PCBA-L07,SA-PCBA-L07
LOT::SA-PCBA-L08,LOT,SA-PCBA lot SA-PCBA-L08,SA-PCBA-L08
LOT::SA-PCBA-L09,LOT,SA-PCBA lot SA-PCBA-L09,SA-PCBA-L09
LOT::SA-PCBA-L10,LOT,SA-PCBA lot SA-PCBA-L10,SA-PCBA-L10
LOT::SA-PCBA-L11,LOT,SA-PCBA lot SA-PCBA-L11,SA-PCBA-L11
LOT::SA-PCBA-L12,LOT,SA-PCBA lot SA-PCBA-L12,SA-PCBA-L12
LOT::SA-PCBA-L13,LOT,SA-PCBA lot SA-PCBA-L13,SA-PCBA-L13
LOT::SA-PCBA-L14,LOT,SA-PCBA lot SA-PCBA-L14,SA-PCBA-L14
LOT::SA-PCBA-L15,LOT,SA-PCBA lot SA-PCBA-L15,SA-PCBA-L15
LOT::SA-PCBA-L16,LOT,SA-PCBA lot SA-PCBA-L16,SA-PCBA-L16
LOT::SA-PCBA-L17,LOT,SA-PCBA lot SA-PCBA-L17,SA-PCBA-L17
LOT::SA-PCBA-L18,LOT,SA-PCBA lot SA-PCBA-L18,SA-PCBA-L18
LOT::SA-PCBA-L19,LOT,SA-PCBA lot SA-PCBA-L19,SA-PCBA-L19
LOT::SA-PCBA-L20,LOT,SA-PCBA lot SA-PCBA-L20,SA-PCBA-L20
LOT::SA-BATT-L01,LOT,SA-BATT lot SA-BATT-L01,SA-BATT-L01
LOT::SA-BATT-L02,LOT,SA-BATT lot SA-BATT-L02,SA-BATT-L02
LOT::SA-BATT-L03,LOT,SA-BATT lot SA-BATT-L03,SA-BATT-L03
LOT::SA-BATT-L04,LOT,SA-BATT lot SA-BATT-L04,SA-BATT-L04
LOT::SA-BATT-L05,LOT,SA-BATT lot SA-BATT-L05,SA-BATT-L05
LOT::SA-BATT-L06,LOT,SA-BATT lot SA-BATT-L06,SA-BATT-L06
LOT::SA-BATT-L07,LOT,SA-BATT lot SA-BATT-L07,SA-BATT-L07
LOT::SA-BATT-L08,LOT,SA-BATT lot SA-BATT-L08,SA-BATT-L08
