PARENT_LOT_ID,CHILD_LOT_ID
SA-PCBA-L01,SP-0420
SA-PCBA-L01,CP-PCB-L04
SA-PCBA-L01,CP-SOC-L05
SA-PCBA-L01,CP-MEM-L05
SA-PCBA-L01,CP-PASS-L03
SA-PCBA-L02,SP-0424
SA-PCBA-L02,CP-PCB-L07
SA-PCBA-L02,CP-SOC-L05
SA-PCBA-L02,CP-MEM-L04
SA-PCBA-L02,CP-PASS-L03
SA-PCBA-L03,SP-0420
SA-PCBA-L03,CP-PCB-L03
SA-PCBA-L03,CP-SOC-L05
SA-PCBA-L03,CP-MEM-L04
SA-PCBA-L03,CP-PASS-L01
SA-PCBA-L04,SP-0419
SA-PCBA-L04,CP-PCB-L02
SA-PCBA-L04,CP-SOC-L02
SA-PCBA-L04,CP-MEM-L02
SA-PCBA-L04,CP-PASS-L04
SA-PCBA-L05,SP-0423
SA-PCBA-L05,CP-PCB-L02
SA-PCBA-L05,CP-SOC-L04
SA-PCBA-L05,CP-MEM-L04
SA-PCBA-L05,CP-PASS-L04
SA-PCBA-L06,SP-0424
SA-PCBA-L06,CP-PCB-L05
SA-PCBA-L06,CP-SOC-L05
SA-PCBA-L06,CP-MEM-L01
SA-PCBA-L06,CP-PASS-L01
SA-PCBA-L07,SP-0424
SA-PCBA-L07,CP-PCB-L05
SA-PCBA-L07,CP-SOC-L03
SA-PCBA-L07,CP-MEM-L01
SA-PCBA-L07,CP-PASS-L03
SA-PCBA-L08,SP-0422
SA-PCBA-L08,CP-PCB-L03
SA-PCBA-L08,CP-SOC-L04
SA-PCBA-L08,CP-MEM-L01
SA-PCBA-L08,CP-PASS-L03
SA-PCBA-L09,SP-0423
SA-PCBA-L09,CP-PCB-L03
SA-PCBA-L09,CP-SOC-L05
SA-PCBA-L09,CP-MEM-L01
SA-PCBA-L09,CP-PASS-L03
SA-PCBA-L10,SP-0424
SA-PCBA-L10,CP-PCB-L04
SA-PCBA-L10,CP-SOC-L02
SA-PCBA-L10,CP-MEM-L03
SA-PCBA-L10,CP-PASS-L02
SA-PCBA-L11,SP-0424
SA-PCBA-L11,CP-PCB-L01
SA-PCBA-L11,CP-SOC-L05
SA-PCBA-L11,CP-MEM-L03
SA-PCBA-L11,CP-PASS-L04
SA-PCBA-L12,SP-0419
