LOT_ID,SKU_ID,SUPPLIER_ID,RECEIVED_DATE
SA-PCBA-L01,SA-PCBA,SUP-INTERNAL,2026-02-22
SA-PCBA-L02,SA-PCBA,SUP-INTERNAL,2026-02-05
SA-PCBA-L03,SA-PCBA,SUP-INTERNAL,2026-02-02
SA-PCBA-L04,SA-PCBA,SUP-INTERNAL,2026-02-10
SA-PCBA-L05,SA-PCBA,SUP-INTERNAL,2026-02-09
SA-PCBA-L06,SA-PCBA,SUP-INTERNAL,2026-02-09
SA-PCBA-L07,SA-PCBA,SUP-INTERNAL,2026-02-06
SA-PCBA-L08,SA-PCBA,SUP-INTERNAL,2026-02-05
SA-PCBA-L09,SA-PCBA,SUP-INTERNAL,2026-02-19
SA-PCBA-L10,SA-PCBA,SUP-INTERNAL,2026-02-04
SA-PCBA-L11,SA-PCBA,SUP-INTERNAL,2026-02-20
SA-PCBA-L12,SA-PCBA,SUP-INTERNAL,2026-02-15
SA-PCBA-L13,SA-PCBA,SUP-INTERNAL,2026-02-03
SA-PCBA-L14,SA-PCBA,SUP-INTERNAL,2026-02-02
SA-PCBA-L15,SA-PCBA,SUP-INTERNAL,2026-02-04
SA-PCBA-L16,SA-PCBA,SUP-INTERNAL,2026-02-08
SA-PCBA-L17,SA-PCBA,SUP-INTERNAL,2026-02-09
SA-PCBA-L18,SA-PCBA,SUP-INTERNAL,2026-02-18
SA-PCBA-L19,SA-PCBA,SUP-INTERNAL,2026-02-21
SA-PCBA-L20,SA-PCBA,SUP-INTERNAL,2026-02-02
SA-BATT-L01,SA-BATT,SUP-INTERNAL,2026-02-19
SA-BATT-L02,SA-BATT,SUP-INTERNAL,2026-02-08
SA-BATT-L03,SA-BATT,SUP-INTERNAL,2026-02-22
SA-BATT-L04,SA-BATT,SUP-INTERNAL,2026-02-19
SA-BATT-L05,SA-BATT,SUP-INTERNAL,2026-02-15
SA-BATT-L06,SA-BATT,SUP-INTERNAL,2026-02-09
SA-BATT-L07,SA-BATT,SUP-INTERNAL,2026-02-16
SA-BATT-L08,SA-BATT,SUP-INTERNAL,2026-02-20
SA-BATT-L09,SA-BATT,SUP-INTERNAL,2026-02-10
SA-BATT-L10,SA-BATT,SUP-INTERNAL,2026-02-02
SA-DISP-L01,SA-DISP,SUP-INTERNAL,2026-02-07
SA-DISP-L02,SA-DISP,SUP-INTERNAL,2026-02-15
SA-DISP-L03,SA-DISP,SUP-INTERNAL,2026-02-12
SA-DISP-L04,SA-DISP,SUP-INTERNAL,2026-02-10
SA-DISP-L05,SA-DISP,SUP-INTERNAL,2026-02-06
SA-DISP-L06,SA-DISP,SUP-INTERNAL,2026-02-08
SA-DISP-L07,SA-DISP,SUP-INTERNAL,2026-02-12
SA-DISP-L08,SA-DISP,SUP-INTERNAL,2026-02-05
SA-DISP-L09,SA-DISP,SUP-INTERNAL,2026-02-04
SA-DISP-L10,SA-DISP,SUP-INTERNAL,2026-02-14
SA-ENC-L01,SA-ENC,SUP-INTERNAL,2026-02-05
SA-ENC-L02,SA-ENC,SUP-INTERNAL,2026-02-13
SA-ENC-L03,SA-ENC,SUP-INTERNAL,2026-02-13
SA-ENC-L04,SA-ENC,SUP-INTERNAL,2026-02-21
SA-ENC-L05,SA-ENC,SUP-INTERNAL,2026-02-10
SA-ENC-L06,SA-ENC,SUP-INTERNAL,2026-02-03
