MACHINE_ID,NAME,MACHINE_TYPE,LAST_CALIBRATION_DATE,CALIBRATION_AGE_DAYS
SMT-01,Pick-and-place line 1,SMT_PLACEMENT,2026-01-13,20
SMT-02,Pick-and-place line 2,SMT_PLACEMENT,2026-01-08,25
SMT-03,Pick-and-place line 3,SMT_PLACEMENT,2026-01-15,18
REF-01,Reflow oven 1,REFLOW,2026-01-11,22
REF-02,Reflow oven 2,REFLOW,2025-08-18,168
REF-03,Reflow oven 3,REFLOW,2026-01-03,30
ASM-01,Final assembly cell 1,FINAL_ASSEMBLY,2025-12-24,40
ASM-02,Final assembly cell 2,FINAL_ASSEMBLY,2025-12-29,35
TST-01,Functional test rig 1,FUNCTIONAL_TEST,2026-01-18,15
TST-02,Functional test rig 2,FUNCTIONAL_TEST,2026-01-14,19
