UNIT_ID,LOT_ID
U-00001,SA-PCBA-L06
U-00001,SA-BATT-L07
U-00001,SA-DISP-L08
U-00001,SA-ENC-L08
U-00002,SA-PCBA-L10
U-00002,SA-BATT-L07
U-00002,SA-DISP-L09
U-00002,SA-ENC-L08
U-00003,SA-PCBA-L17
U-00003,SA-BATT-L03
U-00003,SA-DISP-L01
U-00003,SA-ENC-L02
U-00004,SA-PCBA-L19
U-00004,SA-BATT-L10
U-00004,SA-DISP-L01
U-00004,SA-ENC-L02
U-00005,SA-PCBA-L12
U-00005,SA-BATT-L08
U-00005,SA-DISP-L06
U-00005,SA-ENC-L02
U-00006,SA-PCBA-L14
U-00006,SA-BATT-L02
U-00006,SA-DISP-L04
U-00006,SA-ENC-L06
U-00007,SA-PCBA-L06
U-00007,SA-BATT-L05
U-00007,SA-DISP-L02
U-00007,SA-ENC-L02
U-00008,SA-PCBA-L17
U-00008,SA-BATT-L08
U-00008,SA-DISP-L05
U-00008,SA-ENC-L01
U-00009,SA-PCBA-L06
U-00009,SA-BATT-L08
U-00009,SA-DISP-L09
U-00009,SA-ENC-L07
U-00010,SA-PCBA-L02
U-00010,SA-BATT-L05
U-00010,SA-DISP-L06
U-00010,SA-ENC-L01
U-00011,SA-PCBA-L20
U-00011,SA-BATT-L03
U-00011,SA-DISP-L04
U-00011,SA-ENC-L03
U-00012,SA-PCBA-L08
U-00012,SA-BATT-L05
U-00012,SA-DISP-L03
U-00012,SA-ENC-L02
U-00013,SA-PCBA-L08
U-00013,SA-BATT-L01
U-00013,SA-DISP-L04
U-00013,SA-ENC-L07
U-00014,SA-PCBA-L11
U-00014,SA-BATT-L01
U-00014,SA-DISP-L02
U-00014,SA-ENC-L05
U-00015,SA-PCBA-L20
U-00015,SA-BATT-L09
U-00015,SA-DISP-L02
U-00015,SA-ENC-L07
U-00016,SA-PCBA-L14
U-00016,SA-BATT-L07
U-00016,SA-DISP-L02
U-00016,SA-ENC-L06
U-00017,SA-PCBA-L18
U-00017,SA-BATT-L03
U-00017,SA-DISP-L04
U-00017,SA-ENC-L07
U-00018,SA-PCBA-L10
U-00018,SA-BATT-L04
U-00018,SA-DISP-L07
U-00018,SA-ENC-L06
U-00019,SA-PCBA-L11
U-00019,SA-BATT-L02
U-00019,SA-DISP-L04
U-00019,SA-ENC-L05
U-00020,SA-PCBA-L14
U-00020,SA-BATT-L10
U-00020,SA-DISP-L04
U-00020,SA-ENC-L07
U-00021,SA-PCBA-L15
U-00021,SA-BATT-L01
U-00021,SA-DISP-L09
U-00021,SA-ENC-L04
U-00022,SA-PCBA-L14
U-00022,SA-BATT-L09
U-00022,SA-DISP-L08
U-00022,SA-ENC-L03
U-00023,SA-PCBA-L08
U-00023,SA-BATT-L05
U-00023,SA-DISP-L08
U-00023,SA-ENC-L02
U-00024,SA-PCBA-L08
U-00024,SA-BATT-L02
U-00024,SA-DISP-L07
U-00024,SA-ENC-L07
U-00025,SA-PCBA-L16
U-00025,SA-BATT-L08
U-00025,SA-DISP-L01
U-00025,SA-ENC-L06
U-00026,SA-PCBA-L01
U-00026,SA-BATT-L07
U-00026,SA-DISP-L06
U-00026,SA-ENC-L07
U-00027,SA-PCBA-L17
U-00027,SA-BATT-L03
U-00027,SA-DISP-L08
U-00027,SA-ENC-L03
U-00028,SA-PCBA-L09
U-00028,SA-BATT-L02
U-00028,SA-DISP-L08
U-00028,SA-ENC-L01
U-00029,SA-PCBA-L07
U-00029,SA-BATT-L01
U-00029,SA-DISP-L10
U-00029,SA-ENC-L03
U-00030,SA-PCBA-L04
U-00030,SA-BATT-L03
U-00030,SA-DISP-L05
U-00030,SA-ENC-L02
U-00031,SA-PCBA-L08
U-00031,SA-BATT-L02
U-00031,SA-DISP-L05
U-00031,SA-ENC-L02
U-00032,SA-PCBA-L17
U-00032,SA-BATT-L08
U-00032,SA-DISP-L02
U-00032,SA-ENC-L07
U-00033,SA-PCBA-L09
U-00033,SA-BATT-L10
U-00033,SA-DISP-L09
U-00033,SA-ENC-L08
U-00034,SA-PCBA-L19
U-00034,SA-BATT-L10
U-00034,SA-DISP-L07
U-00034,SA-ENC-L06
U-00035,SA-PCBA-L09
U-00035,SA-BATT-L09
U-00035,SA-DISP-L01
U-00035,SA-ENC-L04
U-00036,SA-PCBA-L12
U-00036,SA-BATT-L04
U-00036,SA-DISP-L07
U-00036,SA-ENC-L04
U-00037,SA-PCBA-L15
U-00037,SA-BATT-L05
U-00037,SA-DISP-L05
U-00037,SA-ENC-L05
U-00038,SA-PCBA-L20
