UNIT_ID,OPERATION,MACHINE_ID,SHIFT,RUN_TS
U-00001,SMT_PLACEMENT,SMT-01,DAY,2026-02-09T00:00:00
U-00001,REFLOW,REF-01,DAY,2026-02-09T00:00:00
U-00001,FINAL_ASSEMBLY,ASM-02,DAY,2026-02-09T00:00:00
U-00001,FUNCTIONAL_TEST,TST-01,DAY,2026-02-09T00:00:00
U-00002,SMT_PLACEMENT,SMT-01,NIGHT,2026-02-16T00:00:00
U-00002,REFLOW,REF-01,NIGHT,2026-02-16T00:00:00
U-00002,FINAL_ASSEMBLY,ASM-01,NIGHT,2026-02-16T00:00:00
U-00002,FUNCTIONAL_TEST,TST-02,NIGHT,2026-02-16T00:00:00
U-00003,SMT_PLACEMENT,SMT-01,DAY,2026-02-18T00:00:00
U-00003,REFLOW,REF-03,DAY,2026-02-18T00:00:00
U-00003,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-18T00:00:00
U-00003,FUNCTIONAL_TEST,TST-02,DAY,2026-02-18T00:00:00
U-00004,SMT_PLACEMENT,SMT-01,SWING,2026-02-09T00:00:00
U-00004,REFLOW,REF-02,SWING,2026-02-09T00:00:00
U-00004,FINAL_ASSEMBLY,ASM-02,SWING,2026-02-09T00:00:00
U-00004,FUNCTIONAL_TEST,TST-01,SWING,2026-02-09T00:00:00
U-00005,SMT_PLACEMENT,SMT-01,SWING,2026-02-06T00:00:00
U-00005,REFLOW,REF-01,SWING,2026-02-06T00:00:00
U-00005,FINAL_ASSEMBLY,ASM-01,SWING,2026-02-06T00:00:00
U-00005,FUNCTIONAL_TEST,TST-01,SWING,2026-02-06T00:00:00
U-00006,SMT_PLACEMENT,SMT-01,SWING,2026-02-06T00:00:00
U-00006,REFLOW,REF-01,SWING,2026-02-06T00:00:00
U-00006,FINAL_ASSEMBLY,ASM-02,SWING,2026-02-06T00:00:00
U-00006,FUNCTIONAL_TEST,TST-01,SWING,2026-02-06T00:00:00
U-00007,SMT_PLACEMENT,SMT-01,DAY,2026-02-05T00:00:00
