item_id,family,item_class,perishable
1,BEVERAGES,1803,False
2,BEVERAGES,7964,False
3,BEVERAGES,6890,False
4,BEVERAGES,4949,False
5,BEVERAGES,4896,False
6,DAIRY,8726,True
7,DAIRY,1773,True
8,DAIRY,7275,True
9,DAIRY,2813,True
10,DAIRY,1847,True
11,GROCERY,5737,False
12,GROCERY,9779,False
13,GROCERY,7621,False
14,GROCERY,7849,False
15,GROCERY,7456,False
16,BAKERY,8073,True
17,BAKERY,5618,True
18,BAKERY,2152,True
19,BAKERY,8556,True
20,BAKERY,5053,True
21,CLEANING,5502,False
22,CLEANING,4336,False
23,CLEANING,2642,False
24,CLEANING,9339,False
25,CLEANING,8033,False
