sale_id,date,store_id,item_id,unit_sales,onpromotion
1,2024-01-01,1,1,40,False
2,2024-01-01,1,2,30,False
3,2024-01-01,1,3,21,False
4,2024-01-01,1,4,24,False
5,2024-01-01,1,5,16,False
6,2024-01-01,1,6,27,False
7,2024-01-01,1,7,26,False
8,2024-01-01,1,8,33,False
9,2024-01-01,1,9,17,False
10,2024-01-01,1,10,30,False
11,2024-01-01,1,11,24,False
12,2024-01-01,1,12,34,False
13,2024-01-01,1,13,18,False
14,2024-01-01,1,14,29,False
15,2024-01-01,1,15,8,False
16,2024-01-01,1,16,12,False
17,2024-01-01,1,17,15,False
18,2024-01-01,1,18,31,False
19,2024-01-01,1,19,31,False
20,2024-01-01,1,20,13,False
21,2024-01-01,1,21,11,False
22,2024-01-01,1,22,18,False
23,2024-01-01,1,23,11,False
24,2024-01-01,1,24,3,False
25,2024-01-01,1,25,21,False
26,2024-01-01,2,1,25,False
27,2024-01-01,2,2,24,False
28,2024-01-01,2,3,17,False
29,2024-01-01,2,4,20,False
30,2024-01-01,2,5,12,True
31,2024-01-01,2,6,16,False
32,2024-01-01,2,7,23,False
33,2024-01-01,2,8,21,False
34,2024-01-01,2,9,14,False
35,2024-01-01,2,10,17,False
36,2024-01-01,2,11,32,False
37,2024-01-01,2,12,24,False
38,2024-01-01,2,13,14,False
39,2024-01-01,2,14,14,False
40,2024-01-01,2,15,8,False
41,2024-01-01,2,16,8,False
42,2024-01-01,2,17,17,False
43,2024-01-01,2,18,18,False
44,2024-01-01,2,19,24,False
45,2024-01-01,2,20,15,False
46,2024-01-01,2,21,9,False
47,2024-01-01,2,22,14,False
48,2024-01-01,2,23,4,False
49,2024-01-01,2,24,9,False
50,2024-01-01,2,25,16,False
51,2024-01-01,3,1,11,False
52,2024-01-01,3,2,7,False
53,2024-01-01,3,3,1,False
54,2024-01-01,3,4,16,False
55,2024-01-01,3,5,4,False
56,2024-01-01,3,6,10,False
57,2024-01-01,3,7,13,False
58,2024-01-01,3,8,17,False
59,2024-01-01,3,9,8,False
60,2024-01-01,3,10,13,False
61,2024-01-01,3,11,20,False
62,2024-01-01,3,12,14,False
63,2024-01-01,3,13,10,False
64,2024-01-01,3,14,14,False
65,2024-01-01,3,15,6,False
66,2024-01-01,3,16,9,False
67,2024-01-01,3,17,9,False
68,2024-01-01,3,18,14,False
69,2024-01-01,3,19,15,False
70,2024-01-01,3,20,10,False
71,2024-01-01,3,21,5,False
72,2024-01-01,3,22,3,False
73,2024-01-01,3,23,2,False
74,2024-01-01,3,24,3,False
75,2024-01-01,3,25,5,False
76,2024-01-02,1,1,35,False
77,2024-01-02,1,2,51,True
78,2024-01-02,1,3,12,False
79,2024-01-02,1,4,36,False
80,2024-01-02,1,5,14,False
81,2024-01-02,1,6,42,False
82,2024-01-02,1,7,22,False
83,2024-01-02,1,8,23,False
84,2024-01-02,1,9,23,False
85,2024-01-02,1,10,28,False
86,2024-01-02,1,11,32,False
87,2024-01-02,1,12,35,False
88,2024-01-02,1,13,15,False
89,2024-01-02,1,14,26,False
90,2024-01-02,1,15,22,False
91,2024-01-02,1,16,11,False
92,2024-01-02,1,17,17,False
93,2024-01-02,1,18,22,False
94,2024-01-02,1,19,26,False
95,2024-01-02,1,20,19,False
96,2024-01-02,1,21,14,False
97,2024-01-02,1,22,11,False
98,2024-01-02,1,23,8,False
99,2024-01-02,1,24,9,False
100,2024-01-02,1,25,16,False
101,2024-01-02,2,1,31,False
102,2024-01-02,2,2,18,False
103,2024-01-02,2,3,8,False
104,2024-01-02,2,4,22,False
105,2024-01-02,2,5,6,False
106,2024-01-02,2,6,18,False
107,2024-01-02,2,7,24,False
108,2024-01-02,2,8,21,False
109,2024-01-02,2,9,14,False
110,2024-01-02,2,10,31,False
111,2024-01-02,2,11,17,False
112,2024-01-02,2,12,20,False
113,2024-01-02,2,13,17,True
114,2024-01-02,2,14,18,False
115,2024-01-02,2,15,17,False
116,2024-01-02,2,16,10,False
117,2024-01-02,2,17,21,False
118,2024-01-02,2,18,19,False
119,2024-01-02,2,19,22,True
120,2024-01-02,2,20,2,False
121,2024-01-02,2,21,4,False
122,2024-01-02,2,22,14,False
123,2024-01-02,2,23,7,False
124,2024-01-02,2,24,10,False
125,2024-01-02,2,25,8,False
126,2024-01-02,3,1,10,False
127,2024-01-02,3,2,9,False
128,2024-01-02,3,3,11,False
129,2024-01-02,3,4,16,False
130,2024-01-02,3,5,11,False
131,2024-01-02,3,6,14,False
132,2024-01-02,3,7,27,True
133,2024-01-02,3,8,4,False
134,2024-01-02,3,9,6,False
