ID,SUBSTATION_ID,FORECAST_PERIOD,PREDICTED_LOAD_MW,CONFIDENCE,INCLUDES_DC_GROWTH
FCT-001,SUB-001,6,791.7,0.95,false
FCT-002,SUB-001,6,799.5,0.9,true
FCT-003,SUB-001,12,803.4,0.88,false
FCT-004,SUB-001,12,819.0,0.83,true
FCT-005,SUB-001,18,815.1,0.78,false
FCT-006,SUB-001,18,838.5,0.73,true
FCT-007,SUB-001,24,826.8,0.7,false
FCT-008,SUB-001,24,858.0,0.65,true
FCT-009,SUB-002,6,1035.3,0.95,false
FCT-010,SUB-002,6,1111.8,0.9,true
FCT-011,SUB-002,12,1050.6,0.88,false
FCT-012,SUB-002,12,1203.6,0.83,true
FCT-013,SUB-002,18,1065.9,0.78,false
FCT-014,SUB-002,18,1295.4,0.73,true
FCT-015,SUB-002,24,1081.2,0.7,false
FCT-016,SUB-002,24,1387.2,0.65,true
FCT-017,SUB-003,6,619.1,0.95,false
FCT-018,SUB-003,6,664.9,0.9,true
FCT-019,SUB-003,12,628.3,0.88,false
FCT-020,SUB-003,12,719.8,0.83,true
FCT-021,SUB-003,18,637.4,0.78,false
FCT-022,SUB-003,18,774.7,0.73,true
FCT-023,SUB-003,24,646.6,0.7,false
FCT-024,SUB-003,24,829.6,0.65,true
FCT-025,SUB-004,6,527.8,0.95,false
FCT-026,SUB-004,6,533.0,0.9,true
FCT-027,SUB-004,12,535.6,0.88,false
FCT-028,SUB-004,12,546.0,0.83,true
FCT-029,SUB-004,18,543.4,0.78,false
FCT-030,SUB-004,18,559.0,0.73,true
FCT-031,SUB-004,24,551.2,0.7,false
FCT-032,SUB-004,24,572.0,0.65,true
FCT-033,SUB-005,6,964.2,0.95,false
FCT-034,SUB-005,6,1035.5,0.9,true
FCT-035,SUB-005,12,978.5,0.88,false
FCT-036,SUB-005,12,1121.0,0.83,true
FCT-037,SUB-005,18,992.7,0.78,false
FCT-038,SUB-005,18,1206.5,0.73,true
FCT-039,SUB-005,24,1007.0,0.7,false
FCT-040,SUB-005,24,1292.0,0.65,true
FCT-041,SUB-006,6,690.2,0.95,false
FCT-042,SUB-006,6,697.0,0.9,true
FCT-043,SUB-006,12,700.4,0.88,false
FCT-044,SUB-006,12,714.0,0.83,true
FCT-045,SUB-006,18,710.6,0.78,false
FCT-046,SUB-006,18,731.0,0.73,true
FCT-047,SUB-006,24,720.8,0.7,false
FCT-048,SUB-006,24,748.0,0.65,true
FCT-049,SUB-007,6,395.8,0.95,false
FCT-050,SUB-007,6,425.1,0.9,true
FCT-051,SUB-007,12,401.7,0.88,false
FCT-052,SUB-007,12,460.2,0.83,true
FCT-053,SUB-007,18,407.5,0.78,false
FCT-054,SUB-007,18,495.3,0.73,true
FCT-055,SUB-007,24,413.4,0.7,false
FCT-056,SUB-007,24,530.4,0.65,true
FCT-057,SUB-008,6,517.6,0.95,false
FCT-058,SUB-008,6,522.8,0.9,true
FCT-059,SUB-008,12,525.3,0.88,false
FCT-060,SUB-008,12,535.5,0.83,true
FCT-061,SUB-008,18,532.9,0.78,false
FCT-062,SUB-008,18,548.2,0.73,true
FCT-063,SUB-008,24,540.6,0.7,false
FCT-064,SUB-008,24,561.0,0.65,true
FCT-065,SUB-009,6,730.8,0.95,false
FCT-066,SUB-009,6,738.0,0.9,true
FCT-067,SUB-009,12,741.6,0.88,false
FCT-068,SUB-009,12,756.0,0.83,true
FCT-069,SUB-009,18,752.4,0.78,false
FCT-070,SUB-009,18,774.0,0.73,true
FCT-071,SUB-009,24,763.2,0.7,false
FCT-072,SUB-009,24,792.0,0.65,true
FCT-073,SUB-010,6,568.4,0.95,false
FCT-074,SUB-010,6,574.0,0.9,true
FCT-075,SUB-010,12,576.8,0.88,false
FCT-076,SUB-010,12,588.0,0.83,true
FCT-077,SUB-010,18,585.2,0.78,false
FCT-078,SUB-010,18,602.0,0.73,true
FCT-079,SUB-010,24,593.6,0.7,false
FCT-080,SUB-010,24,616.0,0.65,true
FCT-081,SUB-011,6,324.8,0.95,false
FCT-082,SUB-011,6,328.0,0.9,true
FCT-083,SUB-011,12,329.6,0.88,false
FCT-084,SUB-011,12,336.0,0.83,true
FCT-085,SUB-011,18,334.4,0.78,false
FCT-086,SUB-011,18,344.0,0.73,true
FCT-087,SUB-011,24,339.2,0.7,false
FCT-088,SUB-011,24,352.0,0.65,true
FCT-089,SUB-012,6,649.6,0.95,false
FCT-090,SUB-012,6,656.0,0.9,true
FCT-091,SUB-012,12,659.2,0.88,false
FCT-092,SUB-012,12,672.0,0.83,true
FCT-093,SUB-012,18,668.8,0.78,false
FCT-094,SUB-012,18,688.0,0.73,true
FCT-095,SUB-012,24,678.4,0.7,false
FCT-096,SUB-012,24,704.0,0.65,true
