ID,LOAD_ZONE_ID,PERIOD,DEMAND_MW,PRICE_PER_MWH
DP-001,LZ-001,0,2885.0,37.0
DP-002,LZ-001,1,2851.0,35.0
DP-003,LZ-001,2,2834.0,34.0
DP-004,LZ-001,3,2834.0,34.0
DP-005,LZ-001,4,2851.0,35.0
DP-006,LZ-001,5,2936.0,40.0
DP-007,LZ-001,6,3140.0,48.0
DP-008,LZ-001,7,3395.0,73.0
DP-009,LZ-001,8,3650.0,85.0
DP-010,LZ-001,9,3820.0,120.0
DP-011,LZ-001,10,3990.0,130.0
DP-012,LZ-001,11,4075.0,135.0
DP-013,LZ-001,12,4160.0,184.0
DP-014,LZ-001,13,4245.0,190.5
DP-015,LZ-001,14,4330.0,197.0
DP-016,LZ-001,15,4415.0,150.0
DP-017,LZ-001,16,4500.0,210.0
DP-018,LZ-001,17,4466.0,186.0
DP-019,LZ-001,18,4245.0,190.5
DP-020,LZ-001,19,3990.0,130.0
DP-021,LZ-001,20,3735.0,89.0
DP-022,LZ-001,21,3480.0,77.0
DP-023,LZ-001,22,3225.0,50.5
DP-024,LZ-001,23,3004.0,44.0
DP-025,LZ-002,0,2680.0,37.0
DP-026,LZ-002,1,2648.0,35.0
DP-027,LZ-002,2,2632.0,34.0
DP-028,LZ-002,3,2632.0,34.0
DP-029,LZ-002,4,2648.0,35.0
DP-030,LZ-002,5,2728.0,40.0
DP-031,LZ-002,6,2920.0,48.0
DP-032,LZ-002,7,3160.0,73.0
DP-033,LZ-002,8,3400.0,85.0
DP-034,LZ-002,9,3560.0,120.0
DP-035,LZ-002,10,3720.0,130.0
DP-036,LZ-002,11,3800.0,135.0
DP-037,LZ-002,12,3880.0,184.0
DP-038,LZ-002,13,3960.0,190.5
DP-039,LZ-002,14,4040.0,197.0
DP-040,LZ-002,15,4120.0,150.0
DP-041,LZ-002,16,4200.0,210.0
DP-042,LZ-002,17,4168.0,186.0
DP-043,LZ-002,18,3960.0,190.5
DP-044,LZ-002,19,3720.0,130.0
DP-045,LZ-002,20,3480.0,89.0
DP-046,LZ-002,21,3240.0,77.0
DP-047,LZ-002,22,3000.0,50.5
DP-048,LZ-002,23,2792.0,44.0
DP-049,LZ-003,0,2060.0,37.0
DP-050,LZ-003,1,2036.0,35.0
DP-051,LZ-003,2,2024.0,34.0
DP-052,LZ-003,3,2024.0,34.0
DP-053,LZ-003,4,2036.0,35.0
DP-054,LZ-003,5,2096.0,40.0
DP-055,LZ-003,6,2240.0,48.0
DP-056,LZ-003,7,2420.0,73.0
DP-057,LZ-003,8,2600.0,85.0
DP-058,LZ-003,9,2720.0,120.0
DP-059,LZ-003,10,2840.0,130.0
DP-060,LZ-003,11,2900.0,135.0
DP-061,LZ-003,12,2960.0,184.0
DP-062,LZ-003,13,3020.0,190.5
DP-063,LZ-003,14,3080.0,197.0
DP-064,LZ-003,15,3140.0,150.0
DP-065,LZ-003,16,3200.0,210.0
DP-066,LZ-003,17,3176.0,186.0
DP-067,LZ-003,18,3020.0,190.5
DP-068,LZ-003,19,2840.0,130.0
DP-069,LZ-003,20,2660.0,89.0
DP-070,LZ-003,21,2480.0,77.0
DP-071,LZ-003,22,2300.0,50.5
DP-072,LZ-003,23,2144.0,44.0
DP-073,LZ-004,0,945.0,37.0
DP-074,LZ-004,1,927.0,35.0
DP-075,LZ-004,2,918.0,34.0
DP-076,LZ-004,3,918.0,34.0
DP-077,LZ-004,4,927.0,35.0
DP-078,LZ-004,5,972.0,40.0
DP-079,LZ-004,6,1080.0,48.0
DP-080,LZ-004,7,1215.0,73.0
DP-081,LZ-004,8,1350.0,85.0
DP-082,LZ-004,9,1440.0,120.0
DP-083,LZ-004,10,1530.0,130.0
DP-084,LZ-004,11,1575.0,135.0
DP-085,LZ-004,12,1620.0,184.0
DP-086,LZ-004,13,1665.0,190.5
DP-087,LZ-004,14,1710.0,197.0
DP-088,LZ-004,15,1755.0,150.0
DP-089,LZ-004,16,1800.0,210.0
DP-090,LZ-004,17,1782.0,186.0
DP-091,LZ-004,18,1665.0,190.5
DP-092,LZ-004,19,1530.0,130.0
DP-093,LZ-004,20,1395.0,89.0
DP-094,LZ-004,21,1260.0,77.0
DP-095,LZ-004,22,1125.0,50.5
DP-096,LZ-004,23,1008.0,44.0
DP-097,LZ-005,0,930.0,37.0
DP-098,LZ-005,1,918.0,35.0
DP-099,LZ-005,2,912.0,34.0
DP-100,LZ-005,3,912.0,34.0
DP-101,LZ-005,4,918.0,35.0
DP-102,LZ-005,5,948.0,40.0
DP-103,LZ-005,6,1020.0,48.0
DP-104,LZ-005,7,1110.0,73.0
DP-105,LZ-005,8,1200.0,85.0
DP-106,LZ-005,9,1260.0,120.0
DP-107,LZ-005,10,1320.0,130.0
DP-108,LZ-005,11,1350.0,135.0
DP-109,LZ-005,12,1380.0,184.0
DP-110,LZ-005,13,1410.0,190.5
DP-111,LZ-005,14,1440.0,197.0
DP-112,LZ-005,15,1470.0,150.0
DP-113,LZ-005,16,1500.0,210.0
DP-114,LZ-005,17,1488.0,186.0
DP-115,LZ-005,18,1410.0,190.5
DP-116,LZ-005,19,1320.0,130.0
DP-117,LZ-005,20,1230.0,89.0
DP-118,LZ-005,21,1140.0,77.0
DP-119,LZ-005,22,1050.0,50.5
DP-120,LZ-005,23,972.0,44.0
