READING_ID,SUBSTATION_ID,READING_DATE,LOAD_MW,TEMPERATURE_F,IS_PEAK_SEASON
1,SUB-001,2022-01-15,1202.9,61.0,0
2,SUB-001,2022-02-15,1116.7,72.0,0
3,SUB-001,2022-03-15,1120.4,69.8,0
4,SUB-001,2022-04-15,1113.9,81.4,0
5,SUB-001,2022-05-15,1127.5,88.0,0
6,SUB-001,2022-06-15,1602.1,92.2,1
7,SUB-001,2022-07-15,1489.3,99.9,1
8,SUB-001,2022-08-15,1537.2,97.9,1
9,SUB-001,2022-09-15,1433.9,89.5,1
10,SUB-001,2022-10-15,1110.3,85.2,0
11,SUB-001,2022-11-15,1096.5,72.7,0
12,SUB-001,2022-12-15,1144.1,60.0,0
13,SUB-001,2023-01-15,1140.4,63.7,0
14,SUB-001,2023-02-15,1160.6,68.1,0
15,SUB-001,2023-03-15,1195.9,70.3,0
16,SUB-001,2023-04-15,1129.9,76.2,0
17,SUB-001,2023-05-15,1125.4,85.5,0
18,SUB-001,2023-06-15,1591.7,92.9,1
19,SUB-001,2023-07-15,1524.4,96.7,1
20,SUB-001,2023-08-15,1560.8,98.8,1
21,SUB-001,2023-09-15,1418.3,92.5,1
22,SUB-001,2023-10-15,1130.4,86.5,0
23,SUB-001,2023-11-15,1166.0,69.5,0
24,SUB-001,2023-12-15,1141.6,62.0,0
25,SUB-001,2024-01-15,1181.5,63.2,0
26,SUB-001,2024-02-15,1165.4,67.0,0
27,SUB-001,2024-03-15,1093.8,73.3,0
28,SUB-001,2024-04-15,1167.0,81.2,0
29,SUB-001,2024-05-15,1168.4,89.4,0
30,SUB-001,2024-06-15,1623.9,91.5,1
31,SUB-001,2024-07-15,1603.2,90.4,1
32,SUB-001,2024-08-15,1620.7,98.5,1
33,SUB-001,2024-09-15,1495.9,90.4,1
34,SUB-001,2024-10-15,1184.4,85.2,0
35,SUB-001,2024-11-15,1111.7,74.2,0
36,SUB-001,2024-12-15,1255.8,66.0,0
37,SUB-001,2025-01-15,1212.2,62.7,0
