ID,GENERATOR_ID,PERIOD,CAPACITY_FACTOR
RP-001,GEN-007,0,0.0
RP-002,GEN-007,1,0.0
RP-003,GEN-007,2,0.0
RP-004,GEN-007,3,0.0
RP-005,GEN-007,4,0.0
RP-006,GEN-007,5,0.0
RP-007,GEN-007,6,0.091
RP-008,GEN-007,7,0.172
RP-009,GEN-007,8,0.295
RP-010,GEN-007,9,0.458
RP-011,GEN-007,10,0.644
RP-012,GEN-007,11,0.823
RP-013,GEN-007,12,0.952
RP-014,GEN-007,13,1.0
RP-015,GEN-007,14,0.952
RP-016,GEN-007,15,0.823
RP-017,GEN-007,16,0.644
RP-018,GEN-007,17,0.458
RP-019,GEN-007,18,0.295
RP-020,GEN-007,19,0.172
RP-021,GEN-007,20,0.091
RP-022,GEN-007,21,0.0
RP-023,GEN-007,22,0.0
RP-024,GEN-007,23,0.0
RP-025,GEN-008,0,0.0
RP-026,GEN-008,1,0.0
RP-027,GEN-008,2,0.0
RP-028,GEN-008,3,0.0
RP-029,GEN-008,4,0.0
RP-030,GEN-008,5,0.0
RP-031,GEN-008,6,0.091
RP-032,GEN-008,7,0.172
RP-033,GEN-008,8,0.295
RP-034,GEN-008,9,0.458
RP-035,GEN-008,10,0.644
RP-036,GEN-008,11,0.823
RP-037,GEN-008,12,0.952
RP-038,GEN-008,13,1.0
RP-039,GEN-008,14,0.952
RP-040,GEN-008,15,0.823
RP-041,GEN-008,16,0.644
RP-042,GEN-008,17,0.458
RP-043,GEN-008,18,0.295
RP-044,GEN-008,19,0.172
RP-045,GEN-008,20,0.091
RP-046,GEN-008,21,0.0
RP-047,GEN-008,22,0.0
RP-048,GEN-008,23,0.0
RP-049,GEN-009,0,0.0
RP-050,GEN-009,1,0.0
RP-051,GEN-009,2,0.0
RP-052,GEN-009,3,0.0
RP-053,GEN-009,4,0.0
RP-054,GEN-009,5,0.0
RP-055,GEN-009,6,0.091
RP-056,GEN-009,7,0.172
RP-057,GEN-009,8,0.295
RP-058,GEN-009,9,0.458
RP-059,GEN-009,10,0.644
RP-060,GEN-009,11,0.823
RP-061,GEN-009,12,0.952
RP-062,GEN-009,13,1.0
RP-063,GEN-009,14,0.952
RP-064,GEN-009,15,0.823
RP-065,GEN-009,16,0.644
RP-066,GEN-009,17,0.458
RP-067,GEN-009,18,0.295
RP-068,GEN-009,19,0.172
RP-069,GEN-009,20,0.091
RP-070,GEN-009,21,0.0
RP-071,GEN-009,22,0.0
RP-072,GEN-009,23,0.0
RP-073,GEN-010,0,0.505
RP-074,GEN-010,1,0.452
RP-075,GEN-010,2,0.437
RP-076,GEN-010,3,0.466
RP-077,GEN-010,4,0.438
RP-078,GEN-010,5,0.478
RP-079,GEN-010,6,0.442
RP-080,GEN-010,7,0.311
RP-081,GEN-010,8,0.425
RP-082,GEN-010,9,0.311
RP-083,GEN-010,10,0.366
RP-084,GEN-010,11,0.328
RP-085,GEN-010,12,0.287
RP-086,GEN-010,13,0.203
RP-087,GEN-010,14,0.277
RP-088,GEN-010,15,0.39
RP-089,GEN-010,16,0.357
RP-090,GEN-010,17,0.468
RP-091,GEN-010,18,0.442
RP-092,GEN-010,19,0.459
RP-093,GEN-010,20,0.523
RP-094,GEN-010,21,0.517
RP-095,GEN-010,22,0.433
RP-096,GEN-010,23,0.463
RP-097,GEN-011,0,0.393
RP-098,GEN-011,1,0.439
RP-099,GEN-011,2,0.459
RP-100,GEN-011,3,0.454
RP-101,GEN-011,4,0.57
RP-102,GEN-011,5,0.497
RP-103,GEN-011,6,0.433
RP-104,GEN-011,7,0.311
RP-105,GEN-011,8,0.348
RP-106,GEN-011,9,0.327
RP-107,GEN-011,10,0.346
RP-108,GEN-011,11,0.355
RP-109,GEN-011,12,0.214
RP-110,GEN-011,13,0.311
RP-111,GEN-011,14,0.228
RP-112,GEN-011,15,0.32
RP-113,GEN-011,16,0.343
RP-114,GEN-011,17,0.432
RP-115,GEN-011,18,0.427
RP-116,GEN-011,19,0.489
RP-117,GEN-011,20,0.538
RP-118,GEN-011,21,0.493
RP-119,GEN-011,22,0.46
RP-120,GEN-011,23,0.449
RP-121,GEN-012,0,0.377
RP-122,GEN-012,1,0.481
RP-123,GEN-012,2,0.503
RP-124,GEN-012,3,0.479
RP-125,GEN-012,4,0.567
RP-126,GEN-012,5,0.445
RP-127,GEN-012,6,0.394
RP-128,GEN-012,7,0.343
RP-129,GEN-012,8,0.348
RP-130,GEN-012,9,0.359
RP-131,GEN-012,10,0.356
RP-132,GEN-012,11,0.344
RP-133,GEN-012,12,0.175
RP-134,GEN-012,13,0.295
RP-135,GEN-012,14,0.253
RP-136,GEN-012,15,0.279
RP-137,GEN-012,16,0.384
RP-138,GEN-012,17,0.348
RP-139,GEN-012,18,0.367
RP-140,GEN-012,19,0.469
RP-141,GEN-012,20,0.464
RP-142,GEN-012,21,0.476
RP-143,GEN-012,22,0.434
RP-144,GEN-012,23,0.526
