substation_id,timestamp,target_load_mw
SUB-001,2022-01-01,1096.6
SUB-001,2022-02-01,1164.7
SUB-001,2022-03-01,1068.6
SUB-001,2022-04-01,1147.8
SUB-001,2022-05-01,1105.1
SUB-001,2022-06-01,1496.3
SUB-001,2022-07-01,1579.5
SUB-001,2022-08-01,1539.1
SUB-001,2022-09-01,1351.9
SUB-001,2022-10-01,1121.6
SUB-001,2022-11-01,1121.2
SUB-001,2022-12-01,1132.5
SUB-001,2023-01-01,1124.1
SUB-001,2023-02-01,1186.7
SUB-001,2023-03-01,1134.7
SUB-001,2023-04-01,1101.7
SUB-001,2023-05-01,1164.6
SUB-001,2023-06-01,1503.9
SUB-001,2023-07-01,1575.5
SUB-001,2023-08-01,1586.9
SUB-001,2023-09-01,1364.7
SUB-001,2023-10-01,1127.7
SUB-001,2023-11-01,1105.1
SUB-001,2023-12-01,1139.9
SUB-001,2024-01-01,1239.2
SUB-001,2024-02-01,1144.4
SUB-001,2024-03-01,1107.0
SUB-001,2024-04-01,1192.3
SUB-001,2024-05-01,1172.3
SUB-001,2024-06-01,1664.8
SUB-002,2022-01-01,970.3
SUB-002,2022-02-01,969.3
SUB-002,2022-03-01,962.1
SUB-002,2022-04-01,999.7
SUB-002,2022-05-01,954.2
SUB-002,2022-06-01,1322.1
SUB-002,2022-07-01,1375.0
SUB-002,2022-08-01,1380.9
SUB-002,2022-09-01,1172.8
SUB-002,2022-10-01,983.7
SUB-002,2022-11-01,939.8
SUB-002,2022-12-01,1038.3
SUB-002,2023-01-01,1033.9
SUB-002,2023-02-01,1046.4
SUB-002,2023-03-01,1010.9
SUB-002,2023-04-01,998.7
SUB-002,2023-05-01,990.0
SUB-002,2023-06-01,1433.7
SUB-002,2023-07-01,1312.9
SUB-002,2023-08-01,1364.2
SUB-002,2023-09-01,1260.9
SUB-002,2023-10-01,947.6
SUB-002,2023-11-01,973.2
SUB-002,2023-12-01,1017.2
SUB-002,2024-01-01,1051.5
SUB-002,2024-02-01,1032.6
SUB-002,2024-03-01,1035.0
SUB-002,2024-04-01,975.6
SUB-002,2024-05-01,1003.3
SUB-002,2024-06-01,1359.2
SUB-003,2022-01-01,713.3
SUB-003,2022-02-01,719.6
SUB-003,2022-03-01,705.5
SUB-003,2022-04-01,690.1
SUB-003,2022-05-01,694.5
SUB-003,2022-06-01,995.7
SUB-003,2022-07-01,985.9
SUB-003,2022-08-01,948.0
SUB-003,2022-09-01,825.4
SUB-003,2022-10-01,691.8
SUB-003,2022-11-01,669.7
SUB-003,2022-12-01,706.2
SUB-003,2023-01-01,694.0
SUB-003,2023-02-01,761.4
SUB-003,2023-03-01,692.9
SUB-003,2023-04-01,734.6
SUB-003,2023-05-01,697.7
SUB-003,2023-06-01,998.5
SUB-003,2023-07-01,1021.8
SUB-003,2023-08-01,922.2
SUB-003,2023-09-01,843.8
SUB-003,2023-10-01,724.9
SUB-003,2023-11-01,710.6
SUB-003,2023-12-01,708.7
SUB-003,2024-01-01,781.4
SUB-003,2024-02-01,725.0
SUB-003,2024-03-01,715.6
SUB-003,2024-04-01,710.7
SUB-003,2024-05-01,702.9
SUB-003,2024-06-01,1033.6
SUB-004,2022-01-01,531.2
SUB-004,2022-02-01,562.4
SUB-004,2022-03-01,533.0
SUB-004,2022-04-01,536.6
SUB-004,2022-05-01,529.8
SUB-004,2022-06-01,761.4
SUB-004,2022-07-01,760.1
SUB-004,2022-08-01,757.0
SUB-004,2022-09-01,664.6
SUB-004,2022-10-01,560.3
SUB-004,2022-11-01,533.6
