ID,FROM_SUBSTATION_ID,TO_SUBSTATION_ID,CAPACITY_MW,LENGTH_KM,IMPEDANCE,IS_ACTIVE,MAINTENANCE_PRIORITY
TL-001,SUB-001,SUB-002,2400,385,0.116,true,high
TL-002,SUB-001,SUB-003,1800,310,0.093,true,high
TL-003,SUB-003,SUB-004,1400,130,0.039,true,medium
TL-004,SUB-004,SUB-011,1200,150,0.045,true,medium
TL-005,SUB-011,SUB-002,1600,145,0.044,true,medium
TL-006,SUB-005,SUB-006,900,215,0.065,true,medium
TL-007,SUB-006,SUB-009,800,240,0.072,true,low
TL-008,SUB-005,SUB-010,1000,280,0.084,true,medium
TL-009,SUB-010,SUB-002,1200,265,0.08,true,high
TL-010,SUB-007,SUB-001,1400,340,0.102,true,medium
TL-011,SUB-007,SUB-012,800,260,0.078,true,low
TL-012,SUB-003,SUB-007,1100,230,0.069,true,medium
TL-013,SUB-008,SUB-005,700,480,0.144,true,low
TL-014,SUB-002,SUB-010,1000,270,0.081,true,medium
TL-015,SUB-009,SUB-010,700,310,0.093,true,low
TL-016,SUB-011,SUB-003,1100,250,0.075,true,medium
TL-017,SUB-001,SUB-012,900,520,0.156,true,low
TL-018,SUB-004,SUB-002,1300,310,0.093,true,medium
