ticker,name,sector,benchmark_weight,avg_dollar_volume,previous_weight
AAPL,Apple Inc.,Technology,0.02850941820043864,380000000,0.04483963307062611
MSFT,Microsoft Corporation,Technology,0.040427822936529634,210000000,0.06358490845282631
NVDA,NVIDIA Corporation,Technology,0.03657476998503199,75000000,0.057524824050816686
AVGO,Broadcom Inc.,Technology,0.014869334186007837,620000000,0.0
CRM,"Salesforce, Inc.",Technology,0.01604595373732633,210000000,0.0
ADBE,Adobe Inc.,Technology,0.022980913607164522,380000000,0.03614439714371869
ORCL,Oracle Corporation,Technology,0.02195537729917564,380000000,0.0345314329145813
AMD,"Advanced Micro Devices, Inc.",Technology,0.03911736428276639,140000000,0.061523818157126535
CSCO,"Cisco Systems, Inc.",Technology,0.055818284843596536,75000000,0.08779103780448425
INTU,Intuit Inc.,Technology,0.02370076092196242,620000000,0.037276573508577535
LLY,Eli Lilly and Company,Healthcare,0.009311776639263162,210000000,0.0
UNH,UnitedHealth Group Incorporated,Healthcare,0.019208708293622586,900000000,0.0
JNJ,Johnson & Johnson,Healthcare,0.021594548183496206,900000000,0.033963920626729156
MRK,"Merck & Co., Inc.",Healthcare,0.019830939114682623,2400000000,0.031190115038356506
ABBV,AbbVie Inc.,Healthcare,0.01313818338032088,900000000,0.0
TMO,Thermo Fisher Scientific Inc.,Healthcare,0.027543679919243436,210000000,0.04332071922024162
ABT,Abbott Laboratories,Healthcare,0.030011786520567112,140000000,0.04720255902505535
DHR,Danaher Corporation,Healthcare,0.019360377948803985,620000000,0.0
JPM,JPMorgan Chase & Co.,Financials,0.029309847466305536,2400000000,0.04609854878500958
BAC,Bank of America Corporation,Financials,0.012169664513117285,210000000,0.0
WFC,Wells Fargo & Company,Financials,0.018337078626838848,620000000,0.0
GS,"The Goldman Sachs Group, Inc.",Financials,0.01378156364158187,1500000000,0.0
MS,Morgan Stanley,Financials,0.014879093491392348,110000000,0.0
AXP,American Express Company,Financials,0.03784669484508599,1500000000,0.05952530836856932
BLK,"BlackRock, Inc.",Financials,0.006647351071864783,2400000000,0.0
SCHW,The Charles Schwab Corporation,Financials,0.007028706343813344,2400000000,0.0
AMZN,"Amazon.com, Inc.",Consumer Discretionary,0.02820985659788249,1500000000,0.0443684823706634
TSLA,"Tesla, Inc.",Consumer Discretionary,0.026069081993558497,380000000,0.04100147056179647
HD,"The Home Depot, Inc.",Consumer Discretionary,0.008103841991322414,620000000,0.0
MCD,McDonald's Corporation,Consumer Discretionary,0.014438265292210978,620000000,0.0
NKE,"NIKE, Inc.",Consumer Discretionary,0.023754543279611785,620000000,0.037361162438653756
LOW,"Lowe's Companies, Inc.",Consumer Discretionary,0.019408614241028257,75000000,0.0
SBUX,Starbucks Corporation,Consumer Discretionary,0.009512284393115283,110000000,0.0
BKNG,Booking Holdings Inc.,Consumer Discretionary,0.020503512211270284,210000000,0.03224793847944313
CAT,Caterpillar Inc.,Industrials,0.006053310941933464,210000000,0.0
GE,GE Aerospace,Industrials,0.027955392112961285,620000000,0.04396826044915126
HON,Honeywell International Inc.,Industrials,0.0023282781447791804,620000000,0.0
UPS,"United Parcel Service, Inc.",Industrials,0.0172801347782732,2400000000,0.0
RTX,RTX Corporation,Industrials,0.008841353833411999,2400000000,0.0
BA,The Boeing Company,Industrials,0.00978918842475301,140000000,0.0
DE,Deere & Company,Industrials,0.019528260360376103,140000000,0.03071406167992039
LMT,Lockheed Martin Corporation,Industrials,0.008224081403511755,620000000,0.0
XOM,Exxon Mobil Corporation,Energy,0.014710989343865399,210000000,0.0
CVX,Chevron Corporation,Energy,0.017463279135038215,380000000,0.0
COP,ConocoPhillips,Energy,0.010049981515992778,1500000000,0.0
SLB,SLB,Energy,0.02777575000510362,110000000,0.04368571921510224
PG,The Procter & Gamble Company,Consumer Staples,0.017504119873968986,110000000,0.0
KO,The Coca-Cola Company,Consumer Staples,0.02678985867715039,210000000,0.04213510863855056
PEP,"PepsiCo, Inc.",Consumer Staples,0.01651797783689325,620000000,0.0
COST,Costco Wholesale Corporation,Consumer Staples,0.019188043611987365,620000000,0.0
