account_id,account_type_prefix
C658247527,C
C1812418129,C
C1544350298,C
C662184778,C
C648614053,C
C658485772,C
C1922440763,C
C234957990,C
C1566199885,C
C1278149340,C
C213913405,C
C1178144946,C
C2076981856,C
C1361333152,C
C1660275627,C
C399914039,C
C828364266,C
C79464430,C
C2132927765,C
C581455076,C
C765864081,C
C1577369912,C
C1962232117,C
C203378011,C
C1983983797,C
C1047335023,C
C413853456,C
C1401632766,C
C1585759405,C
C916884733,C
C1218999932,C
C281930322,C
C2126327419,C
C1352750965,C
C165094398,C
C1043113560,C
C643376447,C
C212589950,C
C1859886092,C
C1640697606,C
C2147126359,C
C1077475240,C
C1038805977,C
C791520502,C
C258213312,C
C1322570769,C
C581605080,C
C51318897,C
C1749621461,C
C1250668520,C
C1270751664,C
C474735735,C
C1308715820,C
C903487655,C
C199828765,C
C2142202301,C
C1423321917,C
C421520608,C
C1864352304,C
C1071397312,C
C1868199292,C
C709616683,C
C159404315,C
C790263218,C
C425279859,C
C1008040846,C
C1343086585,C
C1406154490,C
C2066214289,C
C377226285,C
C102617052,C
C767966076,C
C1707939649,C
C674335740,C
C251766584,C
C584319014,C
C1683709011,C
C879463132,C
C2101527076,C
C1055809288,C
C1921052827,C
C354726692,C
C2046465313,C
C277254429,C
C1568717984,C
C599556294,C
C855048520,C
C1538717187,C
C1186588727,C
C716780385,C
C1240168728,C
C711446907,C
C692435443,C
C461413843,C
C1820420607,C
C1217218864,C
C352927410,C
C1520262404,C
C1237757319,C
C1481259935,C
C2075115765,C
C629586313,C
C1110061558,C
C421063586,C
C816802649,C
C295861604,C
C1443276015,C
C1200869667,C
C754455797,C
C809421762,C
C1879175902,C
C1864390920,C
C2059976574,C
C440212684,C
C2131356877,C
C1339718739,C
C1572778067,C
C621202871,C
C216742273,C
C1451191301,C
C1683174795,C
C1869256646,C
C167292992,C
C2046014385,C
C1926290864,C
C358552175,C
C1023825032,C
C137450034,C
C1605836288,C
C1969225423,C
C14573187,C
C1508146779,C
C1603763244,C
C1514055041,C
C1241687880,C
C881414235,C
C1489638562,C
C1395197193,C
C725825783,C
C645627086,C
C1152264725,C
C1897399258,C
C1047280731,C
C1856690088,C
C1031306576,C
C229722378,C
C87645050,C
C1090006952,C
C1766304801,C
C1769074270,C
C1544922310,C
C103861454,C
C891068137,C
C877199345,C
C430329518,C
