id,title,age_days,in_house
1,inception,5500,0
2,tenet,2000,0
3,interstellar,4100,0
4,the_dark_knight,6500,0
5,dunkirk,3200,0
6,oppenheimer,950,1
7,wolf_of_wall_street,4500,0
8,the_departed,7200,0
9,goodfellas,12500,0
10,once_upon_a_time_in_hollywood,2400,0
11,pulp_fiction,11500,0
12,django_unchained,4900,0
13,the_revenant,3900,0
14,birdman,4200,0
15,la_la_land,3400,0
16,first_man,2700,1
17,whiplash,4200,0
18,drive,5300,0
19,the_irishman,2300,1
20,killers_of_the_flower_moon,890,1
21,civil_war,720,1
22,past_lives,860,1
23,anatomy_of_a_fall,820,1
24,the_brutalist,200,1
