technician_id,period,available,availability_reason
T001,1,1.0,Available
T001,2,1.0,Available
T001,3,1.0,Available
T001,4,1.0,Available
T001,5,0.0,Vacation
T001,6,0.0,Vacation
T001,7,1.0,Available
T001,8,1.0,Available
T001,9,1.0,Available
T001,10,1.0,Available
T001,11,1.0,Available
T001,12,1.0,Available
T002,1,1.0,Available
T002,2,1.0,Available
T002,3,1.0,Available
T002,4,1.0,Available
T002,5,1.0,Available
T002,6,1.0,Available
T002,7,1.0,Available
T002,8,1.0,Available
T002,9,1.0,Available
T002,10,1.0,Available
T002,11,1.0,Available
T002,12,1.0,Available
T003,1,1.0,Available
T003,2,1.0,Available
T003,3,1.0,Available
T003,4,0.0,Training
T003,5,0.0,Training
T003,6,1.0,Available
T003,7,1.0,Available
T003,8,1.0,Available
T003,9,1.0,Available
T003,10,1.0,Available
T003,11,1.0,Available
T003,12,1.0,Available
T004,1,0.0,Onboarding
T004,2,0.5,Onboarding
T004,3,1.0,Available
T004,4,1.0,Available
T004,5,1.0,Available
T004,6,1.0,Available
T004,7,1.0,Available
T004,8,1.0,Available
T004,9,1.0,Available
T004,10,1.0,Available
T004,11,1.0,Available
T004,12,1.0,Available
T005,1,1.0,Available
T005,2,1.0,Available
T005,3,1.0,Available
T005,4,1.0,Available
T005,5,1.0,Available
T005,6,1.0,Available
T005,7,1.0,Available
T005,8,0.0,Sick_Leave
T005,9,1.0,Available
T005,10,1.0,Available
T005,11,1.0,Available
T005,12,1.0,Available
T006,1,1.0,Available
T006,2,1.0,Available
T006,3,1.0,Available
T006,4,1.0,Available
T006,5,1.0,Available
T006,6,1.0,Available
T006,7,1.0,Available
T006,8,1.0,Available
T006,9,1.0,Available
T006,10,1.0,Available
T006,11,1.0,Available
T006,12,1.0,Available
T007,1,1.0,Available
T007,2,1.0,Available
T007,3,0.0,Vacation
T007,4,0.0,Vacation
T007,5,1.0,Available
T007,6,1.0,Available
T007,7,1.0,Available
T007,8,1.0,Available
T007,9,1.0,Available
T007,10,1.0,Available
T007,11,1.0,Available
T007,12,1.0,Available
T008,1,1.0,Available
T008,2,1.0,Available
T008,3,1.0,Available
T008,4,1.0,Available
T008,5,1.0,Available
T008,6,1.0,Available
T008,7,1.0,Available
T008,8,1.0,Available
T008,9,1.0,Available
T008,10,1.0,Available
T008,11,0.0,Vacation
T008,12,0.0,Vacation
T009,1,1.0,Available
T009,2,1.0,Available
T009,3,1.0,Available
T009,4,1.0,Available
T009,5,1.0,Available
T009,6,1.0,Available
T009,7,1.0,Available
T009,8,1.0,Available
T009,9,1.0,Available
T009,10,1.0,Available
T009,11,1.0,Available
T009,12,1.0,Available
T010,1,1.0,Available
T010,2,1.0,Available
T010,3,1.0,Available
T010,4,0.0,Training
T010,5,0.0,Training
T010,6,0.0,Training
T010,7,1.0,Available
T010,8,1.0,Available
T010,9,1.0,Available
T010,10,1.0,Available
T010,11,1.0,Available
T010,12,1.0,Available
T011,1,1.0,Available
T011,2,1.0,Available
T011,3,1.0,Available
T011,4,1.0,Available
T011,5,1.0,Available
T011,6,1.0,Available
T011,7,1.0,Available
T011,8,1.0,Available
T011,9,1.0,Available
