machine_id,product_id,design_speed,optimal_speed,waste_conversion_factor
M001,PRD01,20.8,17.9,0.044
M001,PRD07,22.2,20.3,0.046
M002,PRD01,20.3,19.2,0.046
M002,PRD07,24.9,21.8,0.029
M003,PRD01,21.7,19.8,0.047
M003,PRD07,22.9,20.4,0.046
M004,PRD01,21.1,18.6,0.016
M004,PRD07,22.0,20.4,0.025
M005,PRD01,19.3,16.5,0.048
M005,PRD07,22.9,20.5,0.03
M006,PRD01,21.7,19.8,0.017
M006,PRD07,24.0,20.7,0.041
M007,PRD01,18.9,17.3,0.047
M007,PRD07,25.0,21.5,0.013
M008,PRD01,20.3,17.8,0.028
M008,PRD07,25.9,22.4,0.036
M009,PRD01,21.7,19.9,0.021
M009,PRD07,25.0,23.5,0.033
M010,PRD01,20.1,19.0,0.03
M010,PRD07,23.7,22.1,0.041
M011,PRD02,42.3,38.2,0.01
M011,PRD06,87.3,81.3,0.029
M012,PRD02,40.5,38.2,0.024
M012,PRD06,82.9,73.8,0.035
M013,PRD02,43.7,37.5,0.031
M013,PRD06,87.4,75.0,0.028
M014,PRD02,42.1,38.5,0.017
M014,PRD06,72.6,64.5,0.018
M015,PRD06,77.7,66.7,0.035
M015,PRD02,41.6,39.1,0.035
M016,PRD02,41.9,36.2,0.018
M016,PRD06,83.5,75.9,0.03
M017,PRD02,36.5,33.0,0.022
M017,PRD06,80.5,75.1,0.028
M018,PRD02,44.0,37.6,0.012
M018,PRD06,84.6,72.3,0.015
M019,PRD02,42.5,39.0,0.028
M019,PRD06,82.8,77.6,0.016
M020,PRD02,40.6,38.3,0.011
M020,PRD06,74.3,68.0,0.029
M021,PRD03,32.5,27.8,0.038
M021,PRD06,74.1,64.3,0.012
M021,PRD07,23.1,21.5,0.028
M022,PRD03,28.0,25.5,0.043
M022,PRD06,73.7,66.3,0.042
M022,PRD07,22.7,21.1,0.027
M023,PRD03,31.9,30.2,0.037
M023,PRD06,77.2,73.2,0.033
M023,PRD07,22.3,20.8,0.042
M024,PRD03,31.6,28.7,0.023
M024,PRD06,73.9,63.9,0.027
M024,PRD07,24.9,22.5,0.028
M025,PRD03,32.6,27.8,0.014
M025,PRD06,85.6,78.0,0.041
M025,PRD07,21.7,19.5,0.01
M026,PRD03,28.1,24.1,0.036
M026,PRD06,86.2,76.9,0.042
M026,PRD07,25.3,23.3,0.018
M027,PRD07,22.5,20.2,0.048
M027,PRD06,87.0,79.3,0.012
M027,PRD03,30.8,27.8,0.026
M028,PRD03,30.8,28.6,0.024
M028,PRD06,72.1,63.0,0.015
M028,PRD07,24.1,20.7,0.024
M029,PRD03,31.6,28.6,0.019
M029,PRD06,84.3,77.2,0.021
M029,PRD07,22.5,20.9,0.037
M030,PRD03,32.8,29.4,0.017
M030,PRD06,82.7,70.7,0.036
M030,PRD07,23.0,20.5,0.023
M031,PRD04,12.7,11.8,0.012
M031,PRD08,15.7,14.8,0.017
M032,PRD08,16.2,14.9,0.034
M032,PRD04,12.7,11.4,0.015
M033,PRD04,11.6,10.1,0.037
M033,PRD08,14.5,13.5,0.023
M034,PRD04,11.0,10.2,0.045
M034,PRD08,14.6,12.7,0.029
M035,PRD04,12.0,11.3,0.016
M035,PRD08,16.3,14.6,0.025
M036,PRD04,11.1,10.2,0.035
M036,PRD08,16.4,14.3,0.015
M037,PRD04,12.5,10.7,0.015
M037,PRD08,16.1,14.4,0.017
M038,PRD04,11.6,10.9,0.034
M038,PRD08,15.9,14.5,0.034
M039,PRD04,11.2,10.6,0.044
M039,PRD08,13.8,12.9,0.03
M040,PRD08,14.3,13.2,0.039
M040,PRD04,13.2,12.0,0.043
M041,PRD05,45.6,40.3,0.033
M041,PRD08,16.2,14.7,0.016
M041,PRD07,24.4,20.8,0.049
M042,PRD05,43.6,39.1,0.041
M042,PRD08,13.6,12.3,0.029
M042,PRD07,25.4,23.7,0.028
M043,PRD05,45.5,41.2,0.01
M043,PRD08,15.7,14.8,0.015
M043,PRD07,23.0,21.0,0.014
M044,PRD05,47.8,42.1,0.038
M044,PRD08,16.1,14.9,0.011
M044,PRD07,23.8,22.1,0.045
M045,PRD07,21.9,20.6,0.023
M045,PRD08,14.9,13.6,0.044
M045,PRD05,47.1,43.8,0.025
M046,PRD05,43.5,38.8,0.021
M046,PRD08,16.3,14.7,0.042
M046,PRD07,25.4,21.8,0.045
M047,PRD05,50.3,43.0,0.048
M047,PRD08,15.5,14.6,0.014
M047,PRD07,23.4,21.3,0.025
M048,PRD05,44.9,40.7,0.013
M048,PRD08,15.6,13.6,0.049
M048,PRD07,22.7,19.6,0.029
M049,PRD05,52.2,47.4,0.048
M049,PRD08,14.1,13.0,0.019
M049,PRD07,23.3,20.4,0.037
M050,PRD05,45.9,39.3,0.024
M050,PRD08,15.0,13.5,0.015
M050,PRD07,25.0,22.9,0.031
