run_id,machine_id,product_id,shift_id,period,planned_quantity,actual_quantity,good_quantity,waste_quantity,actual_speed,target_speed
RUN0001,M001,PRD07,SHIFT_DAY,1,162,90,89,1,14.8,20.3
RUN0002,M001,PRD01,SHIFT_SWING,2,143,92,90,2,13.2,17.9
RUN0003,M001,PRD01,SHIFT_NIGHT,3,143,78,75,3,12.6,17.9
RUN0004,M001,PRD07,SHIFT_SWING,4,162,63,62,1,15.4,20.3
RUN0005,M001,PRD01,SHIFT_DAY,5,143,76,74,2,12.8,17.9
RUN0006,M001,PRD01,SHIFT_NIGHT,6,143,68,66,2,12.8,17.9
RUN0007,M001,PRD07,SHIFT_DAY,7,162,86,85,1,14.3,20.3
RUN0008,M001,PRD01,SHIFT_NIGHT,8,143,66,64,2,11.4,17.9
RUN0009,M001,PRD07,SHIFT_NIGHT,8,162,83,80,3,14.3,20.3
RUN0010,M001,PRD07,SHIFT_SWING,9,162,88,87,1,13.5,20.3
RUN0011,M001,PRD01,SHIFT_SWING,9,143,88,84,4,13.4,17.9
RUN0012,M001,PRD01,SHIFT_DAY,10,143,80,78,2,12.4,17.9
RUN0013,M001,PRD07,SHIFT_NIGHT,11,162,103,101,2,14.3,20.3
RUN0014,M001,PRD01,SHIFT_DAY,11,143,100,96,4,13.9,17.9
RUN0015,M001,PRD01,SHIFT_DAY,12,143,79,78,1,13.1,17.9
RUN0016,M002,PRD01,SHIFT_NIGHT,1,153,98,95,3,12.3,19.2
RUN0017,M002,PRD01,SHIFT_DAY,2,153,104,102,2,13.0,19.2
RUN0018,M002,PRD07,SHIFT_DAY,2,174,124,122,2,15.5,21.8
RUN0019,M002,PRD07,SHIFT_DAY,3,174,116,113,3,14.6,21.8
RUN0020,M002,PRD07,SHIFT_DAY,4,174,133,131,2,16.7,21.8
RUN0021,M002,PRD01,SHIFT_NIGHT,4,153,103,98,5,12.9,19.2
RUN0022,M002,PRD01,SHIFT_DAY,5,153,105,100,5,14.0,19.2
RUN0023,M002,PRD07,SHIFT_NIGHT,5,174,107,104,3,14.3,21.8
RUN0024,M002,PRD01,SHIFT_DAY,6,153,112,107,5,14.1,19.2
RUN0025,M002,PRD07,SHIFT_SWING,6,174,131,128,3,16.4,21.8
RUN0026,M002,PRD01,SHIFT_NIGHT,7,153,109,106,3,13.7,19.2
RUN0027,M002,PRD01,SHIFT_NIGHT,8,153,79,76,3,13.0,19.2
RUN0028,M002,PRD01,SHIFT_SWING,9,153,102,99,3,12.8,19.2
RUN0029,M002,PRD01,SHIFT_DAY,10,153,104,101,3,13.0,19.2
RUN0030,M002,PRD07,SHIFT_DAY,11,174,128,127,1,16.1,21.8
RUN0031,M002,PRD07,SHIFT_DAY,12,174,120,117,3,15.1,21.8
RUN0032,M002,PRD01,SHIFT_DAY,12,153,111,106,5,13.9,19.2
RUN0033,M003,PRD07,SHIFT_DAY,1,163,135,132,3,18.1,20.4
RUN0034,M003,PRD01,SHIFT_DAY,1,158,118,117,1,15.8,19.8
RUN0035,M003,PRD01,SHIFT_NIGHT,2,158,119,115,4,16.4,19.8
RUN0036,M003,PRD07,SHIFT_DAY,2,163,123,122,1,17.0,20.4
RUN0037,M003,PRD01,SHIFT_DAY,3,158,126,124,2,17.0,19.8
RUN0038,M003,PRD07,SHIFT_DAY,3,163,120,118,2,16.1,20.4
RUN0039,M003,PRD01,SHIFT_DAY,4,158,118,115,3,16.7,19.8
RUN0040,M003,PRD01,SHIFT_NIGHT,5,158,108,105,3,14.7,19.8
RUN0041,M003,PRD07,SHIFT_NIGHT,6,163,120,116,4,15.8,20.4
RUN0042,M003,PRD01,SHIFT_SWING,6,158,130,126,4,17.1,19.8
RUN0043,M003,PRD07,SHIFT_SWING,7,163,119,116,3,15.7,20.4
RUN0044,M003,PRD01,SHIFT_NIGHT,7,158,119,116,3,15.7,19.8
RUN0045,M003,PRD07,SHIFT_DAY,8,163,113,110,3,17.9,20.4
RUN0046,M003,PRD07,SHIFT_NIGHT,9,163,113,109,4,16.0,20.4
RUN0047,M003,PRD07,SHIFT_SWING,10,163,117,115,2,16.1,20.4
RUN0048,M003,PRD07,SHIFT_SWING,11,163,117,114,3,15.7,20.4
RUN0049,M003,PRD01,SHIFT_DAY,11,158,132,131,1,17.7,19.8
RUN0050,M003,PRD07,SHIFT_SWING,12,163,136,130,6,17.8,20.4
RUN0051,M003,PRD01,SHIFT_NIGHT,12,158,116,112,4,15.2,19.8
RUN0052,M004,PRD01,SHIFT_DAY,1,148,118,118,0,14.8,18.6
RUN0053,M004,PRD07,SHIFT_NIGHT,1,163,106,104,2,13.3,20.4
RUN0054,M004,PRD07,SHIFT_NIGHT,2,163,105,103,2,14.5,20.4
RUN0055,M004,PRD01,SHIFT_NIGHT,2,148,91,91,0,12.6,18.6
RUN0056,M004,PRD07,SHIFT_DAY,3,163,128,126,2,16.1,20.4
RUN0057,M004,PRD01,SHIFT_SWING,4,148,108,107,1,13.6,18.6
RUN0058,M004,PRD07,SHIFT_DAY,4,163,116,114,2,14.5,20.4
RUN0059,M004,PRD01,SHIFT_DAY,5,148,115,114,1,14.4,18.6
RUN0060,M004,PRD07,SHIFT_SWING,5,163,115,113,2,14.4,20.4
RUN0061,M004,PRD01,SHIFT_DAY,6,148,116,116,0,14.5,18.6
RUN0062,M004,PRD07,SHIFT_SWING,6,163,116,114,2,14.6,20.4
RUN0063,M004,PRD07,SHIFT_NIGHT,7,163,112,111,1,14.9,20.4
RUN0064,M004,PRD01,SHIFT_NIGHT,7,148,100,100,0,13.4,18.6
RUN0065,M004,PRD01,SHIFT_NIGHT,8,148,100,100,0,12.6,18.6
RUN0066,M004,PRD07,SHIFT_DAY,9,163,112,110,2,14.1,20.4
RUN0067,M004,PRD01,SHIFT_NIGHT,9,148,100,100,0,12.6,18.6
RUN0068,M004,PRD01,SHIFT_SWING,10,148,101,101,0,12.7,18.6
RUN0069,M004,PRD01,SHIFT_SWING,11,148,108,108,0,13.5,18.6
RUN0070,M004,PRD01,SHIFT_DAY,12,148,105,104,1,13.2,18.6
RUN0071,M005,PRD01,SHIFT_NIGHT,1,132,97,95,2,12.2,16.5
RUN0072,M005,PRD07,SHIFT_DAY,2,164,134,131,3,16.8,20.5
RUN0073,M005,PRD01,SHIFT_DAY,3,132,103,99,4,12.9,16.5
RUN0074,M005,PRD01,SHIFT_DAY,4,132,105,100,5,13.2,16.5
RUN0075,M005,PRD07,SHIFT_SWING,5,164,126,124,2,16.6,20.5
RUN0076,M005,PRD07,SHIFT_NIGHT,6,164,136,132,4,17.0,20.5
RUN0077,M005,PRD07,SHIFT_SWING,7,164,136,132,4,17.0,20.5
RUN0078,M005,PRD01,SHIFT_SWING,7,132,112,111,1,14.1,16.5
RUN0079,M005,PRD07,SHIFT_DAY,8,164,140,136,4,17.5,20.5
RUN0080,M005,PRD01,SHIFT_SWING,8,132,115,110,5,14.4,16.5
RUN0081,M005,PRD07,SHIFT_NIGHT,9,164,132,128,4,16.5,20.5
RUN0082,M005,PRD01,SHIFT_DAY,10,132,119,114,5,14.9,16.5
RUN0083,M005,PRD01,SHIFT_DAY,11,132,119,114,5,14.9,16.5
RUN0084,M005,PRD07,SHIFT_NIGHT,11,164,127,124,3,15.9,20.5
RUN0085,M005,PRD01,SHIFT_SWING,12,132,106,101,5,13.3,16.5
RUN0086,M006,PRD01,SHIFT_SWING,1,158,110,109,1,14.5,19.8
RUN0087,M006,PRD07,SHIFT_NIGHT,1,165,115,111,4,15.1,20.7
RUN0088,M006,PRD01,SHIFT_SWING,2,158,113,112,1,14.9,19.8
RUN0089,M006,PRD07,SHIFT_NIGHT,2,165,117,112,5,15.4,20.7
RUN0090,M006,PRD07,SHIFT_DAY,3,165,103,100,3,15.3,20.7
RUN0091,M006,PRD01,SHIFT_NIGHT,4,158,99,99,0,14.1,19.8
RUN0092,M006,PRD01,SHIFT_SWING,5,158,115,114,1,15.1,19.8
RUN0093,M006,PRD07,SHIFT_DAY,5,165,121,117,4,15.9,20.7
RUN0094,M006,PRD01,SHIFT_NIGHT,6,158,91,90,1,13.9,19.8
RUN0095,M006,PRD07,SHIFT_NIGHT,6,165,91,90,1,13.9,20.7
RUN0096,M006,PRD01,SHIFT_SWING,7,158,96,95,1,15.1,19.8
RUN0097,M006,PRD07,SHIFT_NIGHT,7,165,89,86,3,14.0,20.7
RUN0098,M006,PRD07,SHIFT_DAY,8,165,108,106,2,14.7,20.7
RUN0099,M006,PRD01,SHIFT_DAY,8,158,101,100,1,13.7,19.8
RUN0100,M006,PRD01,SHIFT_DAY,9,158,111,109,2,15.5,19.8
RUN0101,M006,PRD07,SHIFT_NIGHT,9,165,106,104,2,14.8,20.7
RUN0102,M006,PRD01,SHIFT_SWING,10,158,96,95,1,13.8,19.8
RUN0103,M006,PRD07,SHIFT_NIGHT,10,165,106,105,1,15.2,20.7
RUN0104,M006,PRD01,SHIFT_SWING,11,158,87,86,1,13.1,19.8
RUN0105,M006,PRD07,SHIFT_SWING,11,165,93,89,4,14.0,20.7
RUN0106,M006,PRD07,SHIFT_DAY,12,165,96,95,1,15.6,20.7
RUN0107,M006,PRD01,SHIFT_NIGHT,12,158,88,87,1,14.4,19.8
RUN0108,M007,PRD07,SHIFT_SWING,1,172,120,119,1,15.0,21.5
RUN0109,M007,PRD07,SHIFT_NIGHT,2,172,121,120,1,15.2,21.5
RUN0110,M007,PRD07,SHIFT_SWING,3,172,102,101,1,14.2,21.5
RUN0111,M007,PRD01,SHIFT_NIGHT,3,138,89,87,2,12.4,17.3
RUN0112,M007,PRD01,SHIFT_NIGHT,4,138,82,78,4,11.4,17.3
RUN0113,M007,PRD07,SHIFT_NIGHT,4,172,110,110,0,15.3,21.5
RUN0114,M007,PRD07,SHIFT_SWING,5,172,118,117,1,14.8,21.5
RUN0115,M007,PRD07,SHIFT_SWING,6,172,112,111,1,14.0,21.5
RUN0116,M007,PRD01,SHIFT_NIGHT,7,138,82,80,2,12.2,17.3
RUN0117,M007,PRD01,SHIFT_NIGHT,8,138,89,86,3,11.2,17.3
RUN0118,M007,PRD07,SHIFT_SWING,9,172,128,128,0,16.0,21.5
RUN0119,M007,PRD01,SHIFT_NIGHT,9,138,88,85,3,11.0,17.3
RUN0120,M007,PRD01,SHIFT_NIGHT,10,138,96,92,4,12.1,17.3
RUN0121,M007,PRD07,SHIFT_NIGHT,11,172,121,120,1,15.2,21.5
RUN0122,M007,PRD07,SHIFT_DAY,12,172,132,132,0,16.6,21.5
RUN0123,M008,PRD07,SHIFT_NIGHT,1,179,138,136,2,17.3,22.4
RUN0124,M008,PRD01,SHIFT_DAY,2,142,114,112,2,14.3,17.8
RUN0125,M008,PRD07,SHIFT_NIGHT,2,179,142,140,2,17.8,22.4
RUN0126,M008,PRD01,SHIFT_NIGHT,3,142,108,106,2,13.6,17.8
RUN0127,M008,PRD07,SHIFT_SWING,3,179,143,141,2,17.9,22.4
RUN0128,M008,PRD07,SHIFT_NIGHT,4,179,144,141,3,18.0,22.4
RUN0129,M008,PRD07,SHIFT_SWING,5,179,141,140,1,18.8,22.4
RUN0130,M008,PRD07,SHIFT_NIGHT,6,179,144,142,2,18.1,22.4
RUN0131,M008,PRD01,SHIFT_DAY,6,142,112,111,1,14.0,17.8
RUN0132,M008,PRD01,SHIFT_NIGHT,7,142,102,100,2,12.8,17.8
RUN0133,M008,PRD07,SHIFT_NIGHT,7,179,146,142,4,18.3,22.4
RUN0134,M008,PRD01,SHIFT_DAY,8,142,128,125,3,16.1,17.8
RUN0135,M008,PRD01,SHIFT_DAY,9,142,110,107,3,15.1,17.8
RUN0136,M008,PRD01,SHIFT_NIGHT,10,142,106,105,1,13.3,17.8
RUN0137,M008,PRD01,SHIFT_DAY,11,142,112,111,1,15.0,17.8
RUN0138,M008,PRD07,SHIFT_NIGHT,11,179,123,118,5,16.6,22.4
RUN0139,M008,PRD01,SHIFT_DAY,12,142,128,126,2,16.0,17.8
RUN0140,M008,PRD07,SHIFT_SWING,12,179,149,146,3,18.7,22.4
RUN0141,M009,PRD07,SHIFT_NIGHT,1,188,130,128,2,16.3,23.5
RUN0142,M009,PRD01,SHIFT_DAY,1,159,120,120,0,15.1,19.9
RUN0143,M009,PRD01,SHIFT_SWING,2,159,120,119,1,15.1,19.9
RUN0144,M009,PRD01,SHIFT_NIGHT,3,159,107,107,0,13.4,19.9
RUN0145,M009,PRD01,SHIFT_SWING,4,159,112,110,2,14.0,19.9
RUN0146,M009,PRD07,SHIFT_SWING,4,188,133,128,5,16.7,23.5
RUN0147,M009,PRD01,SHIFT_DAY,5,159,120,119,1,15.0,19.9
RUN0148,M009,PRD07,SHIFT_NIGHT,5,188,133,131,2,16.7,23.5
RUN0149,M009,PRD01,SHIFT_SWING,6,159,120,119,1,15.0,19.9
RUN0150,M009,PRD07,SHIFT_NIGHT,7,188,124,122,2,15.5,23.5
RUN0151,M009,PRD01,SHIFT_NIGHT,7,159,102,101,1,12.8,19.9
RUN0152,M009,PRD01,SHIFT_SWING,8,159,98,96,2,15.2,19.9
RUN0153,M009,PRD01,SHIFT_SWING,9,159,105,104,1,13.2,19.9
RUN0154,M009,PRD07,SHIFT_DAY,10,188,132,128,4,16.5,23.5
RUN0155,M009,PRD01,SHIFT_SWING,10,159,116,114,2,14.5,19.9
RUN0156,M009,PRD07,SHIFT_NIGHT,11,188,112,110,2,16.4,23.5
RUN0157,M009,PRD01,SHIFT_DAY,12,159,100,98,2,14.0,19.9
RUN0158,M010,PRD07,SHIFT_NIGHT,1,176,129,124,5,17.8,22.1
RUN0159,M010,PRD07,SHIFT_NIGHT,2,176,129,128,1,16.2,22.1
RUN0160,M010,PRD01,SHIFT_NIGHT,2,152,122,119,3,15.3,19.0
RUN0161,M010,PRD07,SHIFT_DAY,3,176,158,153,5,19.8,22.1
RUN0162,M010,PRD01,SHIFT_NIGHT,4,152,120,117,3,15.1,19.0
RUN0163,M010,PRD07,SHIFT_SWING,5,176,132,130,2,18.0,22.1
RUN0164,M010,PRD01,SHIFT_SWING,6,152,126,125,1,15.8,19.0
RUN0165,M010,PRD07,SHIFT_DAY,7,176,152,150,2,19.0,22.1
RUN0166,M010,PRD01,SHIFT_DAY,8,152,129,128,1,16.2,19.0
RUN0167,M010,PRD07,SHIFT_DAY,9,176,136,133,3,19.9,22.1
RUN0168,M010,PRD01,SHIFT_SWING,10,152,124,121,3,15.5,19.0
RUN0169,M010,PRD01,SHIFT_DAY,11,152,130,126,4,16.3,19.0
RUN0170,M010,PRD07,SHIFT_NIGHT,11,176,127,124,3,15.9,22.1
RUN0171,M010,PRD07,SHIFT_DAY,12,176,160,155,5,20.0,22.1
RUN0172,M011,PRD02,SHIFT_DAY,1,305,189,187,2,28.3,38.2
RUN0173,M011,PRD06,SHIFT_NIGHT,1,650,389,384,5,58.0,81.3
RUN0174,M011,PRD02,SHIFT_NIGHT,2,305,167,167,0,25.0,38.2
RUN0175,M011,PRD02,SHIFT_SWING,3,305,201,200,1,28.7,38.2
RUN0176,M011,PRD02,SHIFT_SWING,4,305,173,173,0,26.6,38.2
RUN0177,M011,PRD06,SHIFT_DAY,4,650,396,387,9,60.8,81.3
RUN0178,M011,PRD06,SHIFT_NIGHT,5,650,311,302,9,54.6,81.3
RUN0179,M011,PRD06,SHIFT_SWING,6,650,261,256,5,52.3,81.3
RUN0180,M011,PRD02,SHIFT_SWING,6,305,130,130,0,26.1,38.2
RUN0181,M011,PRD02,SHIFT_SWING,7,305,190,189,1,24.6,38.2
RUN0182,M011,PRD06,SHIFT_DAY,7,650,423,414,9,54.6,81.3
RUN0183,M011,PRD02,SHIFT_SWING,8,305,164,163,1,24.6,38.2
RUN0184,M011,PRD06,SHIFT_SWING,9,650,404,397,7,55.6,81.3
RUN0185,M011,PRD06,SHIFT_SWING,10,650,391,384,7,58.2,81.3
RUN0186,M011,PRD02,SHIFT_DAY,10,305,181,180,1,26.9,38.2
RUN0187,M011,PRD02,SHIFT_DAY,11,305,174,174,0,26.1,38.2
RUN0188,M011,PRD06,SHIFT_DAY,12,650,325,321,4,55.4,81.3
RUN0189,M012,PRD06,SHIFT_DAY,1,590,322,314,8,52.5,73.8
RUN0190,M012,PRD02,SHIFT_SWING,2,305,213,208,5,26.7,38.2
RUN0191,M012,PRD06,SHIFT_SWING,2,590,388,373,15,48.5,73.8
RUN0192,M012,PRD02,SHIFT_SWING,3,305,213,208,5,26.7,38.2
RUN0193,M012,PRD06,SHIFT_DAY,3,590,394,380,14,49.3,73.8
RUN0194,M012,PRD02,SHIFT_SWING,4,305,212,210,2,26.6,38.2
RUN0195,M012,PRD06,SHIFT_DAY,5,590,432,418,14,54.1,73.8
RUN0196,M012,PRD06,SHIFT_DAY,6,590,449,431,18,56.2,73.8
RUN0197,M012,PRD06,SHIFT_DAY,7,590,390,377,13,52.9,73.8
RUN0198,M012,PRD02,SHIFT_DAY,8,305,237,233,4,29.7,38.2
RUN0199,M012,PRD02,SHIFT_DAY,9,305,207,205,2,27.1,38.2
RUN0200,M012,PRD06,SHIFT_DAY,9,590,434,424,10,56.8,73.8
RUN0201,M012,PRD02,SHIFT_SWING,10,305,210,208,2,26.3,38.2
RUN0202,M012,PRD06,SHIFT_NIGHT,10,590,425,418,7,53.2,73.8
RUN0203,M012,PRD02,SHIFT_NIGHT,11,305,202,201,1,25.3,38.2
RUN0204,M012,PRD06,SHIFT_SWING,12,590,441,427,14,55.2,73.8
RUN0205,M013,PRD02,SHIFT_DAY,1,300,192,190,2,25.7,37.5
