technician_id,machine_type,certification_expiry_date
T001,Turbine,2025-01-27
T001,Generator,2025-05-11
T002,Compressor,2025-06-01
T002,Pump,2025-11-17
T003,Generator,2025-09-03
T003,Motor,2025-05-07
T004,Compressor,2025-04-16
T005,Motor,2025-10-02
T005,Pump,2025-06-20
T006,Pump,2025-08-27
T006,Generator,2025-07-06
T007,Compressor,2025-11-27
T008,Compressor,2025-11-19
T008,Motor,2025-04-19
T009,Turbine,2025-06-11
T009,Generator,2025-05-23
T010,Pump,2025-06-30
T010,Motor,2025-05-03
T011,Compressor,2025-10-21
T012,Motor,2025-06-29
T012,Generator,2025-11-21
T013,Pump,2025-06-19
T013,Compressor,2025-05-06
T014,Motor,2025-09-19
T015,Pump,2025-10-18
T016,Compressor,2025-05-05
T017,Turbine,2025-10-15
T018,Motor,2025-07-31
T018,Pump,2025-08-20
T019,Generator,2025-06-06
T020,Compressor,2025-10-13
T020,Motor,2025-11-09
