sensor_id,machine_id,period,value,is_anomaly
S001,M001,1,5.17,0
S001,M001,2,5.15,0
S001,M001,3,10.19,1
S001,M001,4,10.06,1
S002,M001,1,62.88,0
S002,M001,2,53.57,0
S002,M001,3,66.01,0
S002,M001,4,61.93,0
S003,M002,1,6.23,0
S003,M002,2,6.45,0
S003,M002,3,6.53,0
S003,M002,4,9.27,1
S004,M002,1,67.45,0
S004,M002,2,62.93,0
S004,M002,3,68.8,0
S004,M002,4,55.66,0
S005,M003,1,330.42,0
S005,M003,2,281.99,0
S005,M003,3,302.63,0
S005,M003,4,402.62,0
S006,M003,1,4.54,0
S006,M003,2,4.36,0
S006,M003,3,4.09,0
S006,M003,4,5.17,0
S007,M004,1,224.53,0
S007,M004,2,179.27,0
S007,M004,3,191.15,0
S007,M004,4,214.96,0
S008,M004,1,75.47,0
S008,M004,2,57.11,0
S008,M004,3,59.58,0
S008,M004,4,66.37,0
S009,M005,1,9.77,0
S009,M005,2,12.4,0
S009,M005,3,11.05,0
S009,M005,4,9.11,0
S010,M005,1,52.63,0
S010,M005,2,47.47,0
S010,M005,3,48.16,0
S010,M005,4,47.97,0
S011,M006,1,4.84,0
S011,M006,2,5.64,0
S011,M006,3,5.36,0
S011,M006,4,10.22,1
S012,M006,1,68.09,0
S012,M006,2,66.13,0
S012,M006,3,68.17,0
S012,M006,4,67.0,0
S013,M007,1,5.95,0
S013,M007,2,5.89,0
S013,M007,3,6.06,0
S013,M007,4,6.71,0
S014,M007,1,58.4,0
S014,M007,2,74.95,0
S014,M007,3,54.76,0
S014,M007,4,52.97,0
S015,M008,1,365.17,0
S015,M008,2,388.69,0
S015,M008,3,355.7,0
S015,M008,4,367.59,0
S016,M008,1,5.18,0
S016,M008,2,4.45,0
S016,M008,3,3.82,0
S016,M008,4,4.24,0
S017,M009,1,202.43,0
S017,M009,2,155.45,0
S017,M009,3,184.41,0
S017,M009,4,188.71,0
S018,M009,1,65.23,0
S018,M009,2,72.71,0
S018,M009,3,71.68,0
S018,M009,4,84.21,0
S019,M010,1,11.99,0
S019,M010,2,10.52,0
S019,M010,3,10.58,0
S019,M010,4,10.25,0
S020,M010,1,61.96,0
S020,M010,2,52.85,0
S020,M010,3,55.83,0
S020,M010,4,60.75,0
S021,M011,1,4.84,0
S021,M011,2,5.09,0
S021,M011,3,4.22,0
S021,M011,4,4.64,0
S022,M011,1,59.89,0
S022,M011,2,66.58,0
S022,M011,3,71.87,0
S022,M011,4,63.62,0
S023,M012,1,6.55,0
S023,M012,2,6.49,0
S023,M012,3,7.11,0
S023,M012,4,6.98,0
S024,M012,1,61.75,0
S024,M012,2,53.53,0
S024,M012,3,65.78,0
S024,M012,4,62.44,0
S025,M013,1,381.67,0
S025,M013,2,499.28,1
S025,M013,3,496.52,1
S025,M013,4,336.42,0
S026,M013,1,5.26,0
S026,M013,2,4.56,0
S026,M013,3,4.25,0
S026,M013,4,8.53,1
S027,M014,1,161.63,0
S027,M014,2,177.72,0
S027,M014,3,176.37,0
S027,M014,4,163.98,0
S028,M014,1,70.66,0
S028,M014,2,81.59,0
S028,M014,3,63.29,0
S028,M014,4,66.79,0
S029,M015,1,12.66,0
S029,M015,2,12.4,0
S029,M015,3,13.64,0
S029,M015,4,11.94,0
S030,M015,1,52.58,0
S030,M015,2,50.97,0
S030,M015,3,49.95,0
S030,M015,4,62.08,0
S031,M016,1,6.03,0
S031,M016,2,4.31,0
S031,M016,3,5.01,0
S031,M016,4,5.23,0
S032,M016,1,63.71,0
S032,M016,2,63.14,0
S032,M016,3,94.65,1
S032,M016,4,94.39,1
S033,M017,1,6.5,0
S033,M017,2,6.66,0
S033,M017,3,5.87,0
S033,M017,4,7.68,0
S034,M017,1,64.67,0
S034,M017,2,62.56,0
S034,M017,3,59.11,0
S034,M017,4,57.59,0
S035,M018,1,338.7,0
S035,M018,2,341.58,0
S035,M018,3,276.29,0
S035,M018,4,365.79,0
S036,M018,1,4.89,0
S036,M018,2,4.14,0
S036,M018,3,4.38,0
S036,M018,4,4.85,0
S037,M019,1,168.98,0
S037,M019,2,189.55,0
S037,M019,3,207.45,0
S037,M019,4,182.1,0
S038,M019,1,62.71,0
S038,M019,2,58.61,0
S038,M019,3,89.26,0
S038,M019,4,62.95,0
S039,M020,1,10.21,0
S039,M020,2,10.64,0
S039,M020,3,11.18,0
S039,M020,4,11.42,0
S040,M020,1,61.63,0
S040,M020,2,52.56,0
S040,M020,3,53.96,0
S040,M020,4,56.68,0
S041,M021,1,5.46,0
S041,M021,2,4.98,0
S041,M021,3,4.95,0
S041,M021,4,6.17,0
S042,M021,1,56.21,0
S042,M021,2,68.27,0
S042,M021,3,65.91,0
S042,M021,4,61.45,0
S043,M022,1,5.96,0
S043,M022,2,7.45,0
S043,M022,3,7.55,0
S043,M022,4,5.68,0
S044,M022,1,56.87,0
S044,M022,2,62.51,0
S044,M022,3,48.66,0
S044,M022,4,61.06,0
S045,M023,1,352.63,0
S045,M023,2,303.2,0
S045,M023,3,353.36,0
S045,M023,4,280.56,0
S046,M023,1,4.66,0
S046,M023,2,3.86,0
S046,M023,3,3.28,0
S046,M023,4,4.9,0
S047,M024,1,195.28,0
S047,M024,2,163.01,0
S047,M024,3,216.76,0
S047,M024,4,183.86,0
S048,M024,1,72.18,0
S048,M024,2,60.35,0
S048,M024,3,69.89,0
S048,M024,4,66.53,0
S049,M025,1,12.15,0
S049,M025,2,12.4,0
S049,M025,3,10.65,0
S049,M025,4,12.23,0
S050,M025,1,50.45,0
S050,M025,2,77.94,0
S050,M025,3,63.39,0
S050,M025,4,64.39,0
S051,M026,1,3.98,0
S051,M026,2,6.22,0
S051,M026,3,4.76,0
S051,M026,4,5.57,0
S052,M026,1,70.53,0
S052,M026,2,65.3,0
S052,M026,3,70.46,0
