sensor_id,machine_id,sensor_type,unit,warning_threshold,critical_threshold
S001,M001,vibration,mm_per_s,7.0,12.0
S002,M001,temperature,celsius,85.0,95.0
S003,M002,pressure,bar,8.5,10.0
S004,M002,temperature,celsius,80.0,90.0
S005,M003,flow_rate,L_per_min,450.0,500.0
S006,M003,vibration,mm_per_s,6.0,10.0
S007,M004,voltage,volts,245.0,260.0
S008,M004,temperature,celsius,90.0,100.0
S009,M005,current,amps,15.0,20.0
S010,M005,temperature,celsius,75.0,85.0
S011,M006,vibration,mm_per_s,7.0,12.0
S012,M006,temperature,celsius,85.0,95.0
S013,M007,pressure,bar,8.5,10.0
S014,M007,temperature,celsius,80.0,90.0
S015,M008,flow_rate,L_per_min,450.0,500.0
S016,M008,vibration,mm_per_s,6.0,10.0
S017,M009,voltage,volts,245.0,260.0
S018,M009,temperature,celsius,90.0,100.0
S019,M010,current,amps,15.0,20.0
S020,M010,temperature,celsius,75.0,85.0
S021,M011,vibration,mm_per_s,7.0,12.0
S022,M011,temperature,celsius,85.0,95.0
S023,M012,pressure,bar,8.5,10.0
S024,M012,temperature,celsius,80.0,90.0
S025,M013,flow_rate,L_per_min,450.0,500.0
S026,M013,vibration,mm_per_s,6.0,10.0
S027,M014,voltage,volts,245.0,260.0
S028,M014,temperature,celsius,90.0,100.0
S029,M015,current,amps,15.0,20.0
S030,M015,temperature,celsius,75.0,85.0
S031,M016,vibration,mm_per_s,7.0,12.0
S032,M016,temperature,celsius,85.0,95.0
S033,M017,pressure,bar,8.5,10.0
S034,M017,temperature,celsius,80.0,90.0
S035,M018,flow_rate,L_per_min,450.0,500.0
S036,M018,vibration,mm_per_s,6.0,10.0
S037,M019,voltage,volts,245.0,260.0
S038,M019,temperature,celsius,90.0,100.0
S039,M020,current,amps,15.0,20.0
S040,M020,temperature,celsius,75.0,85.0
S041,M021,vibration,mm_per_s,7.0,12.0
S042,M021,temperature,celsius,85.0,95.0
S043,M022,pressure,bar,8.5,10.0
S044,M022,temperature,celsius,80.0,90.0
S045,M023,flow_rate,L_per_min,450.0,500.0
S046,M023,vibration,mm_per_s,6.0,10.0
S047,M024,voltage,volts,245.0,260.0
S048,M024,temperature,celsius,90.0,100.0
S049,M025,current,amps,15.0,20.0
S050,M025,temperature,celsius,75.0,85.0
S051,M026,vibration,mm_per_s,7.0,12.0
S052,M026,temperature,celsius,85.0,95.0
S053,M027,pressure,bar,8.5,10.0
S054,M027,temperature,celsius,80.0,90.0
S055,M028,flow_rate,L_per_min,450.0,500.0
S056,M028,vibration,mm_per_s,6.0,10.0
S057,M029,voltage,volts,245.0,260.0
S058,M029,temperature,celsius,90.0,100.0
S059,M030,current,amps,15.0,20.0
S060,M030,temperature,celsius,75.0,85.0
