technician_id,machine_type,training_cost,training_weeks
T001,Compressor,6271.0,5
T001,Motor,3330.0,7
T002,Turbine,5984.0,4
T002,Generator,5186.0,5
T003,Turbine,4111.0,5
T003,Compressor,3508.0,2
T004,Turbine,6457.0,8
T004,Generator,6432.0,4
T005,Compressor,3698.0,2
T006,Turbine,4165.0,4
T006,Compressor,5205.0,4
T006,Motor,2327.0,4
T007,Pump,7211.0,5
T007,Generator,2074.0,4
T007,Motor,4643.0,3
T008,Pump,7170.0,2
T009,Compressor,2444.0,7
T009,Motor,6867.0,4
T010,Turbine,3489.0,6
T011,Motor,5531.0,5
T011,Pump,5135.0,5
T012,Turbine,5726.0,6
T012,Pump,6576.0,7
T013,Turbine,5963.0,3
T013,Generator,5312.0,3
T013,Motor,4703.0,6
T014,Turbine,2196.0,4
T014,Generator,6124.0,4
T016,Turbine,5267.0,7
T016,Pump,3594.0,3
T016,Generator,2996.0,4
T016,Motor,6945.0,4
T017,Compressor,4812.0,4
T017,Motor,4963.0,2
T018,Turbine,7337.0,7
T018,Compressor,3502.0,2
T018,Generator,6046.0,8
T019,Turbine,7705.0,8
T019,Pump,2241.0,8
T019,Motor,5114.0,5
T020,Pump,5512.0,7
