id,month_num,label
1,1,2026-01
2,2,2026-02
3,3,2026-03
4,4,2026-04
5,5,2026-05
6,6,2026-06
7,7,2026-07
8,8,2026-08
9,9,2026-09
10,10,2026-10
11,11,2026-11
12,12,2026-12
13,13,2027-01
14,14,2027-02
15,15,2027-03
16,16,2027-04
17,17,2027-05
18,18,2027-06
19,19,2027-07
20,20,2027-08
21,21,2027-09
22,22,2027-10
23,23,2027-11
24,24,2027-12
25,25,2028-01
26,26,2028-02
27,27,2028-03
28,28,2028-04
29,29,2028-05
30,30,2028-06
31,31,2028-07
32,32,2028-08
33,33,2028-09
34,34,2028-10
35,35,2028-11
36,36,2028-12
