supplier_id,period_id,capability_pct
1,1,0.9499
1,2,0.9681
1,3,0.9703
1,4,0.9417
1,5,0.9485
1,6,0.9631
1,7,0.959
1,8,0.9623
1,9,0.9542
1,10,0.9718
1,11,0.9711
1,12,0.9643
1,13,0.9752
1,14,0.9689
1,15,0.956
1,16,0.9686
1,17,0.9556
1,18,0.9743
1,19,0.9653
1,20,0.9642
1,21,0.9596
1,22,0.9789
1,23,0.9655
1,24,0.963
1,25,0.9641
1,26,0.9732
1,27,0.9719
1,28,0.9727
1,29,0.9731
1,30,0.9905
1,31,0.9654
1,32,0.9646
1,33,0.9619
1,34,0.9765
1,35,0.9819
1,36,0.9698
2,1,0.9517
2,2,0.9665
2,3,0.9674
2,4,0.9653
2,5,0.9532
2,6,0.9622
2,7,0.961
2,8,0.962
2,9,0.9685
2,10,0.962
2,11,0.9665
2,12,0.9604
2,13,0.9625
2,14,0.9659
2,15,0.945
2,16,0.9564
2,17,0.9548
2,18,0.9531
2,19,0.9567
2,20,0.9744
2,21,0.9508
2,22,0.9691
2,23,0.9426
2,24,0.956
2,25,0.961
2,26,0.9652
2,27,0.9664
2,28,0.9672
2,29,0.9557
2,30,0.9546
2,31,0.9677
2,32,0.9572
2,33,0.9464
2,34,0.9477
2,35,0.9499
2,36,0.964
3,1,0.9667
3,2,0.9553
3,3,0.9609
3,4,0.9653
3,5,0.9558
3,6,0.9632
3,7,0.9518
3,8,0.9545
3,9,0.9541
3,10,0.9457
3,11,0.9623
3,12,0.9526
3,13,0.9571
3,14,0.9616
3,15,0.961
3,16,0.963
3,17,0.9551
3,18,0.9516
3,19,0.9548
3,20,0.9385
3,21,0.9407
3,22,0.9417
3,23,0.9448
3,24,0.9585
3,25,0.9452
3,26,0.9503
3,27,0.9668
3,28,0.95
3,29,0.9607
3,30,0.9438
3,31,0.9508
3,32,0.9432
3,33,0.949
3,34,0.9606
3,35,0.9347
3,36,0.9561
4,1,0.9541
4,2,0.9457
4,3,0.961
4,4,0.9551
4,5,0.9628
4,6,0.9607
4,7,0.9766
4,8,0.9583
4,9,0.9506
4,10,0.9627
4,11,0.9632
4,12,0.9746
4,13,0.9695
4,14,0.9648
4,15,0.976
4,16,0.9495
4,17,0.9551
4,18,0.9523
4,19,0.9578
4,20,0.948
4,21,0.9682
4,22,0.9597
4,23,0.9473
4,24,0.952
4,25,0.9653
4,26,0.9707
4,27,0.9823
4,28,0.9916
4,29,0.9667
4,30,0.9527
4,31,0.9414
4,32,0.9655
4,33,0.9548
4,34,0.9588
4,35,0.957
4,36,0.9618
5,1,0.9619
5,2,0.9591
5,3,0.9507
5,4,0.9447
5,5,0.9569
5,6,0.9616
5,7,0.9802
5,8,0.9642
5,9,0.9731
5,10,0.9586
5,11,0.9521
5,12,0.9547
5,13,0.9575
5,14,0.9864
5,15,0.9572
5,16,0.9742
5,17,0.9571
5,18,0.9758
5,19,0.9707
5,20,0.9657
5,21,0.9672
5,22,0.9614
5,23,0.9728
5,24,0.9642
5,25,0.9568
5,26,0.9566
5,27,0.9715
5,28,0.9859
5,29,0.9721
5,30,0.9697
5,31,0.9741
5,32,0.9847
5,33,0.9742
5,34,0.9682
5,35,0.9838
5,36,0.9773
6,1,0.9621
6,2,0.9483
6,3,0.9471
6,4,0.9776
6,5,0.9786
6,6,0.9599
6,7,0.9581
6,8,0.9768
6,9,0.9514
6,10,0.9538
6,11,0.9694
6,12,0.9593
6,13,0.9635
6,14,0.9622
6,15,0.9675
6,16,0.9785
6,17,0.9656
6,18,0.9714
6,19,0.9447
6,20,0.965
6,21,0.9573
6,22,0.9538
6,23,0.9575
6,24,0.9632
6,25,0.976
6,26,0.9539
6,27,0.9677
6,28,0.9628
6,29,0.9647
6,30,0.9783
6,31,0.9739
6,32,0.9821
6,33,0.9675
6,34,0.9624
6,35,0.9674
6,36,0.9723
