supplier_id,period_id,capability_pct
1,-23,0.9322
1,-22,0.9215
1,-21,0.9358
1,-20,0.9373
1,-19,0.9142
1,-18,0.9194
1,-17,0.9308
1,-16,0.9273
1,-15,0.9297
1,-14,0.923
1,-13,0.9368
1,-12,0.936
1,-11,0.9303
1,-10,0.9388
1,-9,0.9335
1,-8,0.9229
1,-7,0.9328
1,-6,0.9221
1,-5,0.9368
1,-4,0.9294
1,-3,0.9283
1,-2,0.9244
1,-1,0.9396
1,0,0.9286
2,-23,0.9176
2,-22,0.9182
2,-21,0.9253
2,-20,0.9239
2,-19,0.9243
2,-18,0.9244
2,-17,0.9381
2,-16,0.9177
2,-15,0.9169
2,-14,0.9145
2,-13,0.9259
2,-12,0.93
2,-11,0.9201
2,-10,0.9143
2,-9,0.9144
2,-8,0.9262
2,-7,0.9269
2,-6,0.9253
2,-5,0.9157
2,-4,0.9229
2,-3,0.9219
2,-2,0.9227
2,-1,0.928
2,0,0.9228
3,-23,0.9216
3,-22,0.9167
3,-21,0.9185
3,-20,0.9213
3,-19,0.9045
3,-18,0.9136
3,-17,0.9124
3,-16,0.9111
3,-15,0.914
3,-14,0.9282
3,-13,0.9093
3,-12,0.9239
3,-11,0.9027
3,-10,0.9135
3,-9,0.9175
3,-8,0.9209
3,-7,0.9219
3,-6,0.9225
3,-5,0.9134
3,-4,0.9125
3,-3,0.9231
3,-2,0.9147
3,-1,0.906
3,0,0.9071
4,-23,0.9512
4,-22,0.9626
4,-21,0.9597
4,-20,0.9641
4,-19,0.9552
4,-18,0.9599
4,-17,0.9636
4,-16,0.9561
4,-15,0.9623
4,-14,0.9533
4,-13,0.9557
4,-12,0.9555
4,-11,0.949
4,-10,0.9625
4,-9,0.9548
4,-8,0.9587
4,-7,0.9624
4,-6,0.9622
4,-5,0.9639
4,-4,0.9578
4,-3,0.9552
4,-2,0.958
4,-1,0.9451
4,0,0.947
5,-23,0.912
5,-22,0.9146
5,-21,0.9258
5,-20,0.9154
5,-19,0.9196
5,-18,0.933
5,-17,0.9197
5,-16,0.9285
5,-15,0.9151
5,-14,0.921
5,-13,0.915
5,-12,0.9199
5,-11,0.9293
5,-10,0.9088
5,-9,0.9261
5,-8,0.9245
5,-7,0.9178
5,-6,0.911
5,-5,0.9232
5,-4,0.9184
5,-3,0.9245
5,-2,0.9228
5,-1,0.9354
5,0,0.9207
6,-23,0.9328
6,-22,0.9424
6,-21,0.9428
6,-20,0.9519
6,-19,0.9477
6,-18,0.9439
6,-17,0.9527
6,-16,0.9315
6,-15,0.9359
6,-14,0.9336
6,-13,0.9379
6,-12,0.93
6,-11,0.9461
6,-10,0.9392
6,-9,0.9292
6,-8,0.9329
6,-7,0.9435
6,-6,0.9477
6,-5,0.957
6,-4,0.9643
6,-3,0.9443
6,-2,0.9331
6,-1,0.9239
6,0,0.9431
