supplier_id,product_id,period_id,nominal_capacity_usd
1,1,1,560000000.0
1,1,2,563200000.0
1,1,3,566400000.0
1,1,4,569600000.0
1,1,5,572800000.0
1,1,6,576000000.0
1,1,7,579200000.0
1,1,8,582400000.0
1,1,9,585600000.0
1,1,10,588800000.0
1,1,11,592000000.0
1,1,12,595200000.0
1,1,13,598400000.0
1,1,14,601600000.0
1,1,15,604800000.0
1,1,16,608000000.0
1,1,17,611200000.0
1,1,18,614400000.0
1,1,19,617600000.0
1,1,20,620800000.0
1,1,21,624000000.0
1,1,22,627200000.0
1,1,23,630400000.0
1,1,24,633600000.0
1,1,25,636800000.0
1,1,26,640000000.0
1,1,27,643200000.0
1,1,28,646400000.0
1,1,29,649600000.0
1,1,30,652800000.0
1,1,31,656000000.0
1,1,32,659200000.0
1,1,33,662400000.0
1,1,34,665600000.0
1,1,35,668800000.0
1,1,36,672000000.0
2,1,1,373333333.33
2,1,2,375466666.67
2,1,3,377600000.0
2,1,4,379733333.33
2,1,5,381866666.67
2,1,6,384000000.0
2,1,7,386133333.33
2,1,8,388266666.67
2,1,9,390400000.0
2,1,10,392533333.33
2,1,11,394666666.67
2,1,12,396800000.0
2,1,13,398933333.33
2,1,14,401066666.67
2,1,15,403200000.0
2,1,16,405333333.33
2,1,17,407466666.67
2,1,18,409600000.0
2,1,19,411733333.33
2,1,20,413866666.67
2,1,21,416000000.0
2,1,22,418133333.33
2,1,23,420266666.67
2,1,24,422400000.0
2,1,25,424533333.33
2,1,26,426666666.67
2,1,27,428800000.0
2,1,28,430933333.33
2,1,29,433066666.67
2,1,30,435200000.0
2,1,31,437333333.33
2,1,32,439466666.67
2,1,33,441600000.0
2,1,34,443733333.33
2,1,35,445866666.67
2,1,36,448000000.0
1,2,1,170000000.0
1,2,2,170971428.57
1,2,3,171942857.14
1,2,4,172914285.71
1,2,5,173885714.29
1,2,6,174857142.86
1,2,7,175828571.43
1,2,8,176800000.0
1,2,9,177771428.57
1,2,10,178742857.14
1,2,11,179714285.71
1,2,12,180685714.29
1,2,13,181657142.86
1,2,14,182628571.43
1,2,15,183600000.0
1,2,16,184571428.57
1,2,17,185542857.14
1,2,18,186514285.71
1,2,19,187485714.29
1,2,20,188457142.86
1,2,21,189428571.43
1,2,22,190400000.0
1,2,23,191371428.57
1,2,24,192342857.14
1,2,25,193314285.71
1,2,26,194285714.29
1,2,27,195257142.86
1,2,28,196228571.43
1,2,29,197200000.0
1,2,30,198171428.57
1,2,31,199142857.14
1,2,32,200114285.71
1,2,33,201085714.29
1,2,34,202057142.86
1,2,35,203028571.43
1,2,36,204000000.0
3,2,1,396666666.67
3,2,2,398933333.33
3,2,3,401200000.0
3,2,4,403466666.67
3,2,5,405733333.33
3,2,6,408000000.0
3,2,7,410266666.67
3,2,8,412533333.33
3,2,9,414800000.0
3,2,10,417066666.67
3,2,11,419333333.33
3,2,12,421600000.0
3,2,13,423866666.67
3,2,14,426133333.33
3,2,15,428400000.0
3,2,16,430666666.67
3,2,17,432933333.33
3,2,18,435200000.0
3,2,19,437466666.67
3,2,20,439733333.33
3,2,21,442000000.0
3,2,22,444266666.67
3,2,23,446533333.33
3,2,24,448800000.0
3,2,25,451066666.67
3,2,26,453333333.33
3,2,27,455600000.0
3,2,28,457866666.67
3,2,29,460133333.33
3,2,30,462400000.0
3,2,31,464666666.67
3,2,32,466933333.33
3,2,33,469200000.0
3,2,34,471466666.67
3,2,35,473733333.33
3,2,36,476000000.0
3,3,1,300000000.0
3,3,2,301714285.71
3,3,3,303428571.43
3,3,4,305142857.14
3,3,5,306857142.86
3,3,6,308571428.57
3,3,7,310285714.29
3,3,8,312000000.0
3,3,9,313714285.71
3,3,10,315428571.43
3,3,11,317142857.14
3,3,12,318857142.86
3,3,13,320571428.57
3,3,14,322285714.29
3,3,15,324000000.0
3,3,16,325714285.71
3,3,17,327428571.43
3,3,18,329142857.14
3,3,19,330857142.86
3,3,20,332571428.57
3,3,21,334285714.29
3,3,22,336000000.0
3,3,23,337714285.71
3,3,24,339428571.43
3,3,25,341142857.14
3,3,26,342857142.86
3,3,27,344571428.57
3,3,28,346285714.29
3,3,29,348000000.0
3,3,30,349714285.71
