tx_id,src_id,dst_id,amount_dollars,ts_minutes
1,1,2,9000,5
2,1,3,8500,7
3,1,4,9500,9
4,2,5,8980,15
5,3,5,8475,17
6,4,5,9420,19
7,6,7,7000,30
8,6,8,7500,32
9,6,9,7800,34
10,7,10,6950,40
11,8,10,7480,42
12,9,10,7780,44
13,1,11,5000,3
14,11,5,4500,12
15,1,5,20000,1
16,6,10,25000,29
17,1,13,4000,6
18,13,5,9500,18
19,14,5,3000,8
20,15,10,2500,35
21,2,15,1000,16
22,12,5,500,2
23,7,12,500,41
24,5,11,800,25
25,1,14,2000,4
26,1,16,8500,11
27,16,5,7900,21
28,1,17,9200,13
29,17,5,8200,23
30,6,18,7100,36
31,18,10,6500,46
32,23,24,2500,50
33,24,25,1800,52
34,25,23,1200,54
35,26,27,3000,56
36,27,26,2800,58
37,28,29,15000,60
38,29,28,18000,62
39,19,20,5000,65
40,20,21,4500,67
41,21,22,3800,69
42,33,34,4200,71
43,34,35,5500,73
44,35,36,5800,75
45,37,38,3100,77
46,38,39,2700,79
47,39,40,1500,81
48,1,19,3000,4
49,19,5,4000,15
50,6,21,3500,33
51,21,10,4200,38
52,1,5,18000,2
53,6,10,14000,28
54,12,15,11500,40
55,31,32,12500,45
56,5,1,500,80
57,10,6,800,82
58,13,1,1500,84
59,2,30,300,90
60,30,5,200,92
