sku_id,facings_count,demand_units
1,0,0
1,1,50
1,2,82
1,3,105
2,0,0
2,1,70
2,2,116
2,3,147
3,0,0
3,1,40
3,2,66
3,3,84
4,0,0
4,1,85
4,2,140
4,3,178
5,0,0
5,1,45
5,2,74
5,3,94
6,0,0
6,1,90
6,2,148
6,3,189
6,4,212
7,0,0
7,1,65
7,2,107
7,3,136
7,4,153
8,0,0
8,1,35
8,2,58
8,3,74
9,0,0
9,1,55
9,2,91
9,3,116
9,4,129
10,0,0
10,1,75
10,2,124
10,3,158
11,0,0
11,1,35
11,2,58
11,3,74
12,0,0
12,1,55
12,2,91
12,3,116
13,0,0
13,1,25
13,2,41
13,3,52
14,0,0
14,1,30
14,2,50
14,3,63
15,0,0
15,1,45
15,2,74
16,0,0
16,1,60
16,2,99
17,0,0
17,1,35
17,2,58
17,3,74
18,0,0
18,1,30
18,2,50
18,3,63
