pod_id,deployment_id,cpu_millicores,memory_mib,gpu_units
1,1,1000,2048,0
2,1,1000,2048,0
3,1,1000,2048,0
4,1,1000,2048,0
5,1,1000,2048,0
6,1,1000,2048,0
7,1,1000,2048,0
8,1,1000,2048,0
9,2,1500,3072,0
10,2,1500,3072,0
11,2,1500,3072,0
12,2,1500,3072,0
13,3,500,1024,0
14,4,1000,2048,0
15,4,1000,2048,0
16,4,1000,2048,0
17,4,1000,2048,0
18,4,1000,2048,0
19,4,1000,2048,0
20,4,1000,2048,0
21,4,1000,2048,0
22,5,1500,3072,0
23,5,1500,3072,0
24,5,1500,3072,0
25,5,1500,3072,0
26,6,500,1024,0
27,7,2000,8192,1
28,7,2000,8192,1
29,7,2000,8192,1
30,7,2000,8192,1
31,8,2000,4096,0
32,8,2000,4096,0
33,8,2000,4096,0
34,8,2000,4096,0
35,8,2000,4096,0
36,8,2000,4096,0
37,9,500,1024,0
38,10,1000,2048,0
39,10,1000,2048,0
40,10,1000,2048,0
41,10,1000,2048,0
42,10,1000,2048,0
43,10,1000,2048,0
44,10,1000,2048,0
45,10,1000,2048,0
46,11,1500,3072,0
47,11,1500,3072,0
48,11,1500,3072,0
49,11,1500,3072,0
50,12,500,1024,0
