i,j,covar
1,1,0.018641
1,2,0.012500
1,3,0.014200
1,4,0.002100
1,5,0.001800
1,6,0.003500
1,7,0.001200
1,8,0.001000
2,1,0.012500
2,2,0.015400
2,3,0.011800
2,4,0.001900
2,5,0.001600
2,6,0.003200
2,7,0.001100
2,8,0.000900
3,1,0.014200
3,2,0.011800
3,3,0.022100
3,4,0.002300
3,5,0.002000
3,6,0.003800
3,7,0.001400
3,8,0.001100
4,1,0.002100
4,2,0.001900
4,3,0.002300
4,4,0.010200
4,5,0.007500
4,6,0.002800
4,7,0.001500
4,8,0.002200
5,1,0.001800
5,2,0.001600
5,3,0.002000
5,4,0.007500
5,5,0.012800
5,6,0.002600
5,7,0.001300
5,8,0.002000
6,1,0.003500
6,2,0.003200
6,3,0.003800
6,4,0.002800
6,5,0.002600
6,6,0.019600
6,7,0.004200
6,8,0.001800
7,1,0.001200
7,2,0.001100
7,3,0.001400
7,4,0.001500
7,5,0.001300
7,6,0.004200
7,7,0.028900
7,8,0.001600
8,1,0.001000
8,2,0.000900
8,3,0.001100
8,4,0.002200
8,5,0.002000
8,6,0.001800
8,7,0.001600
8,8,0.008100
