A_ARTICLE_ID,PRODUCT_CODE,PROD_NAME,PRODUCT_TYPE_NO,PRODUCT_TYPE_NAME,PRODUCT_GROUP_NAME,GRAPHICAL_APPEARANCE_NO,GRAPHICAL_APPEARANCE_NAME,COLOUR_GROUP_CODE,COLOUR_GROUP_NAME,PERCEIVED_COLOUR_VALUE_ID,PERCEIVED_COLOUR_VALUE_NAME,PERCEIVED_COLOUR_MASTER_ID,PERCEIVED_COLOUR_MASTER_NAME,DEPARTMENT_NO,DEPARTMENT_NAME,INDEX_CODE,INDEX_NAME,INDEX_GROUP_NO,INDEX_GROUP_NAME,SECTION_NO,SECTION_NAME,GARMENT_GROUP_NO,GARMENT_GROUP_NAME,DETAIL_DESC
87595,828819,MINI CARRIE SMALL BAG,66,Bag,Accessories,1010016,Solid,50,Other Pink,5,Bright,4,Pink,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Small fabric shoulder bag with a zip at the top and a narrow shoulder strap with metal chain at each end. Two zipped outer compartments. Lined. Size 4x10x14.5 cm.
41826,670334,ZORROW CLEAN,252,Sweater,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,5828,Jersey Fancy,F,Menswear,3,Menswear,20,Contemporary Smart,1005,Jersey Fancy,"Top in sweatshirt fabric made from a cotton blend with long raglan sleeves and a wrapover, jersey-lined funnel collar with a drawstring. Kangaroo pocket, and ribbing at the cuffs and hem."
59421,723413,SHANIQUA boxy ls,252,Sweater,Garment Upper body,1010022,Jacquard,9,Black,4,Dark,5,Black,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,"Short, boxy-style sports top in sweatshirt fabric with dropped shoulders, long sleeves with a stretch, jacquard-knit panel, and ribbing around the neckline, cuffs and hem."
66235,747197,Barcelona jumpsuit,267,Jumpsuit/Playsuit,Garment Full body,1010017,Stripe,73,Dark Blue,4,Dark,2,Blue,1344,Dresses,D,Divided,2,Divided,53,Divided Collection,1013,Dresses Ladies,"Playsuit in a patterned viscose weave with narrow, adjustable shoulder straps, an elasticated seam at the waist and short, wide legs."
14969,564914,SAGE fur vest,261,Outdoor Waistcoat,Garment Upper body,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,7812,Kids Girl Outdoor,H,Children Sizes 92-140,4,Baby/Children,45,Kids Outerwear,1007,Outdoor,Gilet in soft faux fur with a concealed button at the top. Lined.
104183,919599,Heidi HW Woven SS Boilersuit,268,Dungarees,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1747,Trousers,D,Divided,2,Divided,53,Divided Collection,1009,Trousers,"Short-sleeved boiler suit in cotton twill with notch lapels and concealed buttons down the front. Flap chest pockets, a seam at the waist with a soft tie belt, front pockets and gently tapered legs with covered elastication at the hems."
83916,814015,High price hairpin pk,70,Earring,Accessories,1010016,Solid,10,White,3,Light,9,White,4345,Jewellery Extended,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Three hair clips and two pairs of earrings in metal decorated with pearly plastic beads. Length of hair clips 7-8 cm, length of earrings 2 cm and 4.5 cm."
79035,796461,Inverness midi dress,265,Dress,Garment Full body,1010001,All over pattern,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,1344,Dresses,D,Divided,2,Divided,53,Divided Collection,1013,Dresses Ladies,"Knee-length shirt dress in a patterned viscose weave with a collar, buttons down the front and yoke with a pleat at the back. Detachable tie belt at the waist and high slits in the sides. Unlined."
19781,585440,ANGELICA,259,Shirt,Garment Upper body,1010017,Stripe,71,Light Blue,3,Light,2,Blue,1543,Tops Woven,D,Divided,2,Divided,53,Divided Collection,1010,Blouses,"Sleeveless blouse in a soft viscose weave with a narrow collar, buttons down the front and a rounded hem. Slightly longer at the back."
64437,741615,Hannah fancy ballerina SG,86,Ballerinas,Shoes,1010002,Application/3D,9,Black,4,Dark,5,Black,4311,Kids Girl Shoes,J,"Children Accessories, Swimwear",4,Baby/Children,42,Kids & Baby Shoes,1020,Shoes,Ballet pumps with a loop at the back. Satin linings and insoles and fluted soles with a small heel.
