article_id,name,initial_price,cost,initial_inventory,salvage_rate
74,3p Sneaker Socks,12.96,5.20,800,0.10
53892,Jade HW Skinny Denim TRS,32.60,13.00,400,0.18
57700,Pour It Up Push Bra,12.92,5.20,600,0.12
64286,Maggie high support,47.40,19.00,250,0.20
66518,Rose thong 7-pack,20.53,8.20,500,0.12
84950,Nirvana,27.06,10.80,350,0.15
93584,SPEED ELLA BELTED BLOUSE,17.90,7.20,450,0.14
95244,Jasmine tee,16.54,6.60,700,0.12
95501,LANA seamless HW tigths,24.39,9.80,400,0.15
99398,Lucien CONSCIOUS,25.09,10.00,350,0.16
101695,Skinny Ankle RW Brooklyn,16.67,6.70,550,0.12
103028,Tuna Short,40.18,16.00,300,0.18
