C_CUSTOMER_ID,FN,ACTIVE,CLUB_MEMBER_STATUS,FASHION_NEWS_FREQUENCY,AGE,POSTAL_CODE
759833,,,ACTIVE,NONE,38.0,05b7b1f937c9200f5b72b52a70f57d48d50b4a72ca1a1071654568bae184b2f8
394701,,,ACTIVE,NONE,30.0,bb53963f2d06634ca4feaf147488a00c4fddac16b1d53218eff3e79c7b9072e0
574128,,,ACTIVE,NONE,47.0,60bc9557ef42d1b698a7795f69dec064e029d2c8025b4781031b0fa7069c7af6
429333,,,ACTIVE,NONE,61.0,83dd96193fe8a8a0e1674dc26f6afff399e88e449a21494a599fbe6dd8881bda
743200,,,ACTIVE,NONE,55.0,2ac456af932c82008788e044e148485fb601e9a091ee8f6efb3c4226f8669b55
740932,,,ACTIVE,NONE,27.0,1514859bee4681af1ef977e53a3aeec439957d01d3ee7d46a161465816faf3ad
99015,,,ACTIVE,NONE,27.0,ebe0bd99afdb8880b852cd7722276b5b81bdfdb0e25da49f15a7b0a2e0a524bc
332035,,,PRE-CREATE,NONE,65.0,dfd630029c591f7d13016f4a70d267bdff4b363f2081d98ade9e90873bc8e567
636779,,,ACTIVE,NONE,24.0,b22afd54bdd10a00121fe326ebd4be2883a8c05661d0f7c9b4e1754bca1a863b
175885,1.0,1.0,ACTIVE,Regularly,52.0,d789c9d549b9499f55018b48d31acd8db0a983dab5908b21dfb37bb7fddee129
117082,1.0,1.0,ACTIVE,Regularly,27.0,253934c161003c5f19a5f0034d5cb4c29586440a83309279cbf5070bc6f37fa6
612427,,,PRE-CREATE,NONE,32.0,901ee4c65247d40667ace3a93c1d2be88c2d2fa14ce1aad2d4d6f9d1551ef55e
363954,,,PRE-CREATE,NONE,54.0,f15f2ea6ec9a1907b40d9363381f5acd87feec5833c52f89b72b865950ea5112
827831,,,ACTIVE,NONE,35.0,9795b26bc504ea380dae45e0b85da9153f1ce9715c45d726aea50f2ccc0c9ad5
234785,,,ACTIVE,NONE,25.0,305afe411f71e3619caf2f919eb38d435a83ae6f0c81fbe054515439aef6e1d9
12403,1.0,1.0,ACTIVE,Regularly,20.0,c54a50d1e273176d8f2fe413482183ccdfb23d238f27c357914322ddf3a469d6
1131233,,,ACTIVE,NONE,36.0,4cd1a2b5f29197e37aa7934b5e54a58267b1329c8df8819347ce1ce67a8a72fd
782157,1.0,1.0,ACTIVE,Regularly,18.0,15700fa7cc52228117019f205f0a96823e9c4ee404fbbeb2764faa5ea97a54c5
1274084,,,ACTIVE,NONE,27.0,8f902960ca038d90588dcc89ceb52f4ec4907763708e94bc47dc724ebd6d6437
1262086,1.0,1.0,ACTIVE,Regularly,30.0,8d3603acce8b1b236ee16e82cce0e9ba349fc7d1c48d29bc4de81d76c1b1c4ba
97194,1.0,1.0,ACTIVE,Regularly,31.0,faa6d92bebacb0c4b17e3085add57d362334ea81a9ef1c52e6cacd8896d80358
1213272,,,PRE-CREATE,NONE,21.0,e4d19172d3473d9b1ce12fecc42722d91de6811e2cb2b60f1e9add377f043b8c
481602,1.0,1.0,PRE-CREATE,Regularly,24.0,66eacc01d476ce5db2f194f9bff6ab39bf95220f68e6de5822ff9c3e8c6ccda5
1310212,,,PRE-CREATE,NONE,46.0,51344708646a1bd890fd5eb150435750d20db1fac897a06480c025deb9d4aa8f
437071,,,ACTIVE,NONE,30.0,39fb83c227a9616e52267f937ea731c97dff6c054794f2089ecb9e8262168044
593838,,,ACTIVE,NONE,30.0,5d6d0b72f0fb0aaadb99f72b9cb859ca0fc31d3c9cd5d040bbcad8f39211e22a
145637,,,ACTIVE,NONE,48.0,a2b3bdfd018112c8546449db043e99ee841b8f7060c0040484a5e262fcb86758
541386,,,ACTIVE,NONE,23.0,803753141a658fda9f8f65de524b40ac021f0fba229305e717c214a9baa717eb
