ID,TYPE,SOURCE_SITE_ID,OUTPUT_SITE_ID,OUTPUT_SKU,TRANSIT_TIME_DAYS,COST_PER_UNIT,CAPACITY_PER_DAY
OP001,SHIP,S015,S001,SKU006,2,1.5,5000
OP002,SHIP,S015,S012,SKU006,3,2.0,4000
OP003,SHIP,S016,S002,SKU007,1,2.0,4000
OP004,SHIP,S016,S013,SKU007,2,2.5,3500
OP005,SHIP,S017,S003,SKU008,1,0.3,20000
OP006,SHIP,S017,S014,SKU008,4,0.5,15000
OP007,SHIP,S018,S020,SKU006,2,2.0,3000
OP008,SHIP,S019,S020,SKU007,1,2.5,2500
OP009,SHIP,S001,S004,SKU001,3,2.5,1000
OP010,SHIP,S002,S004,SKU002,2,4.0,1500
OP011,SHIP,S003,S004,SKU003,2,1.5,2000
OP012,SHIP,S012,S004,SKU001,4,3.5,800
OP013,SHIP,S013,S004,SKU002,3,5.0,1200
OP014,SHIP,S014,S004,SKU003,5,1.2,2500
OP015,SHIP,S020,S024,SKU001,2,1.5,1500
OP016,SHIP,S020,S025,SKU001,3,2.0,1200
OP017,TRANSFER,S004,S026,SKU004,2,3.0,600
OP018,TRANSFER,S004,S027,SKU004,3,3.5,600
OP019,TRANSFER,S005,S006,SKU004,2,4.0,800
OP020,TRANSFER,S005,S007,SKU004,3,5.0,800
OP021,TRANSFER,S024,S021,SKU004,2,3.0,500
OP022,TRANSFER,S024,S022,SKU004,2,3.0,500
OP023,TRANSFER,S025,S023,SKU004,3,3.5,400
OP024,SHIP,S026,S028,,2,2.0,200
OP025,SHIP,S026,S029,,3,2.5,150
OP026,SHIP,S027,S028,,2,2.0,200
OP027,SHIP,S027,S029,,1,1.5,150
OP028,SHIP,S006,S008,,1,2.0,250
OP029,SHIP,S006,S009,,2,3.0,250
OP030,SHIP,S006,S010,,2,2.5,150
OP031,SHIP,S006,S011,,3,3.5,120
OP032,SHIP,S007,S008,,4,5.0,200
OP033,SHIP,S007,S009,,3,4.5,200
OP034,SHIP,S007,S010,,2,2.0,150
OP035,SHIP,S007,S011,,1,1.5,120
OP036,SHIP,S021,S030,,2,2.0,180
OP037,SHIP,S021,S031,,3,2.5,160
OP038,SHIP,S022,S030,,2,2.0,200
OP039,SHIP,S022,S031,,2,2.2,180
OP040,SHIP,S023,S030,,3,2.5,150
OP041,SHIP,S023,S031,,3,2.7,140
OP070,SHIP,S004,S006,SKU004,7,8.0,600
OP071,SHIP,S005,S025,SKU004,10,12.0,400
OP072,SHIP,S024,S007,SKU004,12,15.0,300
OP073,SHIP,S004,S020,SKU001,8,7.0,500
OP074,SHIP,S003,S006,SKU003,6,6.0,400
OP075,SHIP,S022,S012,SKU009,9,6.5,300
