CONTRACT_ID,SUB_ID,PLAN_TYPE,MONTHLY_RATE_USD,DATA_LIMIT_GB,CONTRACT_START_DATE,CONTRACT_END_DATE,TERM_MONTHS,AUTO_RENEW,EARLY_TERMINATION_FEE_USD,STATUS
CTR-753961BC,SUB-INF-0001,PREMIUM,108.12,100,2024-04-09,2026-04-09,24,True,240,ACTIVE
CTR-85E58910,SUB-INF-0002,PREMIUM,175.09,100,2024-07-18,2026-07-18,24,True,240,ACTIVE
CTR-C313E1BE,SUB-INF-0003,PREMIUM,140.06,100,2024-08-28,2026-08-28,24,True,240,ACTIVE
CTR-5718DA0A,SUB-INF-0004,PREMIUM,152.47,100,2023-11-17,2025-11-17,24,False,240,ACTIVE
CTR-82377592,SUB-INF-0005,PREMIUM,178.97,100,2024-03-12,2026-03-12,24,False,240,ACTIVE
CTR-EF3F6B9A,SUB-INF-0006,PREMIUM,115.5,100,2024-09-04,2026-09-04,24,True,240,ACTIVE
CTR-BD549545,SUB-INF-0007,PREMIUM,181.44,100,2024-02-11,2026-02-11,24,True,240,ACTIVE
CTR-66E7303C,SUB-INF-0008,PREMIUM,115.91,100,2024-06-14,2026-06-14,24,True,240,ACTIVE
CTR-F67EBEC9,SUB-INF-0009,PREMIUM,122.74,100,2023-11-26,2025-11-26,24,True,240,ACTIVE
CTR-96CB832E,SUB-INF-0010,PREMIUM,164.48,100,2023-11-21,2025-11-21,24,False,240,ACTIVE
CTR-421A51DF,SUB-INF-0011,PREMIUM,102.42,100,2024-03-21,2026-03-21,24,False,240,ACTIVE
CTR-B367618F,SUB-INF-0012,PREMIUM,184.29,100,2023-06-18,2025-06-18,24,True,240,ACTIVE
CTR-DA754FD5,SUB-INF-0013,PREMIUM,147.87,100,2023-04-16,2025-04-16,24,True,240,ACTIVE
CTR-DF475B94,SUB-INF-0014,PREMIUM,121.9,100,2024-11-11,2026-11-11,24,True,240,ACTIVE
CTR-6EE82DD7,SUB-INF-0015,PREMIUM,195.0,100,2024-11-18,2026-11-18,24,True,240,ACTIVE
CTR-D8A5C329,SUB-ENT-0001,ENTERPRISE,2752.63,1000,2024-09-06,2027-09-06,36,True,360,ACTIVE
CTR-E87ED008,SUB-ENT-0002,ENTERPRISE,3901.83,1000,2022-09-22,2027-09-22,60,True,600,ACTIVE
CTR-F69FACE8,SUB-ENT-0003,ENTERPRISE,586.65,1000,2024-12-07,2027-12-07,36,True,360,ACTIVE
CTR-860A9D63,SUB-ENT-0004,ENTERPRISE,605.81,1000,2023-11-20,2028-11-20,60,False,600,ACTIVE
CTR-F37AB829,SUB-ENT-0005,ENTERPRISE,2367.22,1000,2021-04-24,2023-04-24,24,True,240,ACTIVE
CTR-72B226EE,SUB-ENT-0006,ENTERPRISE,1400.56,1000,2023-09-23,2025-09-23,24,True,240,ACTIVE
CTR-7AFDC081,SUB-ENT-0007,ENTERPRISE,1532.78,1000,2024-10-22,2027-10-22,36,True,360,ACTIVE
CTR-6EA0682E,SUB-ENT-0008,ENTERPRISE,2072.22,1000,2023-02-08,2025-02-08,24,False,240,ACTIVE
CTR-A7120DFE,SUB-ENT-0009,ENTERPRISE,4467.41,1000,2021-09-25,2026-09-25,60,True,600,ACTIVE
