ID,SUPPLIER_BUSINESS_ID,CUSTOMER_BUSINESS_ID,SKU_ID,QUANTITY,ORIGIN_SITE_ID,DESTINATION_SITE_ID,OPERATION_ID,ORDER_DATE,SHIP_DATE,EXPECTED_DELIVERY_DATE,ACTUAL_DELIVERY_DATE,STATUS,DELAY_DAYS,FISCAL_QUARTER,FISCAL_YEAR
SHP0001,B015,B012,SKU006,56,S015,S012,OP002,2024-05-20,2024-05-21,2024-05-24,2024-05-24,DELIVERED,0,Q2-2024,2024
SHP0002,B015,B012,SKU006,201,S015,S012,OP002,2024-08-04,2024-08-05,2024-08-07,2024-08-07,DELIVERED,0,Q3-2024,2024
SHP0003,B015,B001,SKU006,193,S015,S001,OP001,2024-04-11,2024-04-14,2024-04-21,2024-04-20,DELIVERED,0,Q2-2024,2024
SHP0004,B016,B013,SKU007,164,S016,S013,OP004,2024-10-28,2024-10-30,2024-11-07,2024-11-07,DELIVERED,0,Q4-2024,2024
SHP0005,B018,B020,SKU006,137,S018,S020,OP007,2024-05-22,2024-05-23,2024-05-26,2024-05-25,DELIVERED,0,Q2-2024,2024
SHP0006,B015,B012,SKU006,73,S015,S012,OP002,2024-07-13,2024-07-14,2024-07-18,2024-07-17,DELIVERED,0,Q3-2024,2024
SHP0007,B015,B001,SKU006,236,S015,S001,OP001,2024-08-23,2024-08-26,2024-08-28,2024-08-27,DELIVERED,0,Q3-2024,2024
SHP0008,B015,B012,SKU006,191,S015,S012,OP002,2024-05-30,2024-06-02,2024-06-08,2024-06-07,DELIVERED,0,Q2-2024,2024
SHP0009,B016,B013,SKU007,230,S016,S013,OP004,2024-02-05,2024-02-06,2024-02-13,2024-02-12,DELIVERED,0,Q1-2024,2024
SHP0010,B015,B012,SKU006,268,S015,S012,OP002,2024-04-29,2024-04-30,2024-05-05,2024-05-04,DELIVERED,0,Q2-2024,2024
SHP0011,B016,B002,SKU007,144,S016,S002,OP003,2024-06-30,2024-07-01,2024-07-08,2024-07-08,DELIVERED,0,Q2-2024,2024
SHP0012,B016,B002,SKU007,186,S016,S002,OP003,2024-05-05,2024-05-06,2024-05-11,2024-05-11,DELIVERED,0,Q2-2024,2024
SHP0013,B017,B014,SKU008,265,S017,S014,OP006,2024-01-29,2024-01-30,2024-02-07,2024-02-13,DELAYED,6,Q1-2024,2024
SHP0014,B018,B020,SKU006,118,S018,S020,OP007,2024-02-03,2024-02-04,2024-02-10,2024-02-09,DELIVERED,0,Q1-2024,2024
SHP0015,B016,B013,SKU007,217,S016,S013,OP004,2024-09-12,2024-09-14,2024-09-21,2024-09-20,DELIVERED,0,Q3-2024,2024
