SRC,DST
TSHP06662,TSHP00651
TSHP06662,TSHP03478
TSHP06662,TSHP06874
TSHP06662,TSHP06217
TSHP06662,TSHP01827
TSHP06662,TSHP05224
TSHP06662,TSHP01172
TSHP06662,TSHP06119
TSHP06662,TSHP07396
TSHP06662,TSHP06677
TSHP03336,TSHP01640
TSHP03336,TSHP01256
TSHP03336,TSHP01556
TSHP03336,TSHP06905
TSHP03336,TSHP01991
TSHP03336,TSHP01596
TSHP03336,TSHP01649
TSHP03336,TSHP06740
TSHP03336,TSHP04883
TSHP03336,TSHP05954
TSHP00574,TSHP00107
TSHP00574,TSHP04211
TSHP00574,TSHP04098
TSHP00574,TSHP00820
TSHP00574,TSHP01063
TSHP00574,TSHP02628
TSHP02428,TSHP06865
TSHP02428,TSHP04460
TSHP02428,TSHP00549
TSHP02428,TSHP02827
TSHP02428,TSHP07499
TSHP02428,TSHP00048
TSHP02428,TSHP03044
TSHP02428,TSHP02567
TSHP02428,TSHP03039
TSHP02428,TSHP03380
TSHP02820,TSHP02221
TSHP02820,TSHP06566
TSHP02820,TSHP02228
TSHP02820,TSHP00082
TSHP02820,TSHP05703
TSHP02820,TSHP00643
TSHP02820,TSHP01853
TSHP02820,TSHP00521
TSHP02820,TSHP06323
TSHP02820,TSHP03083
TSHP01783,TSHP04157
TSHP01783,TSHP07347
TSHP01783,TSHP02760
TSHP01783,TSHP02101
TSHP01783,TSHP00840
TSHP01783,TSHP06809
TSHP01783,TSHP07298
TSHP01783,TSHP02072
TSHP01783,TSHP02223
TSHP01783,TSHP06193
TSHP04079,TSHP04508
TSHP04079,TSHP00421
TSHP04079,TSHP06623
TSHP04079,TSHP00248
TSHP04079,TSHP05358
TSHP04079,TSHP05539
TSHP04079,TSHP06086
TSHP04079,TSHP01034
TSHP04079,TSHP03736
TSHP04079,TSHP07420
TSHP05912,TSHP02991
TSHP05912,TSHP01566
TSHP05912,TSHP04396
TSHP05912,TSHP04515
TSHP05912,TSHP01319
TSHP05912,TSHP05743
TSHP05912,TSHP01767
TSHP05912,TSHP00114
TSHP05912,TSHP05198
TSHP05912,TSHP00406
TSHP05095,TSHP01622
TSHP05095,TSHP02018
TSHP05095,TSHP04985
TSHP05095,TSHP01958
TSHP05095,TSHP04509
TSHP05095,TSHP05035
TSHP05095,TSHP01187
TSHP05095,TSHP04374
TSHP05095,TSHP05764
TSHP05095,TSHP05017
TSHP06813,TSHP01063
TSHP06813,TSHP02504
TSHP06813,TSHP02977
TSHP06813,TSHP02316
TSHP06813,TSHP04888
TSHP06813,TSHP00938
TSHP00794,TSHP03758
TSHP00794,TSHP01466
TSHP00794,TSHP05552
TSHP00794,TSHP01958
TSHP00794,TSHP06594
TSHP00794,TSHP02464
TSHP00794,TSHP00980
TSHP00794,TSHP02160
TSHP00794,TSHP02087
TSHP00794,TSHP01293
TSHP01543,TSHP00762
TSHP01543,TSHP06681
TSHP01543,TSHP02373
TSHP01543,TSHP01373
TSHP01543,TSHP04858
TSHP01543,TSHP07374
TSHP06693,TSHP04946
TSHP06693,TSHP02028
TSHP06693,TSHP01102
TSHP06693,TSHP02618
TSHP06693,TSHP01161
TSHP06693,TSHP01506
TSHP06693,TSHP01284
TSHP06693,TSHP03599
TSHP06693,TSHP01367
TSHP06693,TSHP03529
TSHP00442,TSHP05213
TSHP00442,TSHP00389
TSHP00442,TSHP07160
TSHP00442,TSHP06219
TSHP00442,TSHP05387
TSHP00442,TSHP03276
TSHP00442,TSHP00416
TSHP00442,TSHP00631
TSHP00442,TSHP02595
TSHP00442,TSHP01981
TSHP04165,TSHP00618
TSHP04165,TSHP01090
TSHP04165,TSHP04372
TSHP04165,TSHP02969
TSHP04165,TSHP03042
TSHP04165,TSHP02746
TSHP04165,TSHP05791
TSHP04165,TSHP02178
TSHP04165,TSHP00103
TSHP04165,TSHP01187
TSHP02459,TSHP07440
TSHP02459,TSHP06375
TSHP02459,TSHP05375
TSHP02459,TSHP05973
TSHP02459,TSHP03484
TSHP02459,TSHP01725
TSHP02459,TSHP05236
TSHP02459,TSHP00667
TSHP02459,TSHP03016
TSHP02459,TSHP05245
TSHP01584,TSHP06464
TSHP01584,TSHP04095
TSHP01584,TSHP06342
TSHP01584,TSHP06655
TSHP01584,TSHP04233
TSHP01584,TSHP06772
TSHP03741,TSHP03829
TSHP03741,TSHP04945
TSHP03741,TSHP04201
TSHP03741,TSHP07450
TSHP03741,TSHP03829
TSHP03741,TSHP03244
TSHP03741,TSHP03546
TSHP03741,TSHP02927
TSHP03741,TSHP05841
TSHP03741,TSHP04176
TSHP06431,TSHP00907
TSHP06431,TSHP02853
TSHP06431,TSHP07143
TSHP06431,TSHP05643
TSHP06431,TSHP04429
TSHP06431,TSHP07161
TSHP06431,TSHP03307
TSHP06431,TSHP06718
TSHP06431,TSHP00883
TSHP06431,TSHP00970
TSHP06356,TSHP02042
TSHP06356,TSHP04427
TSHP06356,TSHP04599
TSHP06356,TSHP00927
TSHP06356,TSHP04158
TSHP06356,TSHP03504
TSHP06356,TSHP01670
TSHP06356,TSHP06763
TSHP06356,TSHP05579
TSHP06356,TSHP01557
TSHP00218,TSHP05095
TSHP00218,TSHP04848
TSHP00218,TSHP00632
TSHP00218,TSHP04890
TSHP00218,TSHP00034
TSHP00218,TSHP00034
TSHP00218,TSHP06992
TSHP00218,TSHP06641
TSHP00218,TSHP05182
TSHP00218,TSHP05667
TSHP05117,TSHP02020
TSHP05117,TSHP03655
TSHP05117,TSHP03838
TSHP05117,TSHP04405
TSHP05117,TSHP04918
TSHP05117,TSHP02532
TSHP05117,TSHP05494
TSHP05117,TSHP06218
TSHP05117,TSHP07386
TSHP05117,TSHP07459
TSHP05692,TSHP03265
TSHP05692,TSHP04952
TSHP05692,TSHP06033
TSHP05692,TSHP07077
TSHP05692,TSHP02712
TSHP05692,TSHP02354
TSHP05692,TSHP04911
TSHP05692,TSHP05814
TSHP05692,TSHP01749
TSHP05692,TSHP06468
TSHP01931,TSHP03889
TSHP01931,TSHP05164
TSHP01931,TSHP05530
TSHP01931,TSHP06561
TSHP01931,TSHP06305
TSHP01931,TSHP05930
TSHP01931,TSHP05845
TSHP01931,TSHP02853
TSHP01931,TSHP04427
TSHP01931,TSHP05409
TSHP02819,TSHP07467
TSHP02819,TSHP01421
TSHP02819,TSHP01685
TSHP02819,TSHP02720
TSHP02819,TSHP07028
TSHP02819,TSHP05630
TSHP04501,TSHP02507
TSHP04501,TSHP06094
TSHP04501,TSHP00326
TSHP04501,TSHP04123
TSHP04501,TSHP04045
TSHP04501,TSHP06901
TSHP04501,TSHP06314
TSHP04501,TSHP03014
TSHP04501,TSHP03608
TSHP04501,TSHP00334
TSHP00457,TSHP06633
TSHP00457,TSHP06736
