SHIPMENT_ID,SHIP_DATE,IS_LATE
TSHP01218,2022-01-02,1
TSHP00478,2022-01-03,0
TSHP00356,2022-01-03,1
TSHP00819,2022-01-03,0
TSHP00700,2022-01-03,1
TSHP01623,2022-01-03,0
TSHP01295,2022-01-04,1
TSHP00503,2022-01-04,0
TSHP00762,2022-01-04,1
TSHP00200,2022-01-04,1
TSHP00884,2022-01-04,0
TSHP00521,2022-01-04,1
TSHP00710,2022-01-04,1
TSHP01015,2022-01-04,0
TSHP01770,2022-01-05,0
TSHP01533,2022-01-05,1
TSHP01581,2022-01-05,0
TSHP02040,2022-01-05,0
TSHP00587,2022-01-05,0
TSHP01800,2022-01-06,0
TSHP01229,2022-01-06,0
TSHP02369,2022-01-06,1
TSHP00717,2022-01-06,0
TSHP00344,2022-01-06,0
TSHP02362,2022-01-06,0
TSHP01820,2022-01-06,0
TSHP01622,2022-01-06,0
TSHP01277,2022-01-06,0
TSHP00011,2022-01-06,0
TSHP01372,2022-01-07,0
TSHP00681,2022-01-07,0
TSHP00311,2022-01-07,0
TSHP01011,2022-01-07,0
TSHP01062,2022-01-07,0
TSHP02383,2022-01-07,1
TSHP01153,2022-01-07,0
TSHP00534,2022-01-07,0
TSHP01769,2022-01-07,0
TSHP01824,2022-01-07,0
TSHP01992,2022-01-07,1
TSHP00450,2022-01-07,0
TSHP00012,2022-01-07,0
TSHP00075,2022-01-08,1
TSHP01986,2022-01-08,1
TSHP00496,2022-01-08,0
TSHP01440,2022-01-08,0
TSHP00834,2022-01-08,1
TSHP02182,2022-01-08,0
TSHP00637,2022-01-08,0
TSHP00903,2022-01-08,0
TSHP01047,2022-01-09,0
TSHP00949,2022-01-09,0
TSHP02212,2022-01-09,1
TSHP01923,2022-01-09,0
TSHP00900,2022-01-09,0
TSHP00017,2022-01-09,0
TSHP00642,2022-01-09,0
TSHP00626,2022-01-09,0
TSHP00466,2022-01-10,1
TSHP01183,2022-01-10,0
TSHP00797,2022-01-10,1
TSHP01834,2022-01-10,0
TSHP01024,2022-01-10,0
TSHP00924,2022-01-10,0
TSHP00896,2022-01-10,1
TSHP00550,2022-01-11,0
TSHP01105,2022-01-11,0
TSHP00765,2022-01-11,0
TSHP02298,2022-01-11,0
TSHP00046,2022-01-11,0
TSHP00331,2022-01-11,0
TSHP01260,2022-01-11,1
TSHP01340,2022-01-11,1
TSHP01661,2022-01-11,1
TSHP00643,2022-01-11,0
TSHP00310,2022-01-11,0
TSHP01863,2022-01-11,1
TSHP01142,2022-01-11,0
TSHP01517,2022-01-11,1
TSHP01077,2022-01-12,0
TSHP00065,2022-01-12,0
TSHP00671,2022-01-12,0
TSHP01720,2022-01-12,0
TSHP02304,2022-01-12,0
TSHP02102,2022-01-12,0
TSHP01656,2022-01-13,0
TSHP01037,2022-01-13,0
TSHP01491,2022-01-13,0
TSHP00917,2022-01-13,0
TSHP00815,2022-01-13,0
TSHP00059,2022-01-13,0
TSHP01497,2022-01-13,0
TSHP00732,2022-01-13,0
TSHP01504,2022-01-14,0
TSHP00338,2022-01-14,0
TSHP00842,2022-01-14,0
TSHP02061,2022-01-14,0
TSHP00421,2022-01-14,0
TSHP00658,2022-01-14,0
TSHP00430,2022-01-14,1
TSHP00176,2022-01-14,1
TSHP00402,2022-01-14,0
TSHP00432,2022-01-14,0
TSHP01692,2022-01-15,1
TSHP01531,2022-01-15,0
TSHP00672,2022-01-15,0
TSHP02039,2022-01-15,0
TSHP01630,2022-01-15,1
TSHP00565,2022-01-15,0
TSHP02254,2022-01-16,0
TSHP02178,2022-01-16,0
TSHP01572,2022-01-16,0
TSHP01065,2022-01-16,0
TSHP01486,2022-01-16,0
TSHP00362,2022-01-16,0
TSHP00142,2022-01-16,0
TSHP00318,2022-01-16,0
TSHP01284,2022-01-16,0
TSHP02028,2022-01-16,0
TSHP00376,2022-01-16,0
TSHP01028,2022-01-16,1
TSHP02396,2022-01-17,0
TSHP02324,2022-01-17,0
TSHP00931,2022-01-17,0
TSHP00661,2022-01-17,0
TSHP01106,2022-01-17,0
TSHP02440,2022-01-17,0
TSHP02009,2022-01-17,1
TSHP02026,2022-01-17,0
TSHP01151,2022-01-18,1
TSHP00129,2022-01-18,0
TSHP00955,2022-01-18,0
TSHP00166,2022-01-18,0
TSHP02465,2022-01-18,0
TSHP02475,2022-01-18,0
TSHP01603,2022-01-19,0
TSHP02290,2022-01-19,0
TSHP01059,2022-01-19,0
TSHP00340,2022-01-20,0
TSHP00778,2022-01-20,0
TSHP00225,2022-01-20,0
TSHP00817,2022-01-20,0
TSHP00648,2022-01-20,1
TSHP01370,2022-01-21,0
TSHP01094,2022-01-21,1
TSHP01324,2022-01-21,0
TSHP01177,2022-01-21,0
TSHP00030,2022-01-21,0
TSHP00702,2022-01-21,0
TSHP00076,2022-01-21,0
TSHP00806,2022-01-22,1
TSHP00720,2022-01-22,1
TSHP02341,2022-01-22,0
TSHP01293,2022-01-22,0
TSHP01472,2022-01-22,0
TSHP01690,2022-01-22,0
TSHP01128,2022-01-22,1
TSHP00296,2022-01-23,1
TSHP01952,2022-01-23,0
TSHP00449,2022-01-23,1
TSHP01600,2022-01-23,0
TSHP01279,2022-01-24,1
TSHP02219,2022-01-24,0
TSHP00426,2022-01-24,0
TSHP01283,2022-01-24,1
TSHP00745,2022-01-25,0
TSHP00664,2022-01-25,0
TSHP01534,2022-01-25,0
TSHP00347,2022-01-25,1
TSHP00617,2022-01-25,0
TSHP01803,2022-01-25,0
TSHP02461,2022-01-25,0
TSHP00288,2022-01-25,0
TSHP01527,2022-01-25,0
TSHP02217,2022-01-26,0
TSHP01490,2022-01-26,0
TSHP00281,2022-01-26,0
TSHP01709,2022-01-26,0
TSHP01161,2022-01-26,0
TSHP01589,2022-01-26,0
TSHP01000,2022-01-26,0
TSHP00605,2022-01-27,0
TSHP00707,2022-01-27,1
TSHP01191,2022-01-27,0
TSHP02221,2022-01-27,1
TSHP02323,2022-01-27,0
TSHP02486,2022-01-27,0
TSHP00099,2022-01-27,1
TSHP01117,2022-01-27,0
TSHP01833,2022-01-27,0
TSHP00830,2022-01-27,0
TSHP02000,2022-01-27,0
TSHP00974,2022-01-27,0
TSHP02309,2022-01-28,0
TSHP01846,2022-01-28,0
TSHP02484,2022-01-28,0
TSHP01591,2022-01-28,1
TSHP02481,2022-01-28,0
TSHP01911,2022-01-28,0
TSHP00759,2022-01-28,0
TSHP01674,2022-01-29,0
TSHP02066,2022-01-29,0
TSHP01601,2022-01-29,0
TSHP01428,2022-01-29,0
TSHP00553,2022-01-29,0
TSHP01262,2022-01-29,1
TSHP01433,2022-01-29,1
TSHP02030,2022-01-29,0
TSHP00616,2022-01-29,1
TSHP00354,2022-01-30,0
TSHP01327,2022-01-30,0
TSHP01083,2022-01-30,0
TSHP01801,2022-01-30,1
TSHP00015,2022-01-30,0
TSHP00679,2022-01-31,0
TSHP00528,2022-01-31,0
TSHP01385,2022-01-31,1
TSHP02150,2022-02-01,0
TSHP01475,2022-02-01,0
TSHP00408,2022-02-01,0
TSHP00659,2022-02-01,1
TSHP00477,2022-02-01,0
TSHP00645,2022-02-01,0
TSHP00272,2022-02-01,0
TSHP01926,2022-02-01,0
TSHP02042,2022-02-01,0
TSHP01459,2022-02-01,0
TSHP02428,2022-02-02,0
TSHP00927,2022-02-02,0
TSHP01947,2022-02-02,1
TSHP00804,2022-02-02,0
TSHP00630,2022-02-02,0
TSHP00506,2022-02-02,0
TSHP02021,2022-02-02,0
TSHP02293,2022-02-02,0
TSHP02426,2022-02-02,1
TSHP01845,2022-02-02,0
TSHP00511,2022-02-02,0
TSHP00128,2022-02-02,0
TSHP01466,2022-02-02,1
TSHP01367,2022-02-03,0
TSHP00040,2022-02-03,0
TSHP02350,2022-02-03,0
TSHP01270,2022-02-03,0
TSHP01667,2022-02-03,0
TSHP02053,2022-02-03,1
TSHP02070,2022-02-03,0
TSHP00792,2022-02-04,0
TSHP02285,2022-02-04,0
TSHP01125,2022-02-04,0
TSHP00882,2022-02-05,0
TSHP01088,2022-02-05,1
TSHP01871,2022-02-05,0
TSHP01765,2022-02-05,0
TSHP00779,2022-02-05,1
TSHP00859,2022-02-05,0
TSHP00243,2022-02-05,0
TSHP00976,2022-02-05,0
TSHP00389,2022-02-06,0
TSHP02096,2022-02-06,0
TSHP00537,2022-02-06,0
TSHP01768,2022-02-06,1
TSHP01244,2022-02-07,1
TSHP01751,2022-02-07,1
TSHP01791,2022-02-07,0
TSHP01964,2022-02-07,0
TSHP02045,2022-02-07,0
TSHP02408,2022-02-07,0
TSHP02195,2022-02-07,0
TSHP02374,2022-02-08,0
TSHP02083,2022-02-08,0
TSHP01410,2022-02-08,1
TSHP01388,2022-02-08,1
TSHP00020,2022-02-08,1
TSHP02232,2022-02-08,0
TSHP01498,2022-02-08,0
TSHP01621,2022-02-09,0
TSHP01730,2022-02-09,0
TSHP00689,2022-02-09,1
TSHP00589,2022-02-09,0
TSHP01097,2022-02-09,0
TSHP00557,2022-02-09,0
TSHP00794,2022-02-10,0
TSHP00107,2022-02-10,0
TSHP00081,2022-02-10,0
TSHP02400,2022-02-10,1
TSHP01883,2022-02-10,0
TSHP02012,2022-02-11,0
TSHP00175,2022-02-11,0
TSHP00984,2022-02-11,0
TSHP01965,2022-02-11,0
TSHP01112,2022-02-11,0
TSHP02019,2022-02-11,0
TSHP01561,2022-02-12,1
TSHP00749,2022-02-12,0
TSHP00434,2022-02-12,0
TSHP00893,2022-02-12,0
TSHP00802,2022-02-12,1
TSHP01686,2022-02-12,0
TSHP00733,2022-02-13,0
TSHP01140,2022-02-13,0
TSHP02367,2022-02-13,1
TSHP01837,2022-02-14,1
TSHP01548,2022-02-14,0
TSHP00977,2022-02-15,0
TSHP00800,2022-02-15,0
TSHP02460,2022-02-15,1
TSHP00543,2022-02-15,1
TSHP00457,2022-02-16,0
TSHP00228,2022-02-16,1
TSHP01653,2022-02-16,0
TSHP02358,2022-02-16,1
TSHP01400,2022-02-16,0
TSHP01809,2022-02-16,1
TSHP01022,2022-02-16,1
TSHP01460,2022-02-16,0
TSHP01099,2022-02-16,0
TSHP02385,2022-02-16,0
TSHP00109,2022-02-16,0
TSHP02279,2022-02-17,0
TSHP00192,2022-02-17,0
TSHP00641,2022-02-17,0
TSHP00929,2022-02-17,1
TSHP02417,2022-02-17,0
TSHP01206,2022-02-17,0
TSHP00518,2022-02-17,0
TSHP00515,2022-02-17,0
TSHP00860,2022-02-17,1
TSHP00950,2022-02-18,0
TSHP01425,2022-02-18,1
TSHP02214,2022-02-18,0
TSHP00588,2022-02-18,0
TSHP01973,2022-02-18,0
TSHP00205,2022-02-18,1
TSHP00677,2022-02-18,0
TSHP01974,2022-02-18,0
TSHP01147,2022-02-18,0
TSHP01972,2022-02-19,0
TSHP00084,2022-02-19,0
TSHP01146,2022-02-19,0
TSHP00055,2022-02-19,0
TSHP01715,2022-02-19,0
TSHP01688,2022-02-19,0
TSHP01078,2022-02-19,0
TSHP00328,2022-02-19,0
TSHP00119,2022-02-20,1
TSHP01618,2022-02-20,0
TSHP00027,2022-02-20,1
TSHP00959,2022-02-20,0
TSHP00877,2022-02-20,0
TSHP02234,2022-02-21,0
TSHP01430,2022-02-21,0
TSHP00777,2022-02-21,0
TSHP01048,2022-02-21,0
TSHP01329,2022-02-21,0
TSHP00291,2022-02-21,1
TSHP01139,2022-02-21,0
TSHP01406,2022-02-21,0
TSHP00446,2022-02-21,0
TSHP02001,2022-02-21,0
TSHP02348,2022-02-21,0
TSHP01067,2022-02-22,0
TSHP01366,2022-02-22,0
TSHP02186,2022-02-22,0
TSHP00442,2022-02-23,0
TSHP01442,2022-02-23,0
TSHP00853,2022-02-23,0
TSHP01631,2022-02-23,0
TSHP02072,2022-02-23,0
TSHP00595,2022-02-24,1
TSHP00580,2022-02-24,0
TSHP00898,2022-02-24,1
TSHP02388,2022-02-24,0
TSHP01602,2022-02-24,0
TSHP01120,2022-02-24,0
TSHP01921,2022-02-24,0
TSHP01165,2022-02-24,0
TSHP01735,2022-02-24,0
TSHP01811,2022-02-24,0
TSHP01579,2022-02-25,0
TSHP01919,2022-02-25,1
TSHP01237,2022-02-25,0
TSHP01995,2022-02-25,0
TSHP00248,2022-02-25,1
TSHP00623,2022-02-25,0
TSHP00863,2022-02-25,1
TSHP00184,2022-02-25,0
TSHP00297,2022-02-25,0
TSHP00862,2022-02-26,1
TSHP02402,2022-02-26,0
TSHP01918,2022-02-26,0
TSHP01256,2022-02-26,1
TSHP01387,2022-02-26,0
TSHP00222,2022-02-26,1
TSHP01017,2022-02-26,0
TSHP01356,2022-02-26,0
TSHP00739,2022-02-26,1
TSHP02251,2022-02-27,0
TSHP01520,2022-02-27,0
TSHP00196,2022-02-27,0
TSHP02453,2022-02-27,0
TSHP01483,2022-02-27,0
TSHP00197,2022-02-27,0
TSHP01659,2022-02-27,0
TSHP01310,2022-02-27,0
TSHP01234,2022-02-27,0
TSHP01539,2022-02-27,0
TSHP02211,2022-02-27,1
TSHP00655,2022-02-28,1
TSHP02022,2022-02-28,0
TSHP00113,2022-02-28,0
TSHP01079,2022-02-28,0
TSHP01194,2022-02-28,0
TSHP00453,2022-02-28,1
TSHP02183,2022-03-01,0
TSHP02462,2022-03-01,0
TSHP00473,2022-03-01,0
TSHP00756,2022-03-01,0
TSHP01805,2022-03-01,1
TSHP02252,2022-03-01,0
TSHP02007,2022-03-01,0
TSHP02386,2022-03-01,1
TSHP00954,2022-03-02,0
TSHP00646,2022-03-02,1
TSHP00317,2022-03-02,0
TSHP02451,2022-03-02,0
TSHP02316,2022-03-02,0
TSHP00339,2022-03-02,1
TSHP00567,2022-03-03,0
TSHP01642,2022-03-03,0
TSHP00372,2022-03-03,0
TSHP00103,2022-03-03,0
TSHP00501,2022-03-03,0
TSHP00891,2022-03-04,1
TSHP02326,2022-03-04,0
TSHP00003,2022-03-04,0
TSHP01092,2022-03-04,0
TSHP01223,2022-03-04,1
TSHP00160,2022-03-04,0
TSHP01894,2022-03-04,0
TSHP00530,2022-03-05,0
TSHP01281,2022-03-05,0
TSHP00914,2022-03-05,0
TSHP00360,2022-03-05,0
TSHP02062,2022-03-05,0
TSHP00697,2022-03-06,1
TSHP01700,2022-03-06,0
TSHP02231,2022-03-06,1
TSHP00969,2022-03-06,0
TSHP01583,2022-03-06,0
TSHP01732,2022-03-07,0
TSHP00757,2022-03-07,0
TSHP00230,2022-03-07,0
TSHP01154,2022-03-07,0
TSHP00254,2022-03-07,1
TSHP02230,2022-03-07,0
TSHP00694,2022-03-08,0
TSHP02105,2022-03-08,0
TSHP00169,2022-03-08,0
TSHP00712,2022-03-08,0
TSHP00094,2022-03-08,0
TSHP01838,2022-03-08,1
TSHP01793,2022-03-08,1
TSHP00399,2022-03-08,0
TSHP00182,2022-03-08,0
TSHP01415,2022-03-08,0
TSHP00280,2022-03-08,0
TSHP01706,2022-03-09,0
TSHP02287,2022-03-09,0
TSHP00649,2022-03-09,0
TSHP00932,2022-03-09,1
TSHP01304,2022-03-09,0
TSHP01462,2022-03-09,0
TSHP00383,2022-03-10,0
TSHP01098,2022-03-10,0
TSHP00738,2022-03-10,0
TSHP00736,2022-03-10,0
TSHP02149,2022-03-10,0
TSHP02120,2022-03-10,0
TSHP01484,2022-03-10,0
TSHP02260,2022-03-11,1
TSHP00183,2022-03-11,0
TSHP02223,2022-03-11,0
TSHP00397,2022-03-11,0
TSHP02334,2022-03-11,1
TSHP02242,2022-03-12,1
TSHP00495,2022-03-12,0
TSHP00406,2022-03-12,0
TSHP00443,2022-03-12,1
TSHP00366,2022-03-12,0
TSHP00568,2022-03-12,0
TSHP02164,2022-03-12,0
TSHP00420,2022-03-12,0
TSHP01766,2022-03-12,0
TSHP02046,2022-03-12,0
TSHP00500,2022-03-12,0
TSHP00968,2022-03-12,1
TSHP01542,2022-03-13,1
TSHP00852,2022-03-13,0
TSHP01822,2022-03-13,1
TSHP01903,2022-03-13,1
TSHP01164,2022-03-13,1
TSHP01176,2022-03-13,0
TSHP01108,2022-03-13,0
TSHP01226,2022-03-13,0
TSHP00619,2022-03-13,0
TSHP02303,2022-03-13,0
TSHP00218,2022-03-14,1
TSHP01141,2022-03-14,0
TSHP01189,2022-03-14,1
TSHP02271,2022-03-14,0
TSHP00908,2022-03-14,0
TSHP01252,2022-03-14,0
TSHP01404,2022-03-14,0
TSHP00207,2022-03-14,0
TSHP01999,2022-03-14,0
TSHP01246,2022-03-14,0
TSHP01207,2022-03-14,0
TSHP01381,2022-03-14,0
TSHP00279,2022-03-15,0
TSHP02480,2022-03-15,1
TSHP00043,2022-03-15,0
TSHP01743,2022-03-15,0
TSHP01843,2022-03-15,0
TSHP01093,2022-03-15,0
TSHP00727,2022-03-15,0
TSHP00578,2022-03-15,1
TSHP02122,2022-03-15,1
TSHP01458,2022-03-16,1
TSHP01540,2022-03-16,0
TSHP01644,2022-03-16,0
TSHP00662,2022-03-16,0
TSHP01338,2022-03-17,0
TSHP02036,2022-03-17,0
TSHP00133,2022-03-17,1
TSHP00942,2022-03-17,0
TSHP02226,2022-03-17,0
TSHP01470,2022-03-17,0
TSHP01463,2022-03-18,0
TSHP01399,2022-03-18,0
TSHP02482,2022-03-18,1
TSHP00273,2022-03-18,0
TSHP02442,2022-03-18,0
TSHP01551,2022-03-18,0
TSHP01645,2022-03-18,1
TSHP00925,2022-03-19,0
TSHP00772,2022-03-19,0
TSHP00050,2022-03-19,1
TSHP00579,2022-03-19,0
TSHP01150,2022-03-19,0
TSHP01451,2022-03-19,0
TSHP00570,2022-03-19,1
TSHP01046,2022-03-19,0
TSHP01680,2022-03-20,0
TSHP01657,2022-03-20,0
TSHP02086,2022-03-20,0
TSHP00173,2022-03-20,0
TSHP01499,2022-03-20,0
TSHP02392,2022-03-21,0
TSHP01173,2022-03-21,0
TSHP02457,2022-03-21,0
TSHP01355,2022-03-21,1
TSHP00305,2022-03-21,0
TSHP00479,2022-03-21,0
TSHP01996,2022-03-22,1
TSHP01798,2022-03-22,0
TSHP00308,2022-03-22,0
TSHP01427,2022-03-22,0
TSHP00766,2022-03-22,0
TSHP00322,2022-03-22,1
TSHP00016,2022-03-22,0
TSHP00293,2022-03-22,1
TSHP01721,2022-03-23,0
TSHP01773,2022-03-23,0
TSHP01200,2022-03-23,1
TSHP00428,2022-03-24,1
TSHP02446,2022-03-24,1
TSHP01615,2022-03-24,0
TSHP01745,2022-03-24,1
TSHP01249,2022-03-24,1
TSHP00252,2022-03-24,1
TSHP00829,2022-03-24,1
TSHP00187,2022-03-25,0
TSHP01316,2022-03-25,1
TSHP01731,2022-03-25,0
TSHP02067,2022-03-25,0
TSHP00355,2022-03-25,1
TSHP00264,2022-03-25,1
TSHP00744,2022-03-25,0
TSHP02325,2022-03-25,1
TSHP00019,2022-03-25,0
TSHP00509,2022-03-25,1
TSHP02430,2022-03-25,0
TSHP02047,2022-03-25,0
TSHP00493,2022-03-26,1
TSHP00384,2022-03-26,0
TSHP00385,2022-03-26,0
TSHP01756,2022-03-26,0
TSHP01066,2022-03-26,0
TSHP02489,2022-03-26,0
TSHP02064,2022-03-26,0
TSHP02401,2022-03-27,0
TSHP00881,2022-03-27,0
TSHP00164,2022-03-27,0
TSHP01358,2022-03-27,0
TSHP02320,2022-03-27,1
TSHP01198,2022-03-27,1
TSHP00188,2022-03-27,1
TSHP01940,2022-03-27,0
TSHP01186,2022-03-27,0
TSHP00489,2022-03-28,1
TSHP02280,2022-03-28,0
TSHP02381,2022-03-28,0
TSHP02413,2022-03-28,0
TSHP01253,2022-03-28,0
TSHP02034,2022-03-28,0
TSHP02134,2022-03-28,0
TSHP02273,2022-03-28,1
TSHP00989,2022-03-29,0
TSHP01286,2022-03-29,0
TSHP01552,2022-03-29,0
TSHP00346,2022-03-29,0
TSHP02208,2022-03-29,0
TSHP02249,2022-03-30,0
TSHP02376,2022-03-30,0
TSHP01907,2022-03-30,0
TSHP00241,2022-03-30,0
TSHP00462,2022-03-30,0
TSHP02338,2022-03-30,0
TSHP02267,2022-03-31,0
TSHP02173,2022-03-31,0
TSHP00198,2022-03-31,0
TSHP00943,2022-03-31,0
TSHP01055,2022-04-01,0
TSHP01209,2022-04-01,0
TSHP00284,2022-04-01,1
TSHP02116,2022-04-01,0
TSHP01915,2022-04-01,0
TSHP01650,2022-04-02,0
TSHP01829,2022-04-02,0
TSHP02031,2022-04-02,1
TSHP01496,2022-04-02,0
TSHP01776,2022-04-02,0
TSHP01380,2022-04-02,1
TSHP01658,2022-04-02,0
TSHP00951,2022-04-02,1
TSHP00541,2022-04-03,0
TSHP01790,2022-04-03,1
TSHP01742,2022-04-03,0
TSHP01593,2022-04-04,0
TSHP00009,2022-04-04,0
TSHP00429,2022-04-04,1
TSHP00148,2022-04-04,1
TSHP02464,2022-04-04,0
