CDR_ID,CALLER_SUB_ID,CALLEE_SUB_ID,CALL_TYPE,CALL_START_TIME,CALL_DURATION_SECONDS,CALL_STATUS,TOWER_ID,DATA_USED_MB,CALL_QUALITY_SCORE
CDR-0010F446-0,SUB-CON-00447,SUB-ENT-0002,VOICE,2024-01-08T22:00:00,1330,FAILED,TWR-0070,80.64,4.2
CDR-001536F0-B,SUB-INF-0008,SUB-CON-00281,VOICE,2024-03-28T11:47:00,222,DROPPED,TWR-0010,26.26,3.1
CDR-0021040C-E,SUB-INF-0001,SUB-CON-00477,VOICE,2024-10-16T12:52:00,1138,DROPPED,TWR-0014,44.86,2.1
CDR-0023CBFA-E,SUB-CON-00083,SUB-CON-00995,SMS,2024-07-25T15:00:00,87,COMPLETED,TWR-0051,58.85,4.8
CDR-002D55FF-6,SUB-INF-0007,SUB-CON-00127,VOICE,2024-02-06T20:26:00,1431,COMPLETED,TWR-0003,31.31,1.7
CDR-00370F2C-D,SUB-CON-00834,SUB-CON-00259,VOICE,2024-02-10T10:00:00,2084,COMPLETED,TWR-0066,45.51,3.7
CDR-003EFFEE-7,SUB-CON-00891,SUB-CON-00754,VIDEO,2024-11-14T21:00:00,2395,FAILED,TWR-0120,44.99,3.4
CDR-003F8C79-B,SUB-INF-0006,SUB-CON-00314,VOICE,2024-09-14T15:08:00,1172,DROPPED,TWR-0002,37.35,1.8
CDR-004CFBD5-7,SUB-INF-0001,SUB-CON-00086,VIDEO,2024-10-10T20:19:00,1422,COMPLETED,TWR-0005,27.96,2.9
CDR-00533212-6,SUB-INF-0008,SUB-CON-00346,VOICE,2024-11-14T21:12:00,957,COMPLETED,TWR-0008,34.62,1.7
CDR-0055B7D8-5,SUB-INF-0011,SUB-CON-00621,VIDEO,2024-10-09T07:20:00,1745,DROPPED,TWR-0004,49.21,2.8
CDR-0055D6E9-0,SUB-INF-0001,SUB-CON-00417,VOICE,2024-10-05T18:12:00,37,COMPLETED,TWR-0011,2.32,3.1
CDR-0062DACC-1,SUB-CON-00148,SUB-CON-01052,VIDEO,2024-10-06T12:00:00,803,COMPLETED,TWR-0002,85.49,3.2
CDR-00667CCF-1,SUB-INF-0014,SUB-CON-00612,VOICE,2024-06-18T07:15:00,718,COMPLETED,TWR-0004,27.7,2.6
CDR-00848B9B-6,SUB-CON-01054,SUB-CON-00660,SMS,2024-09-27T19:00:00,1084,FAILED,TWR-0120,55.16,4.1
CDR-009F4BD9-6,SUB-CON-00681,SUB-CON-00823,SMS,2024-02-12T11:00:00,2317,FAILED,TWR-0088,21.85,4.5
CDR-009FD6B4-E,SUB-INF-0013,SUB-ENT-0050,VOICE,2024-01-17T20:48:00,1618,COMPLETED,TWR-0012,19.05,2.2
CDR-00A54E3E-3,SUB-CON-01031,SUB-CON-00464,SMS,2024-09-28T09:00:00,3022,COMPLETED,TWR-0092,59.55,3.8
CDR-00BDEEFD-0,SUB-INF-0014,SUB-CON-00539,VOICE,2024-09-23T15:43:00,1463,DROPPED,TWR-0004,45.46,2.0
CDR-00C2D62C-E,SUB-CON-00404,SUB-CON-00641,SMS,2024-06-08T09:00:00,3383,COMPLETED,TWR-0120,34.9,4.9
CDR-00C642F5-D,SUB-CON-00300,SUB-CON-00695,VOICE,2024-12-06T19:00:00,1882,DROPPED,TWR-0089,16.32,3.5
CDR-00D2D503-F,SUB-INF-0012,SUB-CON-00690,VOICE,2024-08-19T15:04:00,598,COMPLETED,TWR-0002,45.9,3.4
CDR-00D80A5B-A,SUB-CON-00368,SUB-CON-00586,VIDEO,2024-02-07T20:00:00,2242,COMPLETED,TWR-0084,50.17,4.4
CDR-00EBF10E-C,SUB-CON-00733,SUB-CON-00144,VIDEO,2024-11-12T20:00:00,1107,COMPLETED,TWR-0004,84.69,3.7
CDR-00F491A5-0,SUB-INF-0010,SUB-CON-00572,VIDEO,2024-02-13T14:59:00,150,COMPLETED,TWR-0011,16.6,2.4
CDR-00FCA8DA-0,SUB-CON-00087,SUB-CON-00651,VIDEO,2024-08-06T21:00:00,258,DROPPED,TWR-0080,50.96,3.4
CDR-00FFE894-A,SUB-CON-00237,SUB-CON-00623,VOICE,2024-10-19T09:00:00,1813,COMPLETED,TWR-0108,96.38,4.6
CDR-0103EAD0-4,SUB-CON-00591,SUB-CON-00220,VOICE,2024-03-02T08:00:00,1812,COMPLETED,TWR-0075,42.31,4.5
CDR-01231AB5-5,SUB-CON-00467,SUB-CON-01028,SMS,2024-05-08T21:00:00,783,FAILED,TWR-0022,4.14,3.6
CDR-012D9EBF-6,SUB-INF-0011,SUB-CON-00887,VOICE,2024-09-19T10:41:00,1117,COMPLETED,TWR-0011,48.58,3.2
CDR-01392099-0,SUB-CON-00418,SUB-CON-00919,VOICE,2024-10-05T21:00:00,3006,COMPLETED,TWR-0018,11.4,4.2
CDR-013A7943-E,SUB-INF-0002,SUB-CON-00874,VIDEO,2024-07-16T18:15:00,1028,DROPPED,TWR-0003,17.85,3.1
CDR-013F34A6-C,SUB-CON-00247,SUB-CON-00129,VOICE,2024-12-03T22:00:00,1313,COMPLETED,TWR-0034,76.82,4.9
CDR-013F68B4-D,SUB-CON-00233,SUB-CON-00601,SMS,2024-01-14T10:00:00,71,COMPLETED,TWR-0001,2.43,3.6
CDR-0141EAF2-F,SUB-CON-00421,SUB-CON-01097,VIDEO,2024-06-22T13:00:00,3425,COMPLETED,TWR-0005,74.61,4.3
CDR-01426DA5-6,SUB-INF-0002,SUB-CON-00382,VOICE,2024-06-28T09:24:00,299,COMPLETED,TWR-0002,28.75,1.7
CDR-016C639B-A,SUB-INF-0011,SUB-CON-00012,VIDEO,2024-11-21T20:14:00,904,COMPLETED,TWR-0013,45.98,2.6
CDR-0175C34A-B,SUB-CON-00720,SUB-CON-00066,VIDEO,2024-11-11T19:00:00,393,DROPPED,TWR-0049,36.08,3.1
