TOWER_ID,TOWER_NAME,POSTAL_CODE,LATITUDE,LONGITUDE,TOWER_TYPE,CAPACITY_GBPS,INSTALL_DATE,STATUS,REGION
TWR-0001,NexusStream-port-1,94102,37.803603,-122.3631,MACRO,31,2024-08-08,DEGRADED,WEST
TWR-0002,NexusStream-stad-2,94102,37.760641,-122.411864,MICRO,17,2023-07-13,DEGRADED,WEST
TWR-0003,NexusStream-borough-3,94102,37.736464,-122.459784,MICRO,43,2024-01-27,DEGRADED,WEST
TWR-0004,NexusStream-land-4,94102,37.812652,-122.381487,MICRO,64,2021-04-09,DEGRADED,WEST
TWR-0005,NexusStream-bury-5,94102,37.789659,-122.386949,SMALL_CELL,94,2024-05-12,DEGRADED,WEST
TWR-0006,NexusStream-port-6,94103,37.791841,-122.44452,MICRO,37,2021-05-31,DEGRADED,WEST
TWR-0007,NexusStream-bury-7,94103,37.816871,-122.402082,SMALL_CELL,17,2024-10-05,DEGRADED,WEST
TWR-0008,NexusStream-ville-8,94103,37.794798,-122.454283,SMALL_CELL,71,2022-09-10,DEGRADED,WEST
TWR-0009,NexusStream-view-9,94103,37.770285,-122.374728,MACRO,17,2023-01-02,DEGRADED,WEST
TWR-0010,NexusStream-stad-10,94103,37.816078,-122.451989,MACRO,18,2021-10-07,DEGRADED,WEST
TWR-0011,NexusStream-stad-11,94104,37.779504,-122.392479,MACRO,61,2022-08-02,DEGRADED,WEST
TWR-0012,NexusStream-borough-12,94104,37.731989,-122.370971,MACRO,84,2023-12-05,DEGRADED,WEST
TWR-0013,NexusStream-view-13,94104,37.779452,-122.398062,MICRO,94,2024-01-23,DEGRADED,WEST
TWR-0014,NexusStream-land-14,94104,37.778367,-122.407722,MICRO,36,2023-09-01,DEGRADED,WEST
TWR-0015,NexusStream-burgh-15,94104,37.786973,-122.428582,MICRO,60,2023-05-07,DEGRADED,WEST
TWR-0016,NexusStream-bury-16,94126,37.835845,-122.560002,MICRO,19,2021-10-08,ACTIVE,WEST
TWR-0017,NexusStream-mouth-17,94189,37.999227,-122.003123,MACRO,78,2022-09-09,ACTIVE,CENTRAL
TWR-0018,NexusStream-view-18,94143,37.566228,-122.520793,MACRO,41,2025-01-04,ACTIVE,EAST
TWR-0019,NexusStream-side-19,94130,37.719092,-122.365426,MICRO,88,2022-01-04,ACTIVE,CENTRAL
TWR-0020,NexusStream-mouth-20,94148,37.965878,-122.717131,MACRO,43,2024-08-29,ACTIVE,NORTH
TWR-0021,NexusStream-ton-21,94180,37.577724,-122.574595,MACRO,53,2022-01-18,ACTIVE,EAST
TWR-0022,NexusStream-ton-22,94174,37.744266,-122.075731,MACRO,21,2024-07-01,MAINTENANCE,EAST
TWR-0023,NexusStream-mouth-23,94115,37.501773,-122.183105,SMALL_CELL,43,2022-10-13,ACTIVE,WEST
TWR-0024,NexusStream-view-24,94180,37.852834,-122.351275,MACRO,19,2021-05-10,ACTIVE,CENTRAL
TWR-0025,NexusStream-borough-25,94114,37.917298,-122.333992,MACRO,65,2024-12-16,ACTIVE,NORTH
TWR-0026,NexusStream-shire-26,94149,37.682326,-122.05353,MACRO,55,2024-10-20,ACTIVE,SOUTH
TWR-0027,NexusStream-mouth-27,94195,37.551397,-122.175907,MICRO,89,2021-12-24,ACTIVE,SOUTH
TWR-0028,NexusStream-fort-28,94130,37.988103,-122.151383,MICRO,13,2022-10-04,ACTIVE,EAST
TWR-0029,NexusStream-mouth-29,94162,37.901118,-122.108749,MACRO,44,2021-09-06,ACTIVE,NORTH
TWR-0030,NexusStream-view-30,94158,37.936083,-122.113125,MACRO,35,2021-09-01,MAINTENANCE,EAST
TWR-0031,NexusStream-bury-31,94149,37.910268,-122.102942,MACRO,13,2024-03-30,ACTIVE,WEST
TWR-0032,NexusStream-side-32,94152,37.639302,-122.744463,MICRO,54,2023-05-15,MAINTENANCE,CENTRAL
TWR-0033,NexusStream-view-33,94152,37.969619,-122.707727,MICRO,32,2024-04-02,ACTIVE,NORTH
TWR-0034,NexusStream-shire-34,94123,37.798286,-122.52345,MICRO,65,2022-11-24,ACTIVE,WEST
TWR-0035,NexusStream-shire-35,94183,37.595039,-122.764491,MICRO,10,2022-10-10,ACTIVE,EAST
TWR-0036,NexusStream-stad-36,94165,37.534987,-122.26861,MICRO,89,2022-01-03,ACTIVE,NORTH
TWR-0037,NexusStream-berg-37,94148,37.753561,-122.266486,MICRO,61,2023-03-30,ACTIVE,CENTRAL
