EQUIPMENT_ID,TOWER_ID,EQUIPMENT_TYPE,PART_ID,MANUFACTURER,MODEL,SERIAL_NUMBER,INSTALL_DATE,FIRMWARE_VERSION,STATUS
EQP-00001,TWR-0001,5G_ROUTER,PART-RTR-B1,Juniper,RTR-B1,C38DE41C-A593-699,2023-10-25,v1.1.0-OUTDATED,OPERATIONAL
EQP-00002,TWR-0001,5G_ROUTER,PART-RTR-B1,Juniper,RTR-B1,47502F72-05F6-998,2023-03-22,v1.5.8-OUTDATED,OPERATIONAL
EQP-00003,TWR-0001,5G_ROUTER,PART-RTR-B1,Juniper,RTR-B1,CC00EE2A-EF4D-645,2024-04-25,v1.5.8-OUTDATED,OPERATIONAL
EQP-00004,TWR-0001,5G_ROUTER,PART-RTR-B1,Juniper,RTR-B1,290507CA-565B-265,2022-03-25,v1.2.7,OPERATIONAL
EQP-00005,TWR-0001,ANTENNA,PART-ANT-C2,Ericsson,ANT-C2,8D730FC2-126C-159,2024-01-16,v2.0.2-OUTDATED,OPERATIONAL
EQP-00006,TWR-0001,ANTENNA,PART-ANT-D1,Nokia,ANT-D1,0B4F743D-65B8-663,2023-02-10,v2.1.3,OPERATIONAL
EQP-00007,TWR-0001,ANTENNA,PART-ANT-C2,Ericsson,ANT-C2,10098BE2-FE98-176,2022-06-12,v1.3.0,OPERATIONAL
EQP-00008,TWR-0001,BASEBAND_UNIT,PART-BBU-F2,Samsung,BBU-F2,0A6321AA-A101-750,2023-11-06,v2.0.2-OUTDATED,FAILING
EQP-00009,TWR-0001,AMPLIFIER,PART-AMP-G1,Qualcomm,AMP-G1,405C2C72-E8A1-371,2023-07-31,v1.1.0-OUTDATED,OPERATIONAL
EQP-00010,TWR-0001,AMPLIFIER,PART-AMP-G1,Qualcomm,AMP-G1,A19FC3EA-02E3-096,2023-02-15,v2.0.2-OUTDATED,OPERATIONAL
EQP-00011,TWR-0001,TRANSCEIVER,PART-TRX-H1,Mediatek,TRX-H1,89AFC010-65E5-030,2024-03-16,v2.1.3,WARNING
EQP-00012,TWR-0002,5G_ROUTER,PART-RTR-B2,Juniper,RTR-B2,4ECED2A6-AB85-915,2023-08-28,v1.5.8-OUTDATED,OPERATIONAL
EQP-00013,TWR-0002,ANTENNA,PART-ANT-C1,Ericsson,ANT-C1,E3D57D54-EF44-227,2022-01-22,v2.1.3,OPERATIONAL
EQP-00014,TWR-0002,ANTENNA,PART-ANT-D2,Nokia,ANT-D2,84D2A891-7A5D-529,2022-11-27,v1.2.7,OPERATIONAL
EQP-00015,TWR-0002,AMPLIFIER,PART-AMP-G2,Qualcomm,AMP-G2,0276DC29-71A8-087,2023-03-03,v3.0.0,WARNING
EQP-00016,TWR-0002,TRANSCEIVER,PART-TRX-H2,Mediatek,TRX-H2,B5513F92-7372-618,2023-06-04,v1.5.8-OUTDATED,OPERATIONAL
EQP-00017,TWR-0003,5G_ROUTER,PART-RTR-A1,Cisco,RTR-A1,A743367A-04DE-929,2022-10-07,v3.0.0,OPERATIONAL
EQP-00018,TWR-0003,5G_ROUTER,PART-RTR-B1,Juniper,RTR-B1,232FECB5-7DD8-836,2022-11-12,v1.2.7,OPERATIONAL
EQP-00019,TWR-0003,5G_ROUTER,PART-RTR-B2,Juniper,RTR-B2,6D6C7439-75B0-092,2024-05-26,v1.2.7,OPERATIONAL
EQP-00020,TWR-0003,BASEBAND_UNIT,PART-BBU-F1,Samsung,BBU-F1,A8096908-940F-708,2023-07-21,v2.1.3,OPERATIONAL
EQP-00021,TWR-0003,BASEBAND_UNIT,PART-BBU-F1,Samsung,BBU-F1,CA27E4F1-5592-228,2023-08-27,v2.4.0,OPERATIONAL
EQP-00022,TWR-0003,BASEBAND_UNIT,PART-BBU-E1,Huawei,BBU-E1,4ED4855A-424E-259,2022-11-28,v1.2.7,OPERATIONAL
EQP-00023,TWR-0003,TRANSCEIVER,PART-TRX-H2,Mediatek,TRX-H2,A142EEC3-9AD2-735,2022-06-26,v2.4.0,OPERATIONAL
EQP-00024,TWR-0003,FIREWALL,PART-FWL-J1,Fortinet,FWL-J1,9E02D0A8-5DD5-004,2022-04-27,v2.4.0,WARNING
EQP-00025,TWR-0003,FIREWALL,PART-FWL-J2,Fortinet,FWL-J2,1F9A3DBC-7B86-593,2022-10-23,v2.0.1,OPERATIONAL
EQP-00026,TWR-0004,ANTENNA,PART-ANT-C2,Ericsson,ANT-C2,FBBB7F39-1497-940,2023-07-14,v2.1.3,OPERATIONAL
EQP-00027,TWR-0004,BASEBAND_UNIT,PART-BBU-F2,Samsung,BBU-F2,669C4990-E93A-677,2024-04-13,v1.0.4,WARNING
EQP-00028,TWR-0004,FIREWALL,PART-FWL-J2,Fortinet,FWL-J2,062987F8-614E-451,2024-04-09,v3.0.0,OPERATIONAL
EQP-00029,TWR-0004,FIREWALL,PART-FWL-J1,Fortinet,FWL-J1,88681079-864B-604,2022-02-12,v2.1.3,OPERATIONAL
EQP-00030,TWR-0005,5G_ROUTER,PART-RTR-A1,Cisco,RTR-A1,7BC4EA7A-D327-083,2024-02-01,v1.0.4,OPERATIONAL
EQP-00031,TWR-0005,5G_ROUTER,PART-RTR-B2,Juniper,RTR-B2,F9F1A744-8A29-925,2022-01-10,v1.5.8-OUTDATED,OPERATIONAL
EQP-00032,TWR-0005,ANTENNA,PART-ANT-D2,Nokia,ANT-D2,E95B9C10-A436-724,2022-06-13,v2.4.0,OPERATIONAL
EQP-00033,TWR-0005,AMPLIFIER,PART-AMP-G1,Qualcomm,AMP-G1,F621D16A-841B-489,2022-02-13,v2.0.1,OPERATIONAL
EQP-00034,TWR-0005,FIREWALL,PART-FWL-J2,Fortinet,FWL-J2,29261CAC-0649-820,2022-07-27,v1.0.4,OPERATIONAL
EQP-00035,TWR-0006,ANTENNA,PART-ANT-C2,Ericsson,ANT-C2,C9D1F642-FE27-732,2023-06-23,v1.5.8-OUTDATED,OPERATIONAL
EQP-00036,TWR-0006,ANTENNA,PART-ANT-D2,Nokia,ANT-D2,3554F3BE-CC22-782,2023-11-12,v2.1.3,OPERATIONAL
EQP-00037,TWR-0006,ANTENNA,PART-ANT-D1,Nokia,ANT-D1,B6804822-03FB-947,2022-08-23,v1.3.0,OPERATIONAL
EQP-00038,TWR-0006,ANTENNA,PART-ANT-C1,Ericsson,ANT-C1,9E5ABDF9-9DA5-629,2023-05-16,v1.0.4,WARNING
EQP-00039,TWR-0006,ANTENNA,PART-ANT-C2,Ericsson,ANT-C2,389E92F9-4C65-838,2024-03-01,v1.1.0-OUTDATED,OPERATIONAL
EQP-00040,TWR-0006,BASEBAND_UNIT,PART-BBU-F1,Samsung,BBU-F1,85D2B9D6-D0C1-641,2022-06-27,v2.0.1,OPERATIONAL
EQP-00041,TWR-0006,AMPLIFIER,PART-AMP-G1,Qualcomm,AMP-G1,FC1E4811-388D-164,2023-11-14,v2.0.2-OUTDATED,OPERATIONAL
EQP-00042,TWR-0006,TRANSCEIVER,PART-TRX-H1,Mediatek,TRX-H1,04219EAD-905D-044,2022-03-30,v3.0.0,WARNING
EQP-00043,TWR-0006,TRANSCEIVER,PART-TRX-H1,Mediatek,TRX-H1,D1FCA816-CE7D-775,2022-02-22,v2.4.0,WARNING
EQP-00044,TWR-0006,FIREWALL,PART-FWL-J2,Fortinet,FWL-J2,998CE85F-FAA1-401,2022-06-30,v2.1.3,OPERATIONAL
EQP-00045,TWR-0007,ANTENNA,PART-ANT-D1,Nokia,ANT-D1,8D3F21F1-BC51-308,2022-03-04,v1.2.7,OPERATIONAL
EQP-00046,TWR-0007,ANTENNA,PART-ANT-C1,Ericsson,ANT-C1,AEFCCECA-F56E-310,2022-09-30,v2.4.0,WARNING
EQP-00047,TWR-0007,AMPLIFIER,PART-AMP-G2,Qualcomm,AMP-G2,249E2ACE-C27F-907,2023-07-13,v2.4.0,WARNING
EQP-00048,TWR-0007,AMPLIFIER,PART-AMP-G1,Qualcomm,AMP-G1,FA1E263B-0ADC-306,2024-03-28,v1.0.4,OPERATIONAL
EQP-00049,TWR-0007,TRANSCEIVER,PART-TRX-H1,Mediatek,TRX-H1,5A8102EF-6F0F-230,2022-02-03,v1.0.4,WARNING
EQP-00050,TWR-0007,TRANSCEIVER,PART-TRX-H1,Mediatek,TRX-H1,C64C5C31-5932-748,2023-03-26,v2.1.3,WARNING
EQP-00051,TWR-0007,FIREWALL,PART-FWL-J2,Fortinet,FWL-J2,6300A13E-5B5E-821,2023-03-05,v2.1.3,OPERATIONAL
EQP-00052,TWR-0007,FIREWALL,PART-FWL-J2,Fortinet,FWL-J2,A6F5D9A5-DBDC-157,2024-03-08,v1.3.0,OPERATIONAL
EQP-00053,TWR-0008,5G_ROUTER,PART-RTR-A2,Cisco,RTR-A2,D3F85350-BBA8-362,2023-10-22,v1.0.4,FAILING
EQP-00054,TWR-0008,5G_ROUTER,PART-RTR-A2,Cisco,RTR-A2,D16FDF27-2D83-090,2023-11-03,v2.0.2-OUTDATED,FAILING
EQP-00055,TWR-0008,ANTENNA,PART-ANT-C2,Ericsson,ANT-C2,CEFDCCF7-CD1B-338,2022-05-01,v2.4.0,OPERATIONAL
EQP-00056,TWR-0008,AMPLIFIER,PART-AMP-G1,Qualcomm,AMP-G1,21EC1AA8-9E8A-570,2022-12-27,v3.0.0,OPERATIONAL
EQP-00057,TWR-0008,TRANSCEIVER,PART-TRX-H2,Mediatek,TRX-H2,E6C9ACB9-985B-878,2023-10-05,v1.1.0-OUTDATED,WARNING
EQP-00058,TWR-0008,TRANSCEIVER,PART-TRX-H2,Mediatek,TRX-H2,CD515CD8-C1AA-507,2023-10-15,v1.3.0,OPERATIONAL
EQP-00059,TWR-0009,5G_ROUTER,PART-RTR-A1,Cisco,RTR-A1,789C3463-5556-504,2023-09-26,v1.1.0-OUTDATED,OPERATIONAL
EQP-00060,TWR-0009,5G_ROUTER,PART-RTR-B1,Juniper,RTR-B1,4D7B1275-727A-727,2022-08-15,v1.3.0,OPERATIONAL
EQP-00061,TWR-0009,5G_ROUTER,PART-RTR-B1,Juniper,RTR-B1,588C6AE4-D55A-621,2023-05-16,v2.4.0,OPERATIONAL
EQP-00062,TWR-0009,5G_ROUTER,PART-RTR-B2,Juniper,RTR-B2,31EDE8E7-1346-938,2022-10-31,v1.3.0,OPERATIONAL
EQP-00063,TWR-0009,ANTENNA,PART-ANT-C2,Ericsson,ANT-C2,94A9271E-BFE3-706,2022-04-02,v2.1.3,OPERATIONAL
EQP-00064,TWR-0009,ANTENNA,PART-ANT-D2,Nokia,ANT-D2,FCAFDD10-F460-622,2024-01-18,v1.1.0-OUTDATED,OPERATIONAL
EQP-00065,TWR-0009,BASEBAND_UNIT,PART-BBU-E2,Huawei,BBU-E2,D9A878E4-7990-287,2023-08-12,v2.0.1,OPERATIONAL
EQP-00066,TWR-0009,BASEBAND_UNIT,PART-BBU-E1,Huawei,BBU-E1,BBFA955D-7B12-215,2022-06-27,v1.5.8-OUTDATED,FAILING
EQP-00067,TWR-0009,BASEBAND_UNIT,PART-BBU-E2,Huawei,BBU-E2,9A849172-1217-545,2023-07-08,v3.0.0,OPERATIONAL
EQP-00068,TWR-0009,BASEBAND_UNIT,PART-BBU-E2,Huawei,BBU-E2,720BF434-337C-711,2024-05-24,v2.0.1,OPERATIONAL
