METRIC_ID,TOWER_ID,TIMESTAMP,LATENCY_MS,THROUGHPUT_MBPS,PACKET_LOSS_PCT,JITTER_MS,SIGNAL_STRENGTH_DBM,ACTIVE_CONNECTIONS,BANDWIDTH_UTILIZATION_PCT,ERROR_RATE
MET-320E431B-2,TWR-0001,2024-01-08T05:23:00,155.14,37.24,9.050,65.45,-88,385,34.8,1.360
MET-1913505C-5,TWR-0001,2024-01-19T03:57:00,291.20,20.77,13.836,25.33,-85,1959,93.3,1.059
MET-1AB1441D-9,TWR-0001,2024-02-04T01:09:00,110.75,30.14,14.006,53.29,-76,541,21.8,2.408
MET-266DBF5F-5,TWR-0001,2024-02-08T01:35:00,114.75,38.52,5.186,43.21,-95,1244,84.8,1.640
MET-5CC46D94-0,TWR-0001,2024-02-09T13:57:00,115.13,17.82,5.129,28.88,-92,1268,47.8,0.978
MET-B6B56A69-9,TWR-0001,2024-02-26T09:06:00,82.34,26.17,11.503,35.45,-88,442,30.1,4.870
MET-E2672BA6-4,TWR-0001,2024-04-27T20:25:00,179.90,37.38,3.453,28.14,-89,1365,31.1,1.420
MET-D0949816-6,TWR-0001,2024-06-19T13:57:00,130.58,44.17,8.696,74.00,-77,514,81.5,0.914
MET-DBD4A3AF-5,TWR-0001,2024-06-20T01:59:00,141.87,47.16,13.246,65.27,-81,192,25.3,0.731
MET-FF2A8337-9,TWR-0001,2024-06-22T00:31:00,248.45,29.75,2.250,42.06,-76,1041,92.8,1.178
MET-3F83C0DA-7,TWR-0001,2024-07-18T18:09:00,96.42,42.77,3.786,22.45,-75,871,79.8,1.540
MET-82CA83DE-D,TWR-0001,2024-08-12T14:50:00,291.90,18.71,6.146,51.72,-93,865,29.4,4.837
MET-92F5F5B7-D,TWR-0001,2024-08-15T07:50:00,103.69,22.35,2.316,47.14,-85,652,23.1,3.608
MET-911B3A37-1,TWR-0001,2024-08-20T23:11:00,99.42,9.25,14.323,20.09,-92,713,38.9,2.004
MET-2B1F3422-C,TWR-0001,2024-09-16T23:54:00,222.85,7.16,8.307,72.63,-76,1892,92.9,0.349
MET-8B6729D0-1,TWR-0001,2024-10-07T10:29:00,264.27,27.20,8.338,73.63,-92,372,94.6,1.477
MET-751DE5F0-0,TWR-0001,2024-10-09T01:07:00,137.53,37.20,6.299,23.51,-85,600,42.8,1.506
MET-96128EEE-7,TWR-0001,2024-10-20T15:10:00,192.91,6.55,2.701,43.41,-90,54,38.6,3.984
MET-A442CC33-A,TWR-0001,2024-11-30T20:49:00,243.63,34.44,4.513,69.34,-82,1874,42.9,4.574
MET-EF00BBDE-3,TWR-0001,2024-12-09T10:06:00,93.25,10.35,14.008,33.79,-92,1868,88.1,4.468
MET-F381CAD2-A,TWR-0002,2024-01-04T06:31:00,149.30,44.38,13.188,48.87,-90,1051,88.7,2.897
MET-433D015D-2,TWR-0002,2024-03-09T15:54:00,287.92,7.65,13.486,27.19,-92,1526,53.7,4.390
MET-4F75ACB0-B,TWR-0002,2024-03-13T15:24:00,222.47,34.37,4.712,52.89,-81,1580,59.8,3.655
MET-FDA46747-2,TWR-0002,2024-03-28T14:30:00,215.07,39.18,12.312,38.90,-79,1011,20.5,1.406
MET-042AF11F-A,TWR-0002,2024-03-29T02:26:00,230.95,8.02,10.487,70.38,-84,453,34.0,0.106
MET-83D86066-4,TWR-0002,2024-04-04T06:31:00,178.00,27.17,12.356,63.48,-75,1683,59.8,3.894
MET-956D840A-9,TWR-0002,2024-04-17T21:42:00,256.51,43.21,6.663,64.99,-75,211,28.1,0.860
MET-F5CC2563-A,TWR-0002,2024-05-23T11:52:00,155.51,42.06,5.610,25.83,-91,1475,41.6,1.223
MET-DE8D3546-2,TWR-0002,2024-05-24T07:00:00,222.76,45.34,11.794,66.98,-84,1952,42.4,0.330
MET-57AE027D-4,TWR-0002,2024-06-04T05:38:00,88.87,37.62,7.047,55.07,-93,570,91.3,0.464
MET-ED0C5208-6,TWR-0002,2024-06-20T10:01:00,230.34,32.91,6.907,67.38,-76,1959,24.8,2.738
MET-79BEF7A2-6,TWR-0002,2024-06-26T15:11:00,132.54,18.86,9.448,68.03,-86,1890,50.0,2.908
MET-C2AD18F2-7,TWR-0002,2024-07-10T23:40:00,133.64,19.05,5.615,52.25,-81,1509,22.3,4.740
MET-FAC150EA-A,TWR-0002,2024-07-15T06:29:00,132.95,11.44,6.324,76.17,-89,438,57.0,0.971
MET-0654990B-9,TWR-0002,2024-07-22T10:09:00,92.84,38.09,2.488,70.38,-76,1920,79.6,2.276
MET-B92E9406-8,TWR-0002,2024-08-16T14:58:00,169.33,21.32,6.482,77.23,-92,1615,58.2,0.164
MET-7A97B21E-B,TWR-0002,2024-09-23T11:50:00,154.12,27.61,12.706,30.10,-79,744,89.9,4.612
MET-F037A8D9-1,TWR-0002,2024-11-13T03:16:00,253.11,28.28,4.832,73.28,-90,1812,65.6,4.272
MET-43E69B68-D,TWR-0002,2024-11-18T13:46:00,174.51,6.04,4.010,36.42,-80,1813,23.8,2.113
MET-EC803DF5-B,TWR-0002,2024-11-28T15:23:00,116.92,10.00,6.566,54.46,-90,90,79.4,1.665
MET-0C33D175-B,TWR-0003,2024-01-09T09:42:00,116.11,20.92,11.382,37.37,-87,1478,48.5,1.211
MET-78EE2F94-3,TWR-0003,2024-01-18T20:24:00,133.65,46.60,5.920,69.92,-86,1828,81.8,1.517
MET-A3ADAD40-7,TWR-0003,2024-02-06T21:07:00,144.28,42.11,11.466,30.94,-91,1314,73.9,2.593
MET-87CB58FC-4,TWR-0003,2024-02-09T00:25:00,225.19,21.87,5.034,30.44,-86,1019,35.1,4.368
MET-7DDDB24A-A,TWR-0003,2024-03-21T19:30:00,256.75,8.59,7.609,59.38,-94,1124,54.6,1.937
MET-09D80008-F,TWR-0003,2024-03-30T09:58:00,294.71,25.61,8.838,53.46,-77,392,58.5,1.854
MET-EB2573E0-6,TWR-0003,2024-06-13T04:31:00,130.28,8.25,4.397,60.95,-89,1136,92.9,4.455
MET-D6F2CE3C-E,TWR-0003,2024-06-30T12:35:00,168.12,10.05,10.604,38.44,-75,564,69.1,0.617
MET-8A8690B8-9,TWR-0003,2024-07-04T19:04:00,254.87,6.09,7.469,38.55,-78,199,28.9,3.064
MET-C54D353E-9,TWR-0003,2024-07-14T10:44:00,244.93,20.73,7.268,64.26,-91,966,50.4,2.881
MET-46C45D07-0,TWR-0003,2024-07-28T16:50:00,288.52,45.36,7.877,29.01,-81,1895,67.8,1.934
MET-38FAF8BE-C,TWR-0003,2024-08-08T03:45:00,284.48,33.71,9.302,73.54,-79,568,86.8,3.648
MET-F727FE36-D,TWR-0003,2024-09-12T05:25:00,275.99,47.69,3.957,39.26,-89,399,43.5,2.426
MET-E9E4B546-8,TWR-0003,2024-09-26T13:43:00,149.51,12.36,8.577,32.38,-78,1574,26.2,3.069
MET-77562B24-7,TWR-0003,2024-09-28T11:44:00,287.44,14.08,14.584,37.90,-75,244,33.6,2.481
MET-73E07861-3,TWR-0003,2024-10-16T05:40:00,153.72,36.49,10.373,32.70,-90,373,58.8,0.928
MET-83497250-C,TWR-0003,2024-10-19T06:17:00,209.02,35.02,2.582,47.45,-79,342,39.7,3.562
MET-8829092B-F,TWR-0003,2024-10-23T20:56:00,116.60,40.23,2.559,67.65,-86,519,75.5,2.408
MET-C9AD5DED-B,TWR-0003,2024-11-01T00:18:00,215.91,6.04,10.044,26.47,-86,371,44.5,4.578
MET-E80A50B7-A,TWR-0003,2024-11-22T08:22:00,256.49,10.96,3.075,36.81,-82,1146,27.3,3.433
MET-BAFA8118-9,TWR-0004,2024-02-01T13:57:00,289.15,45.00,6.143,66.09,-90,1086,76.3,0.521
MET-B2A6B0A8-E,TWR-0004,2024-04-05T14:14:00,219.09,14.04,13.655,49.07,-91,807,47.8,4.239
MET-93F56C98-E,TWR-0004,2024-05-09T07:11:00,221.87,23.92,13.508,35.90,-80,83,83.5,0.732
MET-C38A3ADF-5,TWR-0004,2024-06-07T04:15:00,288.78,30.08,9.792,75.98,-92,603,58.7,0.180
MET-559C74FE-3,TWR-0004,2024-06-09T00:43:00,239.42,41.29,10.262,73.10,-91,512,51.8,4.692
