METRIC_DATE,REGION,ACTIVE_SUBSCRIBERS,SUBSCRIBER_GROWTH_RATE,DAILY_REVENUE_USD,TOTAL_CALLS,AVG_CALL_QUALITY,NETWORK_AVAILABILITY_PCT,DATA_CONSUMED_TB,AVG_LATENCY_MS,SUPPORT_TICKETS_OPENED,SUPPORT_TICKETS_RESOLVED,CHURN_RATE,NPS_DAILY_AVG,MARKETING_SPEND_USD
2024-01-01,CENTRAL,15253,0.0043,78886.61,98715,4.77,99.55,97.46,23.02,45,136,0.0053,6.2,6810.41
2024-01-01,EAST,23734,0.0087,135688.24,175733,4.53,99.46,179.13,46.12,173,94,0.0074,8.3,7899.09
2024-01-01,NORTH,15320,0.0131,64141.74,128604,4.58,99.56,94.32,64.84,119,150,0.0074,8.8,6518.39
2024-01-01,NORTHEAST,24880,0.0095,86418.13,103215,4.23,99.34,235.00,69.08,45,100,0.0021,6.5,3071.41
2024-01-01,NORTHWEST,20096,0.0096,130271.36,84378,4.76,99.49,82.64,24.41,143,38,0.0060,6.4,3101.59
2024-01-01,SOUTH,27268,0.0087,103715.40,156433,4.30,99.58,88.37,23.29,177,62,0.0053,8.7,4971.04
2024-01-01,SOUTHEAST,26125,0.0088,132009.63,130298,4.72,99.73,178.68,48.50,57,116,0.0030,8.1,8399.66
2024-01-01,SOUTHWEST,18704,0.0138,108964.41,95512,4.64,99.22,231.99,32.01,62,151,0.0071,7.7,6952.11
2024-01-01,WEST,29768,0.0051,103385.28,60303,4.37,99.54,104.83,34.61,33,161,0.0053,7.7,5215.15
2024-01-02,CENTRAL,19029,0.0116,127440.56,76957,4.61,99.27,85.10,24.32,116,81,0.0079,6.2,4797.80
2024-01-02,EAST,21850,0.0060,114416.95,149837,4.57,99.40,244.36,36.39,145,113,0.0053,6.6,8133.38
2024-01-02,NORTH,34818,0.0044,110994.33,83796,4.56,99.88,172.99,39.52,46,161,0.0025,8.3,8020.26
2024-01-02,NORTHEAST,20836,0.0098,115647.63,151175,4.18,99.80,233.68,58.64,141,78,0.0070,7.3,1616.98
2024-01-02,NORTHWEST,30749,0.0111,119228.03,70144,4.24,99.37,214.02,17.73,152,146,0.0036,7.2,8060.96
2024-01-02,SOUTH,29729,0.0011,118648.23,189931,4.55,99.32,221.13,16.22,125,43,0.0030,7.7,9873.12
2024-01-02,SOUTHEAST,25738,0.0043,89757.62,162127,4.60,99.37,207.38,19.77,44,79,0.0046,6.5,5427.14
2024-01-02,SOUTHWEST,19096,0.0099,53337.42,63690,4.25,99.84,239.41,54.87,150,28,0.0074,6.7,9586.83
2024-01-02,WEST,18673,0.0035,126825.60,162794,4.12,99.24,268.42,78.44,106,97,0.0069,7.7,5254.87
2024-01-03,CENTRAL,23293,0.0109,89337.65,53640,4.70,99.30,201.97,45.63,28,104,0.0027,6.8,8927.63
2024-01-03,EAST,19169,0.0044,148005.91,199628,4.62,99.88,101.49,76.35,62,107,0.0063,6.7,1605.76
2024-01-03,NORTH,22964,0.0091,74188.87,85707,4.35,99.34,138.73,76.29,63,179,0.0065,7.8,2579.08
2024-01-03,NORTHEAST,19638,0.0027,108499.78,59431,4.49,99.47,63.43,66.11,139,58,0.0023,6.1,2960.36
2024-01-03,NORTHWEST,16737,0.0027,115124.47,111922,4.68,99.21,51.41,68.05,28,169,0.0052,8.3,2964.73
2024-01-03,SOUTH,24426,0.0090,125930.69,96728,4.39,99.60,226.38,69.52,150,50,0.0074,8.4,4097.11
2024-01-03,SOUTHEAST,33210,0.0051,138018.95,131703,4.49,99.37,119.08,58.72,163,161,0.0059,6.5,7970.80
2024-01-03,SOUTHWEST,19511,0.0068,101071.58,174031,4.43,99.78,127.73,16.65,73,40,0.0040,6.2,9794.37
2024-01-03,WEST,17351,0.0119,82480.21,90680,4.28,99.38,183.92,73.23,200,56,0.0024,6.6,9358.58
2024-01-04,CENTRAL,25719,0.0117,120644.02,155604,4.24,99.71,209.55,31.04,39,129,0.0045,8.2,8764.40
2024-01-04,EAST,17486,0.0103,144758.21,159507,4.70,99.68,289.83,33.61,59,90,0.0048,6.2,9520.66
2024-01-04,NORTH,27179,0.0044,159356.36,112462,4.16,99.51,80.57,68.78,127,111,0.0064,8.0,8637.21
2024-01-04,NORTHEAST,31328,0.0071,86949.20,192717,4.63,99.20,250.90,63.29,127,115,0.0057,8.7,2566.61
2024-01-04,NORTHWEST,25242,0.0089,117820.74,155706,4.19,99.73,212.35,38.86,48,117,0.0058,8.0,9075.80
2024-01-04,SOUTH,16111,0.0141,54325.77,71436,4.46,99.83,144.20,55.11,40,144,0.0051,6.2,9446.91
2024-01-04,SOUTHEAST,19596,0.0119,60460.03,190934,4.29,99.65,143.86,57.67,139,142,0.0077,8.9,6476.40
2024-01-04,SOUTHWEST,30483,0.0115,120602.83,184942,4.50,99.83,238.20,57.15,125,77,0.0056,6.2,1332.28
2024-01-04,WEST,25045,0.0031,114048.24,171686,4.69,99.24,153.27,61.78,155,38,0.0048,9.0,6316.84
2024-01-05,CENTRAL,29918,0.0035,126075.40,90866,4.63,99.87,192.54,38.27,87,139,0.0043,8.3,8375.56
2024-01-05,EAST,27401,0.0065,79952.42,104054,4.51,99.21,105.67,72.63,118,135,0.0051,6.1,6201.80
2024-01-05,NORTH,31435,0.0126,133436.53,177175,4.16,99.52,271.44,75.45,161,125,0.0053,6.1,4478.17
2024-01-05,NORTHEAST,22257,0.0147,136233.55,187946,4.40,99.24,239.18,16.48,158,74,0.0055,6.0,1749.59
2024-01-05,NORTHWEST,28411,0.0034,149339.35,153445,4.29,99.70,271.11,32.16,41,129,0.0042,7.0,3882.15
2024-01-05,SOUTH,21116,0.0148,123821.92,53427,4.47,99.81,246.59,19.02,175,28,0.0032,8.5,3320.39
2024-01-05,SOUTHEAST,16623,0.0028,104137.26,196920,4.31,99.90,292.09,69.66,76,87,0.0023,6.2,5147.54
2024-01-05,SOUTHWEST,33434,0.0037,135449.79,143125,4.69,99.30,205.81,60.18,22,59,0.0079,6.5,3634.37
2024-01-05,WEST,27135,0.0046,143822.28,110086,4.74,99.29,85.78,39.68,69,55,0.0034,8.4,1642.25
2024-01-06,CENTRAL,20407,0.0012,83611.30,177268,4.37,99.60,83.81,68.91,122,97,0.0060,7.7,1967.92
2024-01-06,EAST,26069,0.0034,129075.71,68878,4.35,99.74,167.97,45.16,75,25,0.0067,6.1,4687.84
2024-01-06,NORTH,24679,0.0052,114673.90,124881,4.23,99.42,247.58,64.44,59,161,0.0046,7.0,1651.35
2024-01-06,NORTHEAST,24701,0.0042,91003.65,96469,4.54,99.29,131.52,42.87,113,56,0.0045,7.1,4745.95
2024-01-06,NORTHWEST,31537,0.0107,137881.73,149306,4.06,99.85,265.92,57.47,69,22,0.0045,8.9,9255.94
