TOWER_ID,UPGRADE_TIER,CAPACITY_INCREASE_GBPS,COST_USD,INSTALL_WEEKS
TWR-0001,BRONZE,4,62302,5
TWR-0001,SILVER,6,244996,4
TWR-0001,GOLD,11,387740,12
TWR-0002,BRONZE,2,93467,5
TWR-0002,SILVER,7,262443,7
TWR-0002,GOLD,9,374879,8
TWR-0003,BRONZE,2,67544,4
TWR-0003,SILVER,5,269407,7
TWR-0003,GOLD,11,421996,10
TWR-0004,BRONZE,3,94629,5
TWR-0004,SILVER,7,251397,6
TWR-0004,GOLD,10,469603,13
TWR-0005,BRONZE,3,80926,4
TWR-0005,SILVER,6,184102,4
TWR-0005,GOLD,12,359018,9
TWR-0006,BRONZE,2,110816,2
TWR-0006,SILVER,7,192076,7
TWR-0006,GOLD,11,341145,11
TWR-0007,BRONZE,4,118785,5
TWR-0007,SILVER,5,165586,8
TWR-0007,GOLD,11,334517,13
TWR-0008,BRONZE,2,60959,2
TWR-0008,SILVER,6,165686,7
TWR-0008,GOLD,8,333062,13
TWR-0009,BRONZE,3,64043,2
TWR-0009,SILVER,5,173702,5
TWR-0009,GOLD,10,446032,9
TWR-0010,BRONZE,3,82646,2
TWR-0010,SILVER,6,139517,5
TWR-0010,GOLD,11,346274,14
TWR-0011,BRONZE,2,82307,5
TWR-0011,SILVER,6,252469,5
TWR-0011,GOLD,8,401627,10
TWR-0012,BRONZE,4,74636,5
TWR-0012,SILVER,5,181074,5
TWR-0012,GOLD,11,337380,12
TWR-0013,BRONZE,3,101754,3
TWR-0013,SILVER,7,143392,7
TWR-0013,GOLD,11,327923,8
TWR-0014,BRONZE,2,119161,3
TWR-0014,SILVER,6,197060,5
TWR-0014,GOLD,10,330367,14
TWR-0015,BRONZE,2,89873,3
TWR-0015,SILVER,6,212187,7
TWR-0015,GOLD,11,352764,13
TWR-0016,BRONZE,2,77163,2
TWR-0016,SILVER,6,246918,7
TWR-0016,GOLD,8,307683,10
TWR-0017,BRONZE,3,69619,5
TWR-0017,SILVER,6,264106,8
TWR-0017,GOLD,8,492077,8
TWR-0018,BRONZE,2,87820,4
TWR-0018,SILVER,6,135579,4
TWR-0018,GOLD,11,426019,11
TWR-0019,BRONZE,2,65040,3
TWR-0019,SILVER,6,252104,6
TWR-0019,GOLD,10,506920,8
TWR-0020,BRONZE,2,119501,5
TWR-0020,SILVER,6,165155,4
