id,src,dst,amount
1,C1001,C1002,5000
2,C1002,C1003,12000
3,C1003,C1004,8000
4,C1001,C1003,60000
10,C2001,C2002,9500
11,C2002,C2003,9800
12,C2003,C2004,9900
13,C2004,C2005,9700
14,C2005,C2001,9600
15,C2001,C2003,9400
100,C3001,C3002,3200
101,C3001,C3003,2800
102,C3001,C3004,4100
103,C3001,C3005,3600
104,C3001,C3006,2500
105,C3001,C3007,5200
106,C3001,C3008,4800
107,C3001,C3009,3900
108,C3001,C3010,6100
109,C3001,C3011,2700
110,C3001,C3012,4400
111,C3001,C3013,3300
112,C3015,C3014,1200
113,C3016,C3014,2500
114,C3017,C3014,3200
115,C3018,C3014,4800
116,C3019,C3014,6400
117,C3020,C3014,7500
118,C3021,C3014,5500
119,C3022,C3014,8200
120,C3023,C3014,8600
121,C3024,C3014,11500
122,C3025,C3014,14000
123,C3026,C3027,1500
124,C3027,C3028,2200
125,C3028,C3029,3100
126,C3029,C3030,4700
127,C3030,C3026,1800
128,C3031,C3032,6300
129,C3032,C3033,7100
130,C3033,C3034,12500
131,C3034,C3035,13700
132,C3035,C3031,2400
133,C3036,C3037,19500
134,C3037,C3038,23000
135,C3038,C3039,28500
136,C3039,C3040,31500
137,C3040,C3041,44000
138,C3041,C3036,3700
139,C3026,C3031,5100
140,C3028,C3036,6800
141,C3030,C3038,15500
142,C3033,C3041,8400
143,C3015,C3026,2900
144,C3018,C3030,7200
145,C3022,C3035,11000
146,C3024,C3040,16000
147,C3002,C3014,4500
148,C3005,C3020,6700
149,C3008,C3027,3400
150,C3011,C3033,5800
151,C3014,C3001,33000
152,C3014,C3036,27000
153,C3001,C3014,45000
154,C3007,C3019,8600
155,C3022,C3009,7500
156,C3037,C3003,14000
157,C3029,C3016,21000
158,C3013,C3025,4800
159,C3034,C3006,11500
160,C3040,C3017,18000
161,C3042,C3043,8900
162,C3043,C3044,10000
163,C3044,C3045,49000
164,C3045,C3042,50000
